date,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2024-10-16,2557.5,2592.0,765350.0
2024-10-15,2522.0,2558.5,767850.0
2024-10-14,2566.0,2602.0,769275.0
2024-10-11,2645.0,2653.5,770275.0
2024-10-10,2550.5,2558.0,772775.0
2024-10-09,2530.0,2541.0,775275.0
2024-10-08,2569.0,2585.5,777775.0
2024-10-07,2655.5,2655.5,780275.0
2024-10-04,2654.0,2665.5,782775.0
2024-10-03,2638.0,2643.5,785450.0
2024-10-02,2635.0,2635.0,787950.0
2024-10-01,2635.0,2630.5,790450.0
2024-09-30,2611.0,2618.0,792950.0
2024-09-27,2609.5,2624.0,795450.0
2024-09-26,2560.0,2576.0,798025.0
2024-09-25,2512.0,2528.0,800525.0
2024-09-24,2542.0,2559.0,803025.0
2024-09-23,2455.0,2472.0,805525.0
2024-09-20,2477.0,2504.5,809025.0
2024-09-19,2523.0,2538.0,813000.0
2024-09-18,2520.0,2528.0,813500.0
2024-09-17,2505.5,2521.0,813500.0
2024-09-16,2505.0,2518.5,817350.0
2024-09-13,2405.0,2421.5,820850.0
2024-09-12,2390.5,2410.0,824350.0
2024-09-11,2354.5,2365.0,827850.0
2024-09-10,2323.0,2344.0,831350.0
2024-09-09,2318.0,2333.5,834850.0
2024-09-06,2368.0,2388.5,833425.0
2024-09-05,2366.0,2382.0,836925.0
2024-09-04,2367.5,2388.0,840425.0
2024-09-03,2382.0,2405.0,843925.0
2024-09-02,2390.5,2415.5,847425.0
2024-08-30,2463.5,2486.0,852150.0
2024-08-29,2437.5,2466.0,856725.0
2024-08-28,2479.5,2502.0,860225.0
2024-08-27,2520.0,2537.0,867225.0
2024-08-23,2499.0,2509.0,870950.0
2024-08-22,2471.0,2492.5,874450.0
2024-08-21,2443.0,2477.5,877950.0
2024-08-20,2435.0,2466.5,881450.0
2024-08-19,2369.5,2411.0,885375.0
2024-08-16,2293.5,2342.5,888975.0
2024-08-15,2301.0,2350.0,892475.0
2024-08-14,2299.0,2349.0,896200.0
2024-08-13,2256.5,2309.0,899900.0
2024-08-12,2268.0,2321.0,903600.0
2024-08-09,2263.0,2318.5,907450.0
2024-08-08,2204.5,2260.0,910950.0
2024-08-07,2202.5,2263.0,914450.0
2024-08-06,2205.0,2268.0,918050.0
2024-08-05,2167.0,2226.5,921625.0
2024-08-02,2214.5,2272.5,925625.0
2024-08-01,2228.5,2287.0,929325.0
2024-07-31,2252.0,2297.0,933125.0
2024-07-30,2161.5,2225.0,936625.0
2024-07-29,2203.5,2263.5,940125.0
2024-07-26,2229.0,2289.0,943675.0
2024-07-25,2218.5,2276.0,947225.0
2024-07-24,2266.0,2313.0,948450.0
2024-07-23,2264.0,2316.0,952225.0
2024-07-22,2259.0,2316.5,956200.0
2024-07-19,2312.0,2368.0,960075.0
2024-07-18,2335.0,2397.0,963825.0
2024-07-17,2363.0,2418.5,964350.0
2024-07-16,2377.0,2436.5,965550.0
2024-07-15,2404.0,2468.0,970725.0
2024-07-12,2422.0,2484.0,976725.0
2024-07-11,2428.5,2490.5,982000.0
2024-07-10,2432.0,2489.5,987025.0
2024-07-09,2468.5,2525.5,988525.0
2024-07-08,2475.5,2532.0,994175.0
2024-07-05,2495.5,2545.0,999725.0
2024-07-04,2493.5,2541.0,1004825.0
2024-07-03,2487.0,2536.5,1009825.0
2024-07-02,2489.5,2531.0,1014925.0
2024-07-01,2496.5,2532.5,1021350.0
2024-06-28,2485.5,2526.0,1026925.0
2024-06-27,2458.5,2502.5,1032875.0
2024-06-26,2444.0,2494.0,1038725.0
2024-06-25,2451.5,2499.0,1044325.0
2024-06-24,2454.5,2506.0,1049825.0
2024-06-21,2452.5,2504.0,1055425.0
2024-06-20,2461.0,2509.0,1061000.0
2024-06-19,2445.0,2503.0,1066575.0
2024-06-18,2427.5,2483.0,1068675.0
2024-06-17,2420.5,2487.0,1073950.0
2024-06-14,2465.5,2530.0,1079050.0
2024-06-13,2498.0,2557.5,1085550.0
2024-06-12,2476.0,2530.0,1092550.0
2024-06-11,2475.0,2534.0,1096250.0
2024-06-10,2515.5,2575.0,1100000.0
2024-06-07,2578.5,2629.0,1103500.0
2024-06-06,2587.0,2644.0,1107500.0
2024-06-05,2577.0,2624.0,1111300.0
2024-06-04,2603.0,2643.0,1109900.0
2024-06-03,2625.0,2670.0,1113150.0
2024-05-31,2677.0,2712.5,1116650.0
2024-05-30,2665.5,2710.5,1120050.0
2024-05-29,2695.0,2741.0,1120050.0
2024-05-28,2653.0,2704.0,1121500.0
2024-05-24,2599.0,2650.0,1124700.0
2024-05-23,2551.0,2602.5,1127775.0
2024-05-22,2625.0,2673.0,1125175.0
2024-05-21,2645.0,2704.0,1092300.0
2024-05-20,2568.0,2622.5,1092800.0
2024-05-17,2544.0,2598.0,1093275.0
2024-05-16,2538.5,2594.5,1093275.0
2024-05-15,2529.5,2577.0,1033450.0
2024-05-14,2477.5,2538.0,1033625.0
2024-05-13,2510.0,2550.0,902550.0
2024-05-10,2515.0,2554.0,903850.0
2024-05-09,2494.0,2541.0,479850.0
2024-05-08,2488.0,2530.0,482600.0
2024-05-07,2512.5,2558.5,486050.0
2024-05-03,2517.0,2545.5,487750.0
2024-05-02,2510.0,2553.5,489250.0
2024-05-01,2554.5,2570.0,489250.0
2024-04-30,2545.0,2576.5,490750.0
2024-04-29,2536.5,2568.0,492750.0
2024-04-26,2559.5,2587.0,494150.0
2024-04-25,2586.5,2610.0,494875.0
2024-04-24,2585.5,2598.5,496550.0
2024-04-23,2585.0,2585.5,497300.0
2024-04-22,2654.0,2660.5,500000.0
2024-04-19,2645.5,2655.0,504000.0
2024-04-18,2600.0,2592.0,509250.0
2024-04-17,2581.0,2565.0,513850.0
2024-04-16,2512.0,2535.0,517350.0
2024-04-15,2520.5,2548.0,521600.0
2024-04-12,2443.0,2496.0,523100.0
2024-04-11,2410.5,2460.0,524625.0
2024-04-10,2429.0,2485.0,526075.0
2024-04-09,2403.0,2454.5,529625.0
2024-04-08,2417.0,2462.0,533150.0
2024-04-05,2391.0,2433.0,535475.0
2024-04-04,2394.5,2440.0,536850.0
2024-04-03,2334.0,2380.0,541350.0
