date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2024-10-16,9489.0,9630.0,288750.0
2024-10-15,9401.5,9545.0,288125.0
2024-10-14,9516.0,9669.0,292850.0
2024-10-11,9596.5,9735.0,297550.0
2024-10-10,9507.0,9641.0,299350.0
2024-10-09,9550.0,9690.0,294825.0
2024-10-08,9619.0,9775.0,296275.0
2024-10-07,9816.5,9964.0,297300.0
2024-10-04,9784.0,9936.0,298525.0
2024-10-03,9786.0,9935.0,298100.0
2024-10-02,9882.5,10024.0,300275.0
2024-10-01,9741.0,9882.0,300175.0
2024-09-30,9767.0,9906.5,300600.0
2024-09-27,9860.0,9995.0,302525.0
2024-09-26,9844.0,9995.0,303050.0
2024-09-25,9618.5,9751.0,303350.0
2024-09-24,9602.0,9735.0,301850.0
2024-09-23,9329.0,9462.0,301700.0
2024-09-20,9395.0,9535.0,303350.0
2024-09-19,9405.5,9534.0,304925.0
2024-09-18,9289.0,9425.0,305250.0
2024-09-17,9242.0,9373.0,306500.0
2024-09-16,9216.0,9345.0,308550.0
2024-09-13,9080.5,9204.0,311525.0
2024-09-12,9115.5,9238.5,311650.0
2024-09-11,9007.5,9138.0,314950.0
2024-09-10,8935.0,9064.5,316175.0
2024-09-09,8989.5,9115.0,316450.0
2024-09-06,9013.0,9135.0,317575.0
2024-09-05,8915.0,9034.5,317175.0
2024-09-04,8830.5,8959.0,318650.0
2024-09-03,8856.0,8980.0,317800.0
2024-09-02,9034.0,9157.0,320650.0
2024-08-30,9215.0,9330.0,320925.0
2024-08-29,9116.0,9238.5,322950.0
2024-08-28,9135.5,9270.0,314250.0
2024-08-27,9247.5,9376.0,317175.0
2024-08-23,9072.0,9196.0,315575.0
2024-08-22,9061.0,9190.0,319700.0
2024-08-21,9138.0,9258.5,319625.0
2024-08-20,9152.0,9265.0,320050.0
2024-08-19,9115.5,9236.0,308075.0
2024-08-16,8938.0,9052.0,309050.0
2024-08-15,9009.0,9104.0,307450.0
2024-08-14,8906.0,9007.0,307425.0
2024-08-13,8832.0,8960.0,305625.0
2024-08-12,8851.0,8975.0,296125.0
2024-08-09,8805.0,8922.0,296400.0
2024-08-08,8649.0,8773.0,294425.0
2024-08-07,8685.0,8810.0,294750.0
2024-08-06,8715.0,8843.0,252575.0
2024-08-05,8620.5,8757.0,251350.0
2024-08-02,8977.0,9111.0,246500.0
2024-08-01,8998.0,9127.0,245150.0
2024-07-31,9014.5,9152.0,239275.0
2024-07-30,8809.0,8949.0,239400.0
2024-07-29,8906.0,9033.0,239100.0
2024-07-26,9018.5,9134.0,237750.0
2024-07-25,8917.0,9037.0,239425.0
2024-07-24,9018.5,9142.5,241750.0
2024-07-23,9052.5,9166.0,236700.0
2024-07-22,9127.5,9251.0,234400.0
2024-07-19,9214.0,9344.0,231425.0
2024-07-18,9342.0,9485.0,227425.0
2024-07-17,9533.0,9682.0,221100.0
2024-07-16,9565.5,9724.0,216475.0
2024-07-15,9679.5,9833.0,210325.0
2024-07-12,9673.0,9821.5,206225.0
2024-07-11,9693.5,9860.0,206775.0
2024-07-10,9696.0,9859.0,195475.0
2024-07-09,9762.0,9925.0,191025.0
2024-07-08,9808.0,9971.5,191475.0
2024-07-05,9809.0,9970.0,191625.0
2024-07-04,9726.5,9871.0,186275.0
2024-07-03,9623.0,9769.0,186450.0
2024-07-02,9546.5,9695.0,184475.0
2024-07-01,9517.0,9661.0,180050.0
2024-06-28,9476.5,9625.0,180125.0
2024-06-27,9422.5,9563.0,177750.0
2024-06-26,9420.0,9569.0,175475.0
2024-06-25,9492.0,9645.0,172850.0
2024-06-24,9530.0,9677.0,167825.0
2024-06-21,9563.0,9705.0,165175.0
2024-06-20,9648.0,9790.0,161925.0
2024-06-19,9652.0,9795.0,158700.0
2024-06-18,9426.0,9575.0,155850.0
2024-06-17,9477.0,9615.0,136675.0
2024-06-14,9650.0,9781.0,133925.0
2024-06-13,9733.0,9860.0,132075.0
2024-06-12,9697.5,9828.0,127425.0
2024-06-11,9567.0,9700.0,127325.0
2024-06-10,9694.5,9830.0,125325.0
2024-06-07,9840.0,9955.0,123800.0
2024-06-06,9930.0,10045.0,122200.0
2024-06-05,9769.0,9890.0,120000.0
2024-06-04,9858.5,9989.0,118950.0
2024-06-03,9985.5,10107.0,116000.0
2024-05-31,9985.0,10110.0,116475.0
2024-05-30,10016.5,10144.0,118125.0
2024-05-29,10294.0,10430.0,117300.0
2024-05-28,10331.0,10459.5,114750.0
2024-05-24,10256.5,10367.0,112675.0
2024-05-23,10290.5,10411.0,110025.0
2024-05-22,10447.0,10569.0,110250.0
2024-05-21,10775.0,10895.0,108200.0
2024-05-20,10857.0,10930.0,105900.0
2024-05-17,10398.0,10481.0,103650.0
2024-05-16,10308.0,10400.0,104425.0
2024-05-15,10221.0,10300.0,104625.0
2024-05-14,10077.0,10186.0,104750.0
2024-05-13,10009.0,10120.0,103100.0
2024-05-10,9942.0,10063.0,103450.0
2024-05-09,9728.0,9859.0,104375.0
2024-05-08,9740.0,9875.0,106000.0
2024-05-07,9847.0,9990.0,107350.0
2024-05-03,9737.0,9856.0,111300.0
2024-05-02,9660.0,9783.0,115275.0
2024-05-01,9791.0,9895.0,115275.0
2024-04-30,9973.5,10071.0,116125.0
2024-04-29,9935.0,10041.0,117500.0
2024-04-26,9869.0,9995.0,118550.0
2024-04-25,9791.0,9918.0,120400.0
2024-04-24,9671.0,9785.0,120225.0
2024-04-23,9599.0,9700.0,120600.0
2024-04-22,9814.5,9905.0,121200.0
2024-04-19,9749.0,9834.0,122125.0
2024-04-18,9617.0,9706.5,122925.0
2024-04-17,9434.0,9551.0,123775.0
2024-04-16,9377.0,9490.0,123875.0
2024-04-15,9390.0,9506.0,123475.0
2024-04-12,9402.0,9535.0,124425.0
2024-04-11,9240.5,9375.0,124850.0
2024-04-10,9365.0,9490.0,123475.0
