date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-stock,44.07,34.194,26.8
2023-09-26 00:00:00,ARIMA-stock,39.96,30.521,23.799999999999997
2023-09-26 00:00:00,PMARIMA-stock,62.66,50.251,40.0
2023-09-26 00:00:00,SARIMAX-stock,62.66,50.251,40.0
2023-09-26 00:00:00,LR-model,64.924,58.154,49.9
2023-09-26 00:00:00,DT-model,41.069,31.481,24.6
2023-09-26 00:00:00,RFR-model,41.168,31.574,24.7
2023-09-26 00:00:00,GBR-model_full,34.75,27.071,21.4
2023-09-26 00:00:00,Stacking,18.984,16.049,14.7
2023-09-27 00:00:00,AR-baseline-stock,44.785,35.103,27.6
2023-09-27 00:00:00,ARIMA-stock,40.39,31.126,24.4
2023-09-27 00:00:00,PMARIMA-stock,61.011,49.095,39.0
2023-09-27 00:00:00,SARIMAX-stock,61.011,49.095,39.0
2023-09-27 00:00:00,LR-model,65.148,58.5,50.1
2023-09-27 00:00:00,DT-model,41.274,31.862,25.0
2023-09-27 00:00:00,RFR-model,41.403,31.985,25.1
2023-09-27 00:00:00,GBR-model_full,36.368,28.254,22.2
2023-09-27 00:00:00,Stacking,22.899,18.753,16.3
2023-09-28 00:00:00,AR-baseline-stock,42.354,33.03,26.0
2023-09-28 00:00:00,ARIMA-stock,38.302,29.354,23.0
2023-09-28 00:00:00,PMARIMA-stock,43.041,33.656,26.5
2023-09-28 00:00:00,SARIMAX-stock,43.041,33.656,26.5
2023-09-28 00:00:00,LR-model,65.351,58.811,50.3
2023-09-28 00:00:00,DT-model,41.324,32.105,25.2
2023-09-28 00:00:00,RFR-model,41.421,32.198,25.3
2023-09-28 00:00:00,GBR-model_full,34.592,26.888,21.2
2023-09-28 00:00:00,Stacking,22.777,19.653,17.4
2023-09-29 00:00:00,AR-baseline-stock,42.141,33.071,26.1
2023-09-29 00:00:00,ARIMA-stock,38.465,29.659,23.3
2023-09-29 00:00:00,PMARIMA-stock,42.619,33.494,26.400000000000002
2023-09-29 00:00:00,SARIMAX-stock,42.619,33.494,26.400000000000002
2023-09-29 00:00:00,LR-model,65.544,59.112,50.5
2023-09-29 00:00:00,DT-model,41.371,32.34,25.4
2023-09-29 00:00:00,RFR-model,41.427,32.394,25.5
2023-09-29 00:00:00,GBR-model_full,34.328,26.903,21.3
2023-09-29 00:00:00,Stacking,26.303,22.065,19.2
