date,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2024-10-16,2075.0,2110.0,194775.0
2024-10-15,1994.0,2041.0,194300.0
2024-10-14,2008.0,2051.0,195300.0
2024-10-11,2047.0,2087.0,195875.0
2024-10-10,2008.0,2055.0,196650.0
2024-10-09,2021.0,2070.0,196825.0
2024-10-08,2053.5,2103.0,198425.0
2024-10-07,2110.5,2164.0,198625.0
2024-10-04,2107.0,2154.0,198625.0
2024-10-03,2092.0,2137.0,199125.0
2024-10-02,2091.0,2139.0,199125.0
2024-10-01,2075.5,2119.0,199125.0
2024-09-30,2070.5,2117.0,200350.0
2024-09-27,2078.0,2123.5,200975.0
2024-09-26,2101.0,2138.0,201975.0
2024-09-25,2044.0,2086.0,202150.0
2024-09-24,2050.0,2092.0,202950.0
2024-09-23,2011.5,2052.0,203975.0
2024-09-20,2033.0,2078.0,203950.0
2024-09-19,2046.0,2072.0,203750.0
2024-09-18,1997.5,2036.0,204550.0
2024-09-17,1983.0,2020.0,205000.0
2024-09-16,2019.0,2056.0,174775.0
2024-09-13,1991.0,2013.0,174775.0
2024-09-12,1998.0,2031.0,174775.0
2024-09-11,1960.0,1996.5,175075.0
2024-09-10,1912.0,1957.0,175275.0
2024-09-09,1915.0,1953.5,177000.0
2024-09-06,1953.0,1994.0,177525.0
2024-09-05,1977.0,2015.0,177350.0
2024-09-04,1989.0,2027.0,177500.0
2024-09-03,2006.0,2043.0,177875.0
2024-09-02,2020.0,2050.0,179375.0
2024-08-30,2026.5,2067.0,181225.0
2024-08-29,2013.0,2053.0,182750.0
2024-08-28,2045.0,2083.5,183475.0
2024-08-27,2095.0,2115.5,185100.0
2024-08-23,2086.0,2104.0,180900.0
2024-08-22,2062.0,2082.5,182475.0
2024-08-21,2052.0,2084.0,185500.0
2024-08-20,2030.0,2066.5,191100.0
2024-08-19,2004.0,2052.5,193825.0
2024-08-16,1975.0,2015.0,196900.0
2024-08-15,2005.0,2039.0,198700.0
2024-08-14,1959.0,2000.0,202800.0
2024-08-13,1971.0,2012.0,207175.0
2024-08-12,2031.0,2063.5,211550.0
2024-08-09,1990.0,2030.0,212850.0
2024-08-08,1919.0,1970.0,213825.0
2024-08-07,1918.0,1962.0,218425.0
2024-08-06,1905.0,1959.0,221975.0
2024-08-05,1917.0,1966.0,226850.0
2024-08-02,2000.0,2040.0,231600.0
2024-08-01,2047.0,2078.0,234325.0
2024-07-31,2024.0,2060.0,236925.0
2024-07-30,2001.0,2047.0,239950.0
2024-07-29,2054.0,2082.0,243800.0
2024-07-26,2031.0,2050.0,247025.0
2024-07-25,2001.0,2033.0,250875.0
2024-07-24,2033.0,2069.0,250950.0
2024-07-23,2032.0,2074.0,253550.0
2024-07-22,2050.5,2097.0,209075.0
2024-07-19,2100.0,2146.0,208150.0
2024-07-18,2153.0,2182.0,208425.0
2024-07-17,2203.0,2217.0,207750.0
2024-07-16,2134.0,2179.0,209225.0
2024-07-15,2138.0,2195.0,211475.0
2024-07-12,2129.0,2182.0,211475.0
2024-07-11,2131.0,2192.0,213200.0
2024-07-10,2136.0,2192.0,214350.0
2024-07-09,2155.0,2213.0,216925.0
2024-07-08,2207.5,2244.0,218800.0
2024-07-05,2191.0,2238.0,222150.0
2024-07-04,2172.0,2216.5,223950.0
2024-07-03,2171.0,2210.5,222875.0
2024-07-02,2198.0,2230.0,226075.0
2024-07-01,2185.0,2226.0,224200.0
2024-06-28,2160.0,2210.0,224375.0
2024-06-27,2140.0,2189.0,223500.0
2024-06-26,2159.0,2207.0,223500.0
2024-06-25,2116.0,2163.0,223525.0
2024-06-24,2147.0,2190.0,223950.0
2024-06-21,2145.0,2186.0,225275.0
