date,LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
2024-10-16,17070.0,17350.0,133284.0
2024-10-15,17175.0,17395.0,133284.0
2024-10-14,17335.0,17650.0,132546.0
2024-10-11,17615.0,17900.0,132570.0
2024-10-10,17150.0,17450.0,132312.0
2024-10-09,17275.0,17575.0,132372.0
2024-10-08,17420.0,17675.0,131850.0
2024-10-07,17875.0,18130.0,131856.0
2024-10-04,17600.0,17830.0,131952.0
2024-10-03,17920.0,18225.0,131088.0
2024-10-02,17730.0,18000.0,131178.0
2024-10-01,17320.0,17625.0,131178.0
2024-09-30,17005.0,17310.0,130944.0
2024-09-27,16655.0,16900.0,130308.0
2024-09-26,16555.0,16825.0,130080.0
2024-09-25,16450.0,16750.0,124404.0
2024-09-24,16430.0,16675.0,124140.0
2024-09-23,16350.0,16525.0,124140.0
2024-09-20,16175.0,16470.0,124134.0
2024-09-19,16110.0,16375.0,123924.0
2024-09-18,15975.0,16230.0,123726.0
2024-09-17,15955.0,16180.0,123726.0
2024-09-16,15950.0,16200.0,123810.0
2024-09-13,15665.0,16000.0,123360.0
2024-09-12,15875.0,16150.0,123132.0
2024-09-11,15700.0,15975.0,122748.0
2024-09-10,15610.0,15830.0,122214.0
2024-09-09,15655.0,15895.0,121656.0
2024-09-06,15830.0,16000.0,121716.0
2024-09-05,15770.0,15980.0,121758.0
2024-09-04,16030.0,16260.0,121230.0
2024-09-03,16285.0,16520.0,119292.0
2024-09-02,16445.0,16650.0,119316.0
2024-08-30,16820.0,17030.0,118998.0
2024-08-29,16735.0,16930.0,117534.0
2024-08-28,16630.0,16870.0,117348.0
2024-08-27,16835.0,17065.0,116616.0
2024-08-23,16410.0,16655.0,116616.0
2024-08-22,16330.0,16550.0,115962.0
2024-08-21,16640.0,16900.0,115602.0
2024-08-20,16600.0,16830.0,114066.0
2024-08-19,16285.0,16555.0,114456.0
2024-08-16,15905.0,16175.0,114060.0
2024-08-15,16180.0,16420.0,114060.0
2024-08-14,16035.0,16300.0,113688.0
2024-08-13,15970.0,16235.0,113712.0
2024-08-12,15930.0,16160.0,112404.0
2024-08-09,16085.0,16360.0,112404.0
2024-08-08,16000.0,16190.0,111612.0
2024-08-07,16075.0,16290.0,110670.0
