date,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2024-10-16,3072.0,3085.0,240525.0
2024-10-15,2998.0,3015.5,239300.0
2024-10-14,3047.0,3067.0,240625.0
2024-10-11,3108.0,3117.0,242000.0
2024-10-10,3017.0,3034.5,242450.0
2024-10-09,3001.0,3029.0,244025.0
2024-10-08,3083.0,3107.0,242400.0
2024-10-07,3154.0,3176.0,244100.0
2024-10-04,3144.0,3168.5,245325.0
2024-10-03,3134.5,3162.0,247075.0
2024-10-02,3132.0,3153.0,248750.0
2024-10-01,3108.5,3141.0,249875.0
2024-09-30,3075.5,3111.0,251425.0
2024-09-27,3045.5,3086.0,253250.0
2024-09-26,3038.5,3075.0,255050.0
2024-09-25,2957.5,2998.0,255225.0
2024-09-24,2943.0,2979.0,256950.0
2024-09-23,2839.0,2872.0,258050.0
2024-09-20,2862.0,2901.5,256150.0
2024-09-19,2892.0,2930.0,256800.0
2024-09-18,2889.0,2918.0,251850.0
2024-09-17,2884.0,2924.0,247100.0
2024-09-16,2896.5,2935.0,234150.0
2024-09-13,2798.5,2842.0,229300.0
2024-09-12,2810.0,2847.0,232425.0
2024-09-11,2727.0,2777.0,232725.0
2024-09-10,2653.0,2698.5,234450.0
2024-09-09,2682.0,2734.0,236550.0
2024-09-06,2714.5,2767.0,238375.0
2024-09-05,2687.5,2740.0,239275.0
2024-09-04,2733.5,2786.0,239750.0
2024-09-03,2750.0,2805.0,241325.0
2024-09-02,2778.0,2835.0,243225.0
2024-08-30,2862.0,2915.0,244775.0
2024-08-29,2820.0,2875.0,246325.0
2024-08-28,2813.0,2871.0,249625.0
2024-08-27,2885.0,2937.0,255800.0
2024-08-23,2841.5,2885.0,256050.0
2024-08-22,2828.0,2872.0,256850.0
2024-08-21,2797.5,2848.0,257625.0
2024-08-20,2772.0,2824.0,258800.0
2024-08-19,2745.5,2807.0,260000.0
2024-08-16,2694.0,2751.0,260600.0
2024-08-15,2711.0,2764.0,260600.0
2024-08-14,2679.0,2733.0,262275.0
2024-08-13,2637.0,2689.0,263150.0
2024-08-12,2714.0,2759.0,239525.0
2024-08-09,2697.0,2738.0,239925.0
2024-08-08,2580.0,2632.0,242025.0
2024-08-07,2516.0,2571.5,244375.0
2024-08-06,2541.0,2598.0,247825.0
2024-08-05,2522.0,2578.0,229775.0
2024-08-02,2628.0,2687.0,232550.0
2024-08-01,2621.5,2684.5,234675.0
2024-07-31,2634.5,2687.0,236375.0
2024-07-30,2570.5,2630.0,238425.0
2024-07-29,2614.0,2667.0,240550.0
2024-07-26,2609.0,2659.0,242350.0
2024-07-25,2598.0,2654.0,243975.0
2024-07-24,2653.0,2710.0,245550.0
2024-07-23,2638.5,2698.0,247425.0
2024-07-22,2660.5,2726.0,245775.0
2024-07-19,2717.0,2780.0,240275.0
2024-07-18,2737.0,2808.0,242600.0
2024-07-17,2819.0,2877.5,246100.0
2024-07-16,2861.0,2922.0,246100.0
2024-07-15,2904.0,2962.0,247475.0
2024-07-12,2870.0,2930.0,251125.0
2024-07-11,2902.5,2968.0,253300.0
2024-07-10,2870.0,2931.0,255050.0
2024-07-09,2872.0,2933.0,256375.0
2024-07-08,2926.0,2989.0,258675.0
2024-07-05,2955.0,3012.5,258675.0
2024-07-04,2948.0,3006.0,258700.0
2024-07-03,2915.0,2976.0,259025.0
2024-07-02,2873.0,2934.0,259775.0
2024-07-01,2912.0,2974.0,261850.0
2024-06-28,2919.5,2976.0,262075.0
2024-06-27,2876.5,2935.0,239600.0
2024-06-26,2861.0,2913.0,239850.0
2024-06-25,2808.0,2869.0,240200.0
2024-06-24,2799.0,2858.0,240400.0
2024-06-21,2786.0,2845.0,242525.0
2024-06-20,2811.5,2862.5,244375.0
2024-06-19,2817.0,2877.0,247100.0
2024-06-18,2732.0,2786.0,249450.0
2024-06-17,2757.0,2803.0,250950.0
2024-06-14,2732.0,2790.0,254200.0
2024-06-13,2809.0,2862.0,255900.0
2024-06-12,2765.0,2827.0,257900.0
2024-06-11,2727.0,2770.5,259350.0
2024-06-10,2759.0,2816.0,259950.0
2024-06-07,2834.0,2892.0,260825.0
2024-06-06,2842.5,2907.0,260775.0
2024-06-05,2823.0,2880.5,257650.0
2024-06-04,2869.0,2920.5,254600.0
2024-06-03,2929.0,2978.0,255925.0
2024-05-31,2994.5,3041.5,257025.0
2024-05-30,2985.0,3042.5,251775.0
2024-05-29,3060.0,3118.0,253725.0
2024-05-28,3055.0,3106.0,257200.0
2024-05-24,3012.5,3063.0,257225.0
2024-05-23,3007.0,3051.5,257625.0
2024-05-22,3030.0,3082.0,257625.0
2024-05-21,3093.0,3142.5,258525.0
2024-05-20,3047.0,3087.0,258850.0
2024-05-17,2929.0,2975.0,259375.0
2024-05-16,2936.0,2984.0,259675.0
2024-05-15,2954.0,3000.0,250875.0
2024-05-14,2935.5,2975.5,250950.0
2024-05-13,2930.0,2962.0,251400.0
2024-05-10,2913.0,2945.0,251950.0
2024-05-09,2858.0,2891.5,252125.0
2024-05-08,2860.0,2893.0,252750.0
2024-05-07,2885.0,2920.0,253725.0
2024-05-03,2891.0,2916.5,253975.0
2024-05-02,2859.0,2877.0,254875.0
2024-05-01,2835.0,2846.0,254875.0
2024-04-30,2924.5,2931.5,255350.0
2024-04-29,2882.0,2897.0,255400.0
