,price_doc,full_sq,life_sq,num_room,kitch_sq
8056,2750000,11,11.0,1.0,12.0
8154,7100000,45,27.0,2.0,6.0
8287,11700000,77,50.0,3.0,8.0
8387,10400000,56,29.0,2.0,10.0
8391,6200000,31,21.0,1.0,5.0
8410,5950000,43,27.0,2.0,5.0
8423,5900000,46,29.0,2.0,5.0
8427,2000000,45,29.0,2.0,6.0
8452,4500000,38,24.0,2.0,5.0
8470,4569600,54,32.0,2.0,9.0
8499,6000000,37,18.0,1.0,0.0
8501,7300000,40,24.0,2.0,5.0
8519,10500000,56,38.0,3.0,6.0
8535,6700000,38,23.0,2.0,6.0
8563,5800000,46,45.0,2.0,5.0
8577,6900000,44,27.0,2.0,5.0
8590,4850000,39,20.0,1.0,8.0
8625,10300000,54,32.0,2.0,9.0
8639,8000000,44,28.0,2.0,5.0
8652,6775000,45,28.0,2.0,5.0
8689,11500000,61,32.0,2.0,10.0
8696,5650000,44,30.0,2.0,5.0
8699,8720000,51,32.0,2.0,8.0
8700,9150000,51,24.0,2.0,7.0
8702,7400000,45,30.0,2.0,6.0
8721,8700000,57,35.0,2.0,7.0
8723,2000000,65,33.0,2.0,9.0
8727,5900000,30,17.0,1.0,6.0
8729,5450000,36,18.0,1.0,9.0
8740,990000,32,19.0,1.0,5.0
8746,12200000,64,46.0,3.0,7.0
8774,9900000,50,30.0,2.0,8.0
8795,10300000,79,49.0,4.0,7.0
8818,16000000,55,40.0,3.0,5.0
8822,12500000,74,44.0,3.0,10.0
8825,10000000,59,42.0,3.0,6.0
8869,2000000,83,44.0,3.0,10.0
8894,6800000,44,30.0,2.0,5.0
8906,17500000,81,54.0,3.0,8.0
8912,3850000,51,30.0,2.0,8.0
8914,2000000,36,19.0,1.0,9.0
8927,7200000,50,33.0,2.0,6.0
8929,19100000,59,35.0,2.0,5.0
8933,22800000,106,72.0,5.0,8.0
8953,2000000,40,20.0,1.0,8.0
8967,6098000,35,19.0,1.0,9.0
8976,6600000,43,27.0,2.0,5.0
8978,8600000,56,37.0,3.0,5.0
9011,2000000,38,23.0,2.0,6.0
9019,8800000,63,46.0,4.0,6.0
9024,5400000,32,18.0,1.0,6.0
9030,6600000,37,19.0,1.0,7.0
9037,8800000,38,19.0,1.0,7.0
9053,2000000,59,43.0,3.0,5.0
9066,6500000,33,17.0,1.0,8.0
9087,1400000,56,39.0,3.0,5.0
9107,6800000,43,27.0,2.0,5.0
9110,11500000,65,41.0,2.0,6.0
9124,7000000,38,18.0,1.0,8.0
9126,16100000,85,54.0,3.0,8.0
9144,5800000,33,16.0,1.0,8.0
9152,7200000,38,19.0,1.0,8.0
9158,1000000,30,17.0,1.0,5.0
9161,24435000,83,42.0,3.0,9.0
9170,10500000,57,34.0,2.0,8.0
9175,7950000,45,27.0,2.0,6.0
9205,7600000,40,16.0,1.0,8.0
9208,6300000,43,27.0,2.0,5.0
9223,9700000,60,44.0,3.0,6.0
9229,11600000,67,34.0,2.0,12.0
9243,2300000,43,29.0,2.0,5.0
9245,1000000,33,18.0,1.0,6.0
9256,13750000,77,458.0,3.0,10.0
9264,11200000,84,56.0,4.0,8.0
9268,11600000,58,32.0,2.0,10.0
9294,8200000,45,28.0,2.0,6.0
9303,2000000,45,31.0,2.0,5.0
9307,6800000,51,34.0,3.0,6.0
9361,14000000,79,53.0,3.0,9.0
9367,8600000,95,50.0,3.0,15.0
9387,18000000,81,55.0,3.0,8.0
9416,6300000,43,40.0,1.0,13.0
9437,11460000,60,37.0,3.0,13.0
9444,19900000,68,41.0,3.0,8.0
9456,10500000,74,46.0,3.0,10.0
9457,3000000,46,20.0,1.0,8.0
9461,6450000,38,21.0,1.0,7.0
9463,1000000,35,35.0,1.0,9.0
9467,5825000,40,20.0,1.0,8.0
9468,8000000,45,28.0,2.0,5.0
9474,6100000,40,27.0,2.0,5.0
9483,4800000,30,18.0,1.0,5.0
9485,8900000,39,18.0,1.0,10.0
9488,6350000,43,18.0,1.0,11.0
9489,15500000,79,45.0,3.0,10.0
9493,6500000,35,21.0,2.0,7.0
9520,17000000,56,35.0,2.0,7.0
9521,2000000,73,52.0,3.0,8.0
9522,5900000,29,17.0,1.0,4.0
