iter	RMSE
0	16.34476613
1	16.31779932
2	16.29835344
3	16.27998612
4	16.26354294
5	16.24133856
6	16.23579883
7	16.22892817
8	16.22677734
9	16.20863401
10	16.20055846
11	16.18189802
12	16.16830051
13	16.15796322
14	16.13943776
15	16.13611658
16	16.12219122
17	16.11804534
18	16.10943783
19	16.10856612
20	16.08680456
21	16.07860203
22	16.0719366
23	16.0643959
24	16.05941493
25	16.05858193
26	16.05636869
27	16.04137958
28	16.03511354
29	16.03099694
30	16.02720173
31	16.01916303
32	16.01447392
33	16.00056248
34	15.99100841
35	15.97657042
36	15.9685867
37	15.96132116
38	15.95349192
39	15.94038668
40	15.93386053
41	15.9335107
42	15.91788363
43	15.91680994
44	15.90582281
45	15.89691378
46	15.8873038
47	15.83804018
48	15.82645714
49	15.82571326
50	15.81541425
51	15.8055988
52	15.80165654
53	15.79413657
54	15.77583419
55	15.77061862
56	15.76709957
57	15.76655241
58	15.75655512
59	15.75600415
60	15.75091877
61	15.74152704
62	15.73285032
63	15.72408498
64	15.71903707
65	15.71051512
66	15.70736578
67	15.70459071
68	15.7020196
69	15.69153812
70	15.68609842
71	15.68444233
72	15.68396996
73	15.6684526
74	15.65358312
75	15.64722393
76	15.63612723
77	15.63279952
78	15.63239274
79	15.61325855
80	15.60435921
81	15.59533336
82	15.59020319
83	15.57707863
84	15.57048024
85	15.56881931
86	15.55339704
87	15.54248755
88	15.52993049
89	15.50274379
90	15.50092151
91	15.50056411
92	15.49373524
93	15.48460838
94	15.48061776
95	15.47266243
96	15.46304094
97	15.46122603
98	15.45721746
99	15.45274118
100	15.43819187
101	15.43342464
102	15.42757609
103	15.41892622
104	15.4110302
105	15.39844212
106	15.39206071
107	15.39114668
108	15.38969958
109	15.38347362
110	15.37118227
111	15.3620241
112	15.36172752
113	15.35880434
114	15.35859575
115	15.35067141
116	15.34343464
117	15.33271969
118	15.31861033
119	15.3102799
120	15.30283931
121	15.29425041
122	15.29176715
123	15.28749334
124	15.28176922
125	15.27154718
126	15.26072476
127	15.25574945
128	15.25243278
129	15.24736299
130	15.24226974
131	15.23419596
132	15.23126116
133	15.22777398
134	15.22704036
135	15.22513167
136	15.2126212
137	15.21073044
138	15.208348
139	15.19042263
140	15.19007818
141	15.1835587
142	15.18329592
143	15.1830974
144	15.1827422
145	15.1800964
146	15.17895809
147	15.17203803
148	15.15110018
149	15.14476068
150	15.13879936
151	15.12464239
152	15.12449851
153	15.12158011
154	15.11312249
155	15.1052998
156	15.10201937
157	15.09955343
158	15.09890074
159	15.09281493
160	15.09160854
161	15.08855873
162	15.08530226
163	15.08488446
164	15.06811484
165	15.06384095
166	15.06043253
167	15.05764838
168	15.0561224
169	15.05039677
170	15.04379933
171	15.03597163
172	15.02934175
173	15.02036976
174	15.01267486
175	15.00647149
176	15.00403831
177	14.99871821
178	14.99215004
179	14.99165844
180	14.98604257
181	14.97947784
182	14.97782755
183	14.9702778
184	14.96742939
185	14.96080347
186	14.95472581
187	14.94601412
188	14.94213037
189	14.93717022
190	14.93024057
191	14.92423679
192	14.92048076
193	14.91525692
194	14.91061461
195	14.90513713
196	14.89898663
197	14.89528244
198	14.88384278
199	14.87265044
