iter	Passed	Remaining
0	23	4754
1	49	4874
2	73	4857
3	94	4631
4	122	4786
5	151	4895
6	180	4976
7	221	5319
8	260	5534
9	292	5559
10	325	5590
11	361	5659
12	393	5654
13	413	5494
14	443	5470
15	475	5465
16	506	5456
17	532	5383
18	558	5320
19	573	5157
20	609	5192
21	642	5199
22	668	5142
23	691	5069
24	715	5011
25	745	4988
26	775	4967
27	810	4979
28	839	4950
29	869	4924
30	901	4913
31	935	4908
32	966	4891
33	991	4840
34	1016	4790
35	1041	4742
36	1069	4710
37	1104	4708
38	1141	4713
39	1180	4721
40	1212	4701
41	1227	4619
42	1262	4607
43	1288	4566
44	1323	4558
45	1361	4557
46	1394	4538
47	1425	4513
48	1455	4486
49	1487	4462
50	1519	4439
51	1551	4414
52	1579	4382
53	1614	4366
54	1644	4335
55	1674	4306
56	1700	4265
57	1719	4210
58	1749	4181
59	1772	4134
60	1803	4110
61	1858	4137
62	1902	4136
63	1932	4106
64	1957	4065
65	1984	4029
66	2021	4012
67	2054	3989
68	2081	3952
69	2116	3929
70	2149	3904
71	2181	3879
72	2214	3853
73	2252	3834
74	2280	3800
75	2312	3773
76	2342	3741
77	2373	3711
78	2400	3677
79	2432	3648
80	2466	3623
81	2495	3591
82	2522	3555
83	2555	3529
84	2580	3491
85	2610	3460
86	2643	3433
87	2672	3401
88	2705	3374
89	2740	3349
90	2769	3317
91	2796	3283
92	2827	3252
93	2863	3229
94	2896	3201
95	2929	3173
96	2959	3142
97	2988	3110
98	3020	3081
99	3050	3050
100	3087	3026
101	3115	2993
102	3140	2957
103	3169	2925
104	3200	2895
105	3233	2867
106	3270	2842
107	3294	2806
108	3326	2776
109	3352	2742
110	3379	2709
111	3412	2681
112	3444	2652
113	3471	2618
114	3488	2578
115	3522	2551
116	3558	2524
117	3587	2493
118	3622	2465
119	3657	2438
120	3687	2407
121	3709	2371
122	3740	2341
123	3773	2312
124	3801	2280
125	3829	2248
126	3860	2219
127	3891	2188
128	3925	2160
129	3954	2129
130	3988	2100
131	4024	2073
132	4103	2066
133	4137	2037
134	4169	2007
135	4208	1980
136	4253	1956
137	4289	1927
138	4326	1898
139	4355	1866
140	4383	1834
141	4420	1805
142	4449	1773
143	4479	1742
144	4506	1709
145	4538	1678
146	4562	1645
147	4586	1611
148	4620	1581
149	4655	1551
150	4686	1520
151	4713	1488
152	4739	1455
153	4768	1424
154	4808	1395
155	4849	1367
156	4889	1339
157	4920	1307
158	4951	1276
159	4981	1245
160	5010	1213
161	5045	1183
162	5077	1152
163	5106	1121
164	5140	1090
165	5166	1058
166	5194	1026
167	5226	995
168	5259	964
169	5288	933
170	5317	901
171	5348	870
172	5388	841
173	5423	810
174	5455	779
175	5490	748
176	5520	717
177	5549	685
178	5580	654
179	5611	623
180	5645	592
181	5682	562
182	5709	530
183	5739	499
184	5770	467
185	5800	436
186	5831	405
187	5864	374
188	5898	343
189	5929	312
190	5955	280
191	5986	249
192	6021	218
193	6053	187
194	6087	156
195	6120	124
196	6149	93
197	6178	62
198	6206	31
199	6233	0
