iter	Logloss
0	0.6772947309
1	0.66235
2	0.6485210466
3	0.6358751523
4	0.6245327532
5	0.6136399464
6	0.6031472049
7	0.5937003716
8	0.5849563338
9	0.5763004128
10	0.5685183129
11	0.5609765418
12	0.5546042912
13	0.548276102
14	0.5426432397
15	0.5374731334
16	0.5324694162
17	0.527954352
18	0.5232439907
19	0.519127013
20	0.5150720923
21	0.5115812882
22	0.508248947
23	0.5054268946
24	0.5027254967
25	0.5000247859
26	0.4976219447
27	0.4951625279
28	0.49295404
29	0.4908287471
30	0.4890205862
31	0.4871625986
32	0.4856019814
33	0.4840482958
34	0.4826420817
35	0.4813609458
36	0.4802031497
37	0.4786811945
38	0.4775045303
39	0.4764497292
40	0.4755579082
41	0.4747630367
42	0.4740734524
43	0.4732677471
44	0.4722959204
45	0.4716426655
46	0.4710328843
47	0.470329764
48	0.4696358794
49	0.4691284634
50	0.4685118951
51	0.4679772764
52	0.4673390257
53	0.4669633141
54	0.4665218608
55	0.4662499897
56	0.4659062293
57	0.4656043937
58	0.4652139603
59	0.4650085792
60	0.4645980837
61	0.4643076651
62	0.4640056163
63	0.4637597367
64	0.4635566484
65	0.4633850496
66	0.4631974406
67	0.462908816
68	0.4626572427
69	0.4625465852
70	0.4624214878
71	0.4621773663
72	0.4618707463
73	0.4616964156
74	0.4615914704
75	0.4614373533
76	0.4611696815
77	0.461051792
78	0.4609349647
79	0.4608422843
80	0.4606707734
81	0.4606158216
82	0.4604900925
83	0.4603098233
84	0.4601397085
85	0.4600433891
86	0.4599014398
87	0.4596884205
88	0.4595773836
89	0.4594176195
90	0.4592740535
91	0.4592175937
92	0.4590259883
93	0.4588540459
94	0.4587006846
95	0.4585301906
96	0.458383148
97	0.4583564483
98	0.4582350212
99	0.4581218417
100	0.4579757886
101	0.4578505773
102	0.4577652275
103	0.4576977095
104	0.4576024213
105	0.4574763705
106	0.4574163361
107	0.4573382663
108	0.4572604123
109	0.457173124
110	0.457070092
111	0.4569578646
112	0.4568893824
113	0.4568129896
114	0.4567635003
115	0.4566970799
116	0.4566415641
117	0.4565715834
118	0.4565687829
119	0.4564488314
120	0.4564039735
121	0.4563377538
122	0.4562620336
123	0.4561949501
124	0.4561349479
125	0.4560964756
126	0.4560014746
127	0.4559110628
128	0.4558253807
129	0.4557881268
130	0.4557122809
131	0.4555796469
132	0.4555777272
133	0.4555105401
134	0.4554293336
135	0.4554255217
136	0.4554074336
137	0.4553964712
138	0.4553081324
139	0.455212379
140	0.4551736208
141	0.4550926344
142	0.4550431124
143	0.4549689141
144	0.4548860837
145	0.4548408022
146	0.4548254747
147	0.4547204884
148	0.4546414624
149	0.4545822481
150	0.4545321341
151	0.4545288558
152	0.4544582691
153	0.4544072591
154	0.4543436095
155	0.4542360588
156	0.4541904759
157	0.4541356528
158	0.4541059359
159	0.4540333558
160	0.4539832211
161	0.4539590108
162	0.4539137946
163	0.4538417165
164	0.4537850762
165	0.4537812633
166	0.4537094164
167	0.4536592333
168	0.4535924911
169	0.4535039122
170	0.4534124034
171	0.45335135
172	0.4532781979
173	0.4531661468
174	0.4531482082
175	0.4531278009
176	0.4530629966
177	0.4530227705
178	0.4529416298
179	0.4528908297
180	0.4528369053
181	0.4527388256
182	0.4526577852
183	0.4526056708
184	0.4525520665
185	0.4524696609
186	0.4524696764
187	0.4524153972
188	0.4523573348
189	0.4522932703
190	0.4522781066
191	0.4522040118
192	0.4521524592
193	0.4520686976
194	0.4520208389
195	0.4519322601
196	0.4518817162
197	0.4518535758
198	0.4517580009
199	0.451716307
200	0.4516610491
201	0.4516112736
202	0.4515811066
203	0.4514934663
204	0.4514461129
205	0.4514107266
206	0.4513202032
207	0.4512714141
208	0.4512458926
209	0.4512052116
210	0.4511751895
211	0.4511245695
212	0.4510835082
213	0.4510486973
214	0.45098008
215	0.4509800458
216	0.4509798648
217	0.4509241333
218	0.4508957609
219	0.4508327515
220	0.4507449021
221	0.4507040449
222	0.4506443019
223	0.4505924992
224	0.4505923099
225	0.4505869274
226	0.4505471484
227	0.4505062531
228	0.4504755928
229	0.4504280247
230	0.4503938879
231	0.4503551459
232	0.4503055307
233	0.4502825346
234	0.4502019707
235	0.4501589732
236	0.4501015936
237	0.4500521111
238	0.4500307346
239	0.4499910102
240	0.4499391714
241	0.4499034518
242	0.4498382849
243	0.4497603451
244	0.4497147548
245	0.4497147618
246	0.4496390683
247	0.4495904516
248	0.4495887081
249	0.4495457034
250	0.4494819633
251	0.4494389427
252	0.449373811
253	0.4493171818
254	0.4492801406
255	0.4492287119
256	0.4491609716
