iter	Passed	Remaining
0	4	4251
1	8	4163
2	13	4419
3	16	4138
4	18	3722
5	22	3768
6	27	3834
7	30	3820
8	33	3714
9	37	3751
10	41	3737
11	45	3749
12	48	3653
13	51	3657
14	55	3652
15	58	3585
16	61	3583
17	64	3535
18	68	3547
19	72	3557
20	77	3591
21	79	3554
22	83	3562
23	86	3511
24	88	3465
25	91	3439
26	95	3437
27	99	3438
28	102	3440
29	107	3463
30	110	3460
31	115	3491
32	119	3516
33	124	3525
34	128	3545
35	133	3564
36	136	3551
37	140	3566
38	145	3574
39	149	3592
40	154	3617
41	158	3607
42	160	3581
43	166	3609
44	170	3627
45	174	3627
46	180	3661
47	186	3696
48	192	3728
49	195	3709
50	201	3744
51	205	3742
52	210	3756
53	214	3761
54	220	3784
55	222	3758
56	228	3775
57	231	3762
58	236	3779
59	239	3754
60	244	3768
61	248	3755
62	253	3777
63	259	3796
64	263	3797
65	268	3799
66	271	3782
67	276	3785
68	280	3781
69	282	3754
70	285	3737
71	290	3744
72	295	3748
73	299	3753
74	303	3748
75	308	3753
76	314	3766
77	320	3783
78	324	3778
79	329	3789
80	334	3797
81	337	3777
82	342	3780
83	346	3783
84	352	3796
85	358	3807
86	363	3814
87	369	3825
88	373	3826
89	378	3824
90	382	3825
91	386	3811
92	390	3810
93	395	3813
94	400	3816
95	405	3816
96	410	3825
97	413	3810
98	419	3818
99	424	3824
100	430	3831
101	436	3840
102	441	3844
103	446	3847
104	452	3852
105	457	3861
106	463	3865
107	468	3873
108	475	3882
109	480	3888
110	486	3893
111	491	3898
112	496	3898
113	502	3902
114	508	3910
115	513	3913
116	519	3918
117	524	3923
118	527	3905
119	532	3906
120	537	3907
121	543	3911
122	548	3910
123	554	3916
124	559	3915
125	563	3907
126	569	3912
127	575	3919
128	581	3925
129	586	3927
130	593	3935
131	599	3941
132	602	3927
133	608	3931
134	614	3936
135	617	3923
136	621	3911
137	624	3900
138	630	3903
139	636	3907
140	642	3911
141	648	3916
142	654	3921
143	660	3925
144	666	3928
145	672	3932
146	677	3931
147	683	3935
148	689	3938
