recency,history,used_discount,used_bogo,is_referral,treatment,target_class,conversion,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,uplift_score
10,142.44,1,0,0,1,2,0,0,1,0,0,1,0,0.006967936925260626
6,329.08,1,1,1,0,0,0,1,0,0,0,0,1,0.022530034750989525
7,180.65,0,1,1,1,2,0,0,1,0,0,0,1,0.07738131040779146
2,45.34,1,0,0,1,2,0,0,0,1,0,0,1,0.02715067033957623
6,134.83,0,1,0,1,3,1,0,1,0,0,1,0,0.0744116739581068
9,280.2,1,0,1,1,2,0,0,1,0,0,1,0,0.017021130542310955
9,46.42,0,1,0,1,2,0,0,0,1,0,1,0,0.0818274385542204
10,32.84,0,1,1,1,2,0,0,0,1,0,0,1,0.07805180372795915
7,548.91,0,1,1,1,3,1,0,0,1,0,1,0,0.07698281777659884
1,211.45,0,1,1,1,2,0,0,0,1,0,1,0,0.08473246623862586
5,642.9,0,1,1,1,2,0,0,1,0,1,0,0,0.08279527306176745
4,241.42,0,1,1,0,0,0,1,0,0,1,0,0,0.048591008916652495
3,58.13,1,0,1,0,1,1,0,0,1,0,0,1,0.019031920375177397
9,29.99,0,1,1,0,0,0,0,1,0,0,1,0,0.07954216444386647
2,29.99,0,1,1,0,0,0,0,0,1,0,1,0,0.06417146528464601
4,78.24,1,0,0,0,0,0,0,1,0,0,0,1,0.00893899916068562
7,435.73,0,1,1,0,0,0,0,0,1,0,0,1,0.07597687010879557
2,203.35,1,0,0,0,0,0,1,0,0,0,0,1,0.014134182510449067
2,237.53,0,1,0,1,2,0,0,1,0,0,1,0,0.06566362614369993
3,29.99,1,0,0,1,2,0,1,0,0,0,0,1,0.007902892286905355
4,218.72,0,1,0,1,2,0,0,0,1,1,0,0,0.06812567075815432
10,63.79,1,0,1,1,2,0,1,0,0,0,1,0,0.015534581009596302
9,204.18,0,1,0,1,2,0,0,1,0,0,0,1,0.07590794942697435
2,492.02,1,0,0,0,0,0,0,1,0,0,1,0,0.029450763051904347
1,48.32,0,1,0,0,0,0,0,0,1,0,0,1,0.08941044997971337
10,29.99,1,0,0,0,0,0,0,1,0,0,1,0,0.011933971080794095
2,391.33,1,0,0,0,0,0,0,1,0,0,0,1,0.024202910387047263
3,134.59,1,0,1,1,3,1,0,0,1,0,1,0,0.019048185767450834
10,61.09,0,1,0,1,2,0,0,1,0,0,0,1,0.08165881387640188
3,203.3,0,1,0,0,0,0,0,1,0,0,0,1,0.06715819133339003
12,150.06,0,1,0,0,0,0,0,1,0,0,1,0,0.07754562075188849
6,42.66,1,0,0,0,0,0,0,1,0,0,0,1,0.007884984019914984
12,69.08,0,1,0,1,2,0,1,0,0,0,1,0,0.07241509562913236
3,549.29,1,0,1,0,0,0,0,1,0,1,0,0,0.009645467935118113
3,143.93,0,1,0,1,2,0,0,1,0,0,1,0,0.067251580383594
2,96.91,1,0,0,1,2,0,0,1,0,0,1,0,0.023156574555957307
11,417.21,0,1,0,0,0,0,0,0,1,0,1,0,0.07559684808189898
9,61.57,1,0,1,1,2,0,0,1,0,0,1,0,0.016270869541786553
5,222.07,0,1,0,1,2,0,0,1,0,0,1,0,0.07140928746243436
1,259.91,0,1,1,0,0,0,0,1,0,0,0,1,0.09211747406373762
11,53.81,1,0,1,0,0,0,0,0,1,0,1,0,0.01654055684381396
10,1009.44,1,0,1,1,2,0,0,1,0,1,0,0,0.008624917271281937
10,31.12,1,0,0,1,2,0,0,0,1,0,1,0,0.014638924815984194
7,612.28,1,0,1,1,2,0,0,1,0,0,1,0,0.021667477898148907
11,228.09,0,1,1,0,0,0,0,1,0,0,0,1,0.0765273522363423
4,194.11,1,0,0,0,0,0,0,0,1,0,1,0,0.005799660007497778
7,84.49,0,1,1,0,0,0,0,0,1,0,0,1,0.08277415951763847
2,95.33,0,1,0,0,1,1,0,1,0,0,0,1,0.06105434874469326
1,80.42,0,1,1,1,2,0,0,0,1,0,1,0,0.08280514795384476
10,237.85,1,0,0,1,2,0,0,0,1,0,0,1,0.010543393030192472
2,82.59,1,0,0,1,2,0,0,1,0,0,1,0,0.023602291501343742
6,165.77,0,1,0,1,3,1,0,0,1,0,0,1,0.07456531935723668
3,101.61,0,1,1,0,0,0,0,1,0,0,1,0,0.07318275224624896
8,52.64,0,1,1,0,0,0,0,1,0,0,0,1,0.0823607262771916
3,1973.87,1,0,1,0,0,0,0,1,0,1,0,0,0.022367377963541116
1,47.44,0,1,0,1,2,0,0,0,1,0,1,0,0.08144777728633287
1,106.27,0,1,0,1,2,0,0,1,0,0,0,1,0.09507371006133314
11,215.46,0,1,0,1,2,0,0,0,1,0,0,1,0.0753220522164687
11,189.25,0,1,1,0,0,0,0,0,1,0,1,0,0.07817580600970092
10,108.12,1,0,0,1,2,0,0,0,1,0,0,1,0.007242351229557686
8,66.14,1,0,1,0,0,0,0,1,0,0,1,0,0.01776593730851908
8,98.56,1,0,1,1,2,0,0,1,0,0,0,1,0.014700969995914887
6,129.14,1,0,0,1,2,0,0,1,0,0,0,1,0.006823441680237047
2,493.17,0,1,0,1,2,0,0,1,0,0,0,1,0.057642892207661195
12,29.99,0,1,1,0,0,0,0,0,1,0,0,1,0.07805180372795915
2,66.6,1,0,1,1,2,0,0,0,1,0,1,0,0.03171949496806553
12,129.73,1,0,0,1,2,0,0,1,0,0,0,1,0.0023587448241204206
4,54.41,0,1,1,1,2,0,0,0,1,0,1,0,0.07719831739434924
