recency,history,used_discount,used_bogo,is_referral,treatment,target_class,conversion,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,uplift_score
6,329.08,1,1,1,0,0,0,1,0,0,0,0,1,0.0939146631940817
9,675.83,1,0,1,1,2,0,1,0,0,0,0,1,0.07259958261756501
9,675.07,1,1,1,1,2,0,1,0,0,0,1,0,0.08343891005531215
2,101.64,0,1,0,1,3,1,0,0,1,0,0,1,0.07765471154162416
4,241.42,0,1,1,0,0,0,1,0,0,1,0,0,0.07412293952165934
3,58.13,1,0,1,0,1,1,0,0,1,0,0,1,0.07118208441758367
5,29.99,1,0,0,1,2,0,0,1,0,0,1,0,0.06237475375568595
9,112.35,1,0,0,1,2,0,1,0,0,0,0,1,0.07740092317543555
11,219.04,1,1,0,1,2,0,0,1,0,0,1,0,0.1005778315420279
5,828.42,1,0,1,1,2,0,0,1,0,1,0,0,0.07342103215295695
9,29.99,0,1,1,0,0,0,0,1,0,0,1,0,0.06781400823249037
11,182.32,1,0,0,1,2,0,0,1,0,0,1,0,0.056076665538194
2,118.4,1,0,0,1,3,1,0,1,0,0,0,1,0.08194307074422998
2,29.99,0,1,1,0,0,0,0,0,1,0,1,0,0.06699975775723958
4,78.24,1,0,0,0,0,0,0,1,0,0,0,1,0.07784139075027031
6,139.87,0,1,1,1,2,0,1,0,0,0,0,1,0.07114982101111111
12,115.39,0,1,0,1,3,1,0,1,0,0,1,0,0.07769810388041665
6,162.98,0,1,0,1,2,0,0,1,0,0,0,1,0.06991610270276116
7,435.73,0,1,1,0,0,0,0,0,1,0,0,1,0.08098943816939327
2,203.35,1,0,0,0,0,0,1,0,0,0,0,1,0.08205026055984438
9,334.24,1,0,0,1,2,0,0,0,1,0,0,1,0.09021918706290724
6,128.01,0,1,0,1,2,0,0,0,1,0,0,1,0.07385458142606457
9,29.99,1,0,1,1,2,0,0,1,0,0,1,0,0.06584665196713876
1,514.52,0,1,1,1,2,0,0,1,0,0,0,1,0.08774193645324785
4,766.47,1,1,1,1,2,0,0,0,1,1,0,0,0.10593125852166024
7,520.43,0,1,1,1,2,0,0,1,0,0,0,1,0.07460952681442747
11,236.97,1,1,1,1,2,0,0,0,1,0,1,0,0.10741067429864944
3,99.23,1,0,0,1,3,1,1,0,0,0,0,1,0.07914976306895542
2,492.02,1,0,0,0,0,0,0,1,0,0,1,0,0.09212491671075904
1,48.32,0,1,0,0,0,0,0,0,1,0,0,1,0.044253663078557715
10,29.99,1,0,0,0,0,0,0,1,0,0,1,0,0.07317345701120892
2,391.33,1,0,0,0,0,0,0,1,0,0,0,1,0.09649171913383336
1,729.7,1,1,1,1,2,0,0,1,0,0,0,1,0.1188094972534183
3,203.3,0,1,0,0,0,0,0,1,0,0,0,1,0.07544867951196949
9,185.43,1,0,0,1,2,0,0,0,1,0,0,1,0.07576064372571999
7,29.99,0,1,1,1,2,0,0,0,1,0,1,0,0.0626372243817699
9,78.62,1,0,0,1,2,0,0,0,1,0,0,1,0.07793770897919514
12,150.06,0,1,0,0,0,0,0,1,0,0,1,0,0.07278867138909485
6,42.66,1,0,0,0,0,0,0,1,0,0,0,1,0.07042947716188414
3,549.29,1,0,1,0,0,0,0,1,0,1,0,0,0.08294843912939766
9,506.83,1,0,1,1,2,0,1,0,0,1,0,0,0.06150421704913135
10,115.4,1,0,0,1,2,0,0,0,1,0,1,0,0.07008857194268059
6,40.07,1,0,1,1,2,0,0,1,0,0,1,0,0.06171410877047473
11,417.21,0,1,0,0,0,0,0,0,1,0,1,0,0.07611500915081017
1,259.91,0,1,1,0,0,0,0,1,0,0,0,1,0.08369105335613031
11,53.81,1,0,1,0,0,0,0,0,1,0,1,0,0.06701296954704325
9,154.15,0,1,0,1,2,0,0,1,0,0,0,1,0.06879777182530439
2,278.8,1,0,0,1,2,0,1,0,0,0,0,1,0.07872505576109504
2,428.74,1,0,0,1,2,0,1,0,0,0,1,0,0.08995903863039814
11,228.09,0,1,1,0,0,0,0,1,0,0,0,1,0.06620511688750311
1,640.58,0,1,1,1,2,0,0,0,1,0,1,0,0.08901951018477418
4,194.11,1,0,0,0,0,0,0,0,1,0,1,0,0.07966899624145274
7,84.49,0,1,1,0,0,0,0,0,1,0,0,1,0.06614819149457941
7,235.14,0,1,1,1,2,0,0,0,1,0,1,0,0.07195441894246334
2,29.99,0,1,0,1,2,0,0,1,0,0,1,0,0.05818172817976071
7,272.32,1,0,1,1,2,0,0,1,0,0,0,1,0.07297011090617007
2,95.33,0,1,0,0,1,1,0,1,0,0,0,1,0.07618146350876659
5,494.26,1,1,1,1,2,0,0,1,0,0,1,0,0.1164827223169812
2,809.07,1,0,1,1,2,0,0,0,1,0,1,0,0.08648946884434015
3,101.61,0,1,1,0,0,0,0,1,0,0,1,0,0.07914406298825603
8,52.64,0,1,1,0,0,0,0,1,0,0,0,1,0.06646369909740217
6,466.29,1,0,1,1,2,0,0,0,1,1,0,0,0.08362471264040693
3,100.85,1,0,1,1,2,0,0,0,1,0,1,0,0.07403669140948092
3,1397.57,1,0,1,1,2,0,0,1,0,1,0,0,0.06810218471833315
2,770.58,0,1,1,1,2,0,0,1,0,0,1,0,0.08956739131201148
3,1973.87,1,0,1,0,0,0,0,1,0,1,0,0,0.06377064789664955
3,133.51,1,0,0,1,2,0,0,0,1,0,0,1,0.08026505969765987
8,31.52,0,1,0,1,2,0,0,1,0,0,0,1,0.06224715663662991
11,189.25,0,1,1,0,0,0,0,0,1,0,1,0,0.06696032672782663
8,66.14,1,0,1,0,0,0,0,1,0,0,1,0,0.06367516081265244
11,146.04,0,1,1,1,2,0,0,1,0,0,1,0,0.06361417017737725
12,29.99,0,1,1,0,0,0,0,0,1,0,0,1,0.06784776804927117
9,1172.42,1,1,1,1,2,0,0,1,0,0,0,1,0.06353402139739134
5,244.34,0,1,1,1,2,0,0,0,1,0,0,1,0.07590255792190925
9,151.01,1,0,0,0,0,0,0,1,0,0,0,1,0.06421409624686769
11,35.43,1,0,1,1,2,0,0,0,1,0,1,0,0.06845465240630608
3,313.6,0,1,0,0,0,0,0,1,0,0,1,0,0.0724357561098084
1,117.27,0,1,0,1,2,0,1,0,0,0,1,0,0.08975269072734478
5,29.99,0,1,0,0,0,0,0,1,0,0,0,1,0.0619503747323
3,683.2,1,1,1,0,0,0,1,0,0,1,0,0,0.09079235064371743
