iter	Passed	Remaining
0	19	19227
1	25	12748
2	31	10486
3	37	9359
4	43	8689
5	49	8282
6	56	7973
7	61	7684
8	68	7492
9	73	7319
10	79	7180
11	86	7101
12	92	6994
13	98	6916
14	104	6879
15	110	6817
16	116	6745
17	123	6717
18	130	6719
19	136	6675
20	142	6633
21	147	6575
22	153	6527
23	159	6494
24	165	6459
25	171	6428
26	177	6380
27	182	6331
28	188	6296
29	193	6268
30	199	6228
31	205	6210
32	211	6187
33	217	6167
34	223	6153
35	229	6155
36	235	6132
37	241	6124
38	247	6105
39	253	6090
40	259	6074
41	265	6061
42	272	6056
43	277	6037
44	283	6024
45	289	6012
46	295	5997
47	302	5989
48	308	5978
49	313	5962
50	319	5951
51	326	5944
52	332	5934
53	338	5924
54	343	5908
55	350	5901
56	355	5884
57	360	5862
58	366	5848
59	372	5828
60	377	5807
61	383	5796
62	388	5780
63	394	5762
64	399	5752
65	405	5739
66	411	5723
67	417	5717
68	422	5705
69	428	5691
70	434	5683
71	440	5682
72	446	5672
73	452	5663
74	457	5647
75	463	5633
76	468	5620
77	474	5608
78	480	5603
79	486	5597
80	492	5591
81	498	5585
82	504	5579
83	510	5571
84	516	5564
85	523	5560
86	529	5553
87	535	5545
88	541	5546
89	547	5539
90	554	5537
91	561	5537
92	567	5534
93	573	5529
94	579	5519
95	585	5515
96	591	5504
97	597	5498
98	603	5493
99	609	5487
100	615	5479
101	621	5473
102	627	5468
103	633	5459
104	639	5451
105	645	5445
106	651	5440
107	657	5432
108	663	5425
109	669	5419
110	675	5412
111	681	5404
112	687	5399
113	693	5393
114	700	5389
115	706	5380
116	712	5375
117	718	5373
118	724	5367
119	731	5361
120	737	5356
121	742	5344
122	748	5334
123	753	5325
124	759	5313
125	764	5305
126	770	5296
127	776	5287
128	781	5278
129	787	5268
130	792	5255
131	797	5245
132	803	5235
133	808	5225
134	814	5217
135	819	5206
136	824	5196
137	830	5187
138	835	5177
139	841	5167
140	846	5156
141	850	5139
142	855	5129
143	861	5120
144	867	5117
145	873	5108
146	878	5099
147	884	5091
148	889	5081
149	895	5072
150	900	5063
151	906	5057
152	911	5048
153	917	5038
154	922	5030
155	927	5020
156	933	5011
157	938	5003
158	944	4994
159	949	4986
160	955	4977
161	960	4969
162	966	4963
163	973	4960
164	978	4953
165	984	4944
166	990	4939
167	996	4935
168	1002	4931
169	1009	4927
170	1015	4923
171	1021	4918
172	1027	4909
173	1032	4902
174	1038	4894
175	1043	4886
176	1049	4879
177	1054	4870
178	1060	4862
179	1065	4853
180	1070	4845
181	1076	4836
182	1081	4828
183	1087	4821
184	1092	4813
185	1098	4806
186	1103	4797
187	1108	4789
188	1114	4782
189	1119	4773
190	1125	4765
191	1131	4761
192	1137	4756
193	1143	4750
194	1149	4743
195	1155	4739
196	1161	4734
197	1169	4736
198	1174	4729
199	1181	4725
200	1187	4719
201	1192	4712
202	1198	4706
203	1204	4699
204	1210	4692
205	1215	4685
206	1221	4680
207	1228	4676
208	1234	4672
209	1239	4664
210	1245	4657
211	1251	4650
212	1256	4643
213	1262	4636
214	1269	4633
215	1274	4627
216	1281	4623
217	1286	4614
218	1292	4610
219	1298	4604
220	1304	4599
221	1310	4594
222	1317	4590
223	1323	4583
224	1328	4576
225	1333	4567
226	1339	4560
227	1344	4553
228	1350	4546
229	1355	4538
230	1360	4530
231	1366	4523
232	1371	4516
233	1377	4509
234	1383	4503
235	1388	4495
236	1394	4488
237	1399	4481
238	1405	4475
239	1411	4468
240	1416	4460
241	1422	4454
242	1428	4449
243	1433	4442
244	1439	4435
245	1444	4428
246	1450	4421
247	1455	4413
248	1461	4406
249	1466	4400
250	1472	4393
251	1477	4386
252	1483	4379
253	1489	4373
254	1494	4367
255	1500	4362
256	1506	4355
257	1512	4349
258	1518	4343
259	1523	4336
260	1530	4334
261	1536	4329
262	1543	4324
263	1548	4317
264	1555	4313
265	1561	4308
266	1567	4302
267	1572	4295
268	1578	4288
269	1583	4281
270	1589	4275
271	1594	4268
272	1599	4260
273	1605	4254
274	1611	4247
275	1616	4240
276	1623	4236
277	1629	4233
278	1636	4229
279	1642	4223
280	1658	4242
281	1663	4235
282	1668	4228
283	1674	4220
284	1679	4213
285	1685	4207
286	1691	4201
287	1696	4194
288	1702	4187
289	1707	4180
290	1712	4172
291	1718	4165
292	1723	4158
293	1728	4151
294	1734	4144
295	1739	4137
296	1745	4131
297	1750	4124
298	1756	4117
299	1761	4110
300	1767	4104
301	1773	4099
302	1780	4094
303	1786	4089
304	1792	4084
305	1798	4079
306	1804	4073
307	1811	4069
308	1817	4064
309	1823	4058
310	1829	4052
311	1835	4047
312	1841	4041
313	1847	4036
314	1854	4032
315	1859	4025
316	1865	4018
317	1871	4013
