customer_id,job_title,job_industry_category
1,Executive Secretary,Health
2,Administrative Officer,Financial Services
3,Recruiting Manager,Property
4,,IT
5,Senior Editor,
6,,Retail
7,,Financial Services
8,Media Manager I,
9,Business Systems Development Analyst,Argiculture
10,Senior Quality Engineer,Financial Services
11,,Property
12,Nuclear Power Engineer,Manufacturing
13,Developer I,Financial Services
14,Account Executive,Financial Services
15,Junior Executive,Manufacturing
16,Media Manager IV,
17,Sales Associate,
18,Professor,
19,Geological Engineer,Manufacturing
20,Project Manager,Manufacturing
21,Safety Technician I,Manufacturing
22,,IT
23,,
24,Research Assistant I,Argiculture
25,Accounting Assistant III,Financial Services
26,Editor,Financial Services
27,Research Nurse,Health
28,Senior Quality Engineer,Health
29,Safety Technician III,Manufacturing
30,,IT
31,Staff Accountant III,Telecommunications
32,Legal Assistant,Manufacturing
33,Product Engineer,
34,Legal Assistant,IT
35,Information Systems Manager,Health
36,VP Quality Control,
37,Social Worker,Health
38,Senior Cost Accountant,Financial Services
39,Assistant Media Planner,Entertainment
40,Payment Adjustment Coordinator,Manufacturing
41,Food Chemist,Health
42,Accountant III,Manufacturing
43,Director of Sales,Retail
44,Assistant Media Planner,Entertainment
45,Senior Financial Analyst,Financial Services
46,,
47,Registered Nurse,Health
48,Biostatistician II,
49,VP Quality Control,
50,Account Executive,Manufacturing
51,Computer Systems Analyst II,Retail
52,,Financial Services
53,Software Test Engineer II,Financial Services
54,Sales Associate,Property
55,Paralegal,Financial Services
56,VP Sales,Property
57,Chief Design Engineer,
58,Office Assistant III,Financial Services
59,Physical Therapy Assistant,
60,,Manufacturing
61,Help Desk Operator,Property
62,,IT
63,Senior Quality Engineer,Retail
64,Legal Assistant,IT
65,Information Systems Manager,Financial Services
66,Account Executive,Argiculture
67,Web Developer II,Retail
68,Information Systems Manager,
69,Web Developer II,
70,Paralegal,Financial Services
71,Research Associate,Argiculture
72,Administrative Officer,Manufacturing
73,Teacher,
74,,
75,VP Product Management,Property
76,Statistician II,Retail
77,Automation Specialist IV,Financial Services
78,Business Systems Development Analyst,Argiculture
79,Account Executive,Manufacturing
80,Data Coordiator,Entertainment
81,,Health
82,Software Test Engineer III,Property
83,Internal Auditor,IT
84,Accountant III,
85,Analyst Programmer,
86,Occupational Therapist,Health
87,Editor,Financial Services
88,Help Desk Operator,Property
89,Speech Pathologist,Health
90,Quality Control Specialist,Manufacturing
91,Senior Financial Analyst,Financial Services
92,Recruiting Manager,Health
93,Project Manager,Retail
94,Civil Engineer,Manufacturing
95,Software Engineer III,Manufacturing
96,Nuclear Power Engineer,Manufacturing
97,Community Outreach Specialist,Financial Services
98,Safety Technician IV,Health
99,VP Accounting,Financial Services
100,General Manager,Financial Services
101,Nurse Practicioner,Manufacturing
102,Quality Control Specialist,Manufacturing
103,Product Engineer,Financial Services
104,Automation Specialist II,Health
105,Recruiting Manager,Manufacturing
106,Software Test Engineer III,Health
107,Nurse Practicioner,Financial Services
108,,
109,Marketing Assistant,
110,,Financial Services
111,Analyst Programmer,
112,Marketing Manager,Retail
113,Staff Scientist,
114,Teacher,Entertainment
115,Account Executive,Health
116,Assistant Professor,Manufacturing
117,Marketing Manager,Manufacturing
118,Budget/Accounting Analyst IV,
119,Associate Professor,
120,Legal Assistant,Financial Services
121,Graphic Designer,Manufacturing
122,Quality Control Specialist,Financial Services
123,Analyst Programmer,Financial Services
124,Administrative Assistant II,Health
125,Computer Systems Analyst II,Property
126,Administrative Officer,Health
127,Compensation Analyst,Financial Services
128,Systems Administrator III,Property
129,Financial Advisor,Financial Services
130,Chemical Engineer,Manufacturing
131,Administrative Officer,Retail
132,Web Designer I,Manufacturing
133,VP Accounting,Financial Services
134,Legal Assistant,Telecommunications
135,Internal Auditor,IT
136,Senior Developer,Manufacturing
137,Office Assistant II,Property
138,Recruiter,Financial Services
139,Operator,Telecommunications
140,Programmer Analyst III,Manufacturing
141,Teacher,Financial Services
142,Quality Engineer,Health
143,Operator,Argiculture
144,Environmental Tech,IT
145,Account Executive,Financial Services
146,Quality Control Specialist,Manufacturing
147,Analog Circuit Design manager,Health
148,Programmer Analyst III,
149,Research Nurse,Health
150,Cost Accountant,Financial Services
151,Marketing Manager,Manufacturing
152,Compensation Analyst,Financial Services
153,Assistant Media Planner,Entertainment
154,Junior Executive,
155,Quality Engineer,Manufacturing
156,Cost Accountant,Financial Services
157,Financial Advisor,Financial Services
158,Internal Auditor,
159,Research Nurse,Health
160,Registered Nurse,Health
161,,
162,Nurse Practicioner,IT
163,Librarian,Entertainment
164,Senior Editor,Retail
165,Administrative Officer,Argiculture
166,Structural Analysis Engineer,Manufacturing
167,,Health
168,General Manager,IT
169,Data Coordiator,Telecommunications
170,Pharmacist,Health
171,Assistant Manager,Manufacturing
172,Editor,Manufacturing
173,General Manager,Health
174,Food Chemist,Health
175,Quality Engineer,Manufacturing
176,Accountant I,Property
177,Professor,Financial Services
178,,
179,Environmental Tech,Manufacturing
180,Web Designer III,Argiculture
181,Senior Editor,Manufacturing
182,Sales Associate,Financial Services
183,Geologist III,Retail
184,Marketing Manager,Manufacturing
185,,Property
186,Software Test Engineer I,Financial Services
187,Structural Engineer,
188,Safety Technician II,Property
189,Safety Technician I,Financial Services
190,Registered Nurse,Health
191,Help Desk Operator,
192,Junior Executive,Health
193,Recruiting Manager,Manufacturing
194,Web Developer III,Financial Services
195,Project Manager,Manufacturing
196,Programmer Analyst II,Manufacturing
197,,
198,Assistant Media Planner,Entertainment
199,Junior Executive,Health
200,Physical Therapy Assistant,Property
201,Design Engineer,Manufacturing
202,Librarian,Entertainment
203,Senior Quality Engineer,Argiculture
204,Editor,Financial Services
205,Administrative Assistant II,Financial Services
206,Statistician I,
207,,
208,Office Assistant III,Property
209,Analog Circuit Design manager,
210,Assistant Manager,Property
211,VP Marketing,Manufacturing
212,Desktop Support Technician,IT
213,Actuary,Financial Services
214,Food Chemist,Health
215,Assistant Professor,Retail
216,Quality Engineer,Financial Services
217,,Manufacturing
218,Administrative Officer,Property
219,Database Administrator III,Health
220,Electrical Engineer,Manufacturing
221,Tax Accountant,Manufacturing
222,Clinical Specialist,Health
223,VP Sales,
224,Compensation Analyst,Financial Services
225,Pharmacist,Health
226,Database Administrator IV,Manufacturing
227,Accountant I,Entertainment
228,Systems Administrator II,Manufacturing
229,,Property
230,Internal Auditor,Property
231,Design Engineer,Financial Services
232,Professor,Retail
233,Environmental Tech,Property
234,Chief Design Engineer,Retail
235,Social Worker,Health
236,Research Nurse,Health
237,Account Coordinator,Property
238,Programmer III,
239,Registered Nurse,Health
240,Administrative Assistant III,IT
241,Quality Engineer,Entertainment
242,Nurse,Property
243,Teacher,Manufacturing
244,,Retail
245,Associate Professor,Financial Services
246,Technical Writer,Manufacturing
247,Staff Accountant II,Financial Services
248,Clinical Specialist,Health
249,Quality Control Specialist,IT
250,Legal Assistant,Health
251,VP Sales,Financial Services
252,Account Coordinator,Property
253,Food Chemist,Health
254,Information Systems Manager,Retail
255,Desktop Support Technician,IT
256,Director of Sales,Health
257,Sales Associate,Manufacturing
258,Administrative Officer,Manufacturing
259,Senior Developer,Health
260,Senior Quality Engineer,Health
261,Structural Engineer,
262,,Health
263,Dental Hygienist,Health
264,Technical Writer,Health
265,Sales Representative,Retail
266,Account Executive,Retail
267,,IT
268,Chemical Engineer,Manufacturing
269,Nurse Practicioner,Property
270,Budget/Accounting Analyst III,
271,Financial Advisor,Financial Services
272,Product Engineer,Retail
273,Computer Systems Analyst IV,
274,Social Worker,Health
275,VP Sales,Health
276,,Financial Services
277,VP Product Management,
278,Executive Secretary,
279,Web Designer I,Manufacturing
280,Geologist I,
281,Cost Accountant,Financial Services
282,VP Quality Control,Argiculture
283,Assistant Manager,Retail
284,Financial Analyst,Financial Services
285,Community Outreach Specialist,Manufacturing
286,Accounting Assistant II,Manufacturing
287,Nuclear Power Engineer,Manufacturing
288,,Manufacturing
289,Clinical Specialist,Health
290,Senior Sales Associate,IT
291,Assistant Media Planner,Entertainment
292,VP Product Management,
293,Administrative Assistant III,Manufacturing
294,Recruiting Manager,
295,Database Administrator II,
296,,Health
297,Electrical Engineer,Manufacturing
298,Engineer I,Manufacturing
299,Budget/Accounting Analyst I,Financial Services
300,Clinical Specialist,Health
301,Developer IV,Manufacturing
302,,Health
303,Assistant Professor,Argiculture
304,VP Marketing,Manufacturing
305,Financial Analyst,Financial Services
306,Registered Nurse,Health
307,Clinical Specialist,Health
308,Database Administrator I,IT
309,Clinical Specialist,Health
310,Account Coordinator,Financial Services
311,Internal Auditor,Health
312,Desktop Support Technician,Financial Services
313,Operator,Manufacturing
314,Marketing Assistant,Retail
315,Chief Design Engineer,Manufacturing
316,Environmental Specialist,Manufacturing
317,Automation Specialist II,Entertainment
318,Programmer III,Retail
319,,Retail
320,Registered Nurse,Health
321,Marketing Manager,
322,Research Associate,Financial Services
323,Senior Developer,Health
324,Computer Systems Analyst I,IT
325,Computer Systems Analyst I,Financial Services
326,Help Desk Operator,Financial Services
327,Design Engineer,Health
328,Senior Developer,Manufacturing
329,Account Representative IV,Entertainment
330,Recruiting Manager,Manufacturing
331,Desktop Support Technician,Health
332,Registered Nurse,Health
333,Sales Associate,Financial Services
334,Financial Advisor,Financial Services
335,Senior Editor,
336,,Manufacturing
337,Statistician IV,Argiculture
338,,Health
339,Human Resources Manager,Health
340,,Argiculture
341,GIS Technical Architect,Financial Services
342,Programmer IV,Health
343,Recruiter,Property
344,,
345,Senior Sales Associate,Health
346,Financial Analyst,Financial Services
347,Marketing Manager,Financial Services
348,Assistant Professor,Retail
349,Computer Systems Analyst IV,Manufacturing
350,Clinical Specialist,Health
351,Pharmacist,Health
352,Sales Representative,Retail
353,Information Systems Manager,
354,Legal Assistant,Property
355,Database Administrator II,Retail
356,Librarian,Entertainment
357,Director of Sales,
358,Accounting Assistant IV,
359,Legal Assistant,Manufacturing
360,Staff Scientist,Property
361,Software Engineer IV,Health
362,Software Engineer IV,Financial Services
363,Project Manager,Retail
364,Database Administrator III,Financial Services
365,VP Quality Control,Property
366,Librarian,Entertainment
367,Programmer II,Manufacturing
368,,Financial Services
369,Actuary,Financial Services
370,,Telecommunications
371,Systems Administrator III,Financial Services
372,Graphic Designer,Property
373,Structural Analysis Engineer,Health
374,Senior Financial Analyst,Financial Services
375,Automation Specialist II,Manufacturing
376,Financial Advisor,Financial Services
377,Staff Scientist,Argiculture
378,Senior Developer,Retail
379,,Manufacturing
380,Structural Engineer,Property
381,Sales Associate,
382,Research Nurse,Health
383,Nurse Practicioner,
384,,Financial Services
385,Project Manager,Health
386,Senior Quality Engineer,Argiculture
387,Administrative Officer,Financial Services
388,,Financial Services
389,Help Desk Operator,Entertainment
390,Programmer Analyst II,Health
391,,Argiculture
392,Safety Technician I,Property
393,Associate Professor,Manufacturing
394,Legal Assistant,Health
395,Data Coordiator,Retail
396,Systems Administrator III,Telecommunications
397,Paralegal,Financial Services
398,,Retail
399,Engineer III,Manufacturing
400,Financial Analyst,Financial Services
401,Assistant Professor,Retail
402,Desktop Support Technician,Retail
403,Graphic Designer,
404,Geologist I,Financial Services
405,,Manufacturing
406,Financial Analyst,Financial Services
407,Structural Analysis Engineer,
408,Senior Financial Analyst,Financial Services
409,Executive Secretary,Health
410,Structural Engineer,
411,Director of Sales,Financial Services
412,,IT
413,VP Quality Control,
414,Social Worker,Health
415,Senior Financial Analyst,Financial Services
416,Software Consultant,
417,Biostatistician IV,Argiculture
418,,
419,VP Marketing,Manufacturing
420,Help Desk Operator,Entertainment
421,Sales Representative,Retail
422,,Manufacturing
423,Senior Quality Engineer,
424,Research Nurse,Health
425,Sales Representative,Retail
426,Nuclear Power Engineer,Manufacturing
427,Assistant Media Planner,Entertainment
428,Structural Engineer,Health
429,Community Outreach Specialist,IT
430,Paralegal,Financial Services
431,Research Nurse,Health
432,Nuclear Power Engineer,Manufacturing
433,Statistician II,Property
434,,Financial Services
435,GIS Technical Architect,Telecommunications
436,Internal Auditor,IT
437,Systems Administrator III,Manufacturing
438,Internal Auditor,Property
439,GIS Technical Architect,
