customer_id,wealth_segment,deceased_indicator,owns_car,property_valuation
1,Mass Customer,N,Yes,10
2,Mass Customer,N,Yes,10
3,Mass Customer,N,Yes,9
4,Mass Customer,N,No,4
5,Affluent Customer,N,Yes,9
6,High Net Worth,N,Yes,9
7,Affluent Customer,N,Yes,4
8,Mass Customer,N,No,12
9,Affluent Customer,N,Yes,8
10,Mass Customer,N,Yes,4
11,Mass Customer,N,No,6
12,Mass Customer,N,No,8
13,High Net Worth,N,Yes,9
14,Affluent Customer,N,No,4
15,Mass Customer,N,No,9
16,Mass Customer,N,Yes,12
17,Affluent Customer,N,Yes,9
18,Affluent Customer,N,No,8
19,High Net Worth,N,No,7
20,Mass Customer,N,No,10
21,Affluent Customer,N,Yes,3
22,Mass Customer,N,No,5
23,High Net Worth,N,Yes,7
24,Mass Customer,N,Yes,4
25,Mass Customer,N,Yes,7
26,Mass Customer,N,Yes,11
27,Mass Customer,N,Yes,12
28,Affluent Customer,N,Yes,9
29,Mass Customer,N,No,9
30,Affluent Customer,N,Yes,8
31,High Net Worth,N,Yes,6
32,Affluent Customer,N,No,8
33,Affluent Customer,N,Yes,1
34,Affluent Customer,N,No,4
35,High Net Worth,N,Yes,10
36,Affluent Customer,N,No,8
37,High Net Worth,N,No,9
38,Affluent Customer,N,No,10
39,Mass Customer,N,No,8
40,Affluent Customer,N,No,2
41,Mass Customer,N,No,3
42,Mass Customer,N,No,6
43,Mass Customer,N,No,4
44,Affluent Customer,N,Yes,9
45,Mass Customer,N,No,9
46,Affluent Customer,N,Yes,10
47,Affluent Customer,N,No,5
48,Mass Customer,N,Yes,8
49,Affluent Customer,N,No,3
50,Mass Customer,N,Yes,8
51,Mass Customer,N,No,10
52,Mass Customer,N,Yes,10
53,Mass Customer,N,No,6
54,Mass Customer,N,Yes,9
55,Affluent Customer,N,Yes,9
56,Mass Customer,N,Yes,10
57,Mass Customer,N,Yes,7
58,Affluent Customer,N,Yes,8
59,High Net Worth,N,No,9
60,Mass Customer,N,No,8
61,High Net Worth,N,No,10
62,Mass Customer,N,Yes,10
63,Mass Customer,N,Yes,10
64,High Net Worth,N,No,7
65,Affluent Customer,N,Yes,7
66,High Net Worth,N,No,12
67,Mass Customer,N,No,10
68,Affluent Customer,N,No,6
69,Mass Customer,N,No,8
70,Affluent Customer,N,No,8
71,Affluent Customer,N,Yes,8
72,Affluent Customer,N,Yes,9
73,Affluent Customer,N,Yes,5
74,Mass Customer,N,Yes,9
75,Mass Customer,N,No,10
76,High Net Worth,N,Yes,1
77,Mass Customer,N,No,6
78,Affluent Customer,N,No,8
79,Mass Customer,N,No,12
80,Mass Customer,N,No,11
81,High Net Worth,N,No,11
82,High Net Worth,N,No,11
83,Mass Customer,N,Yes,12
84,Mass Customer,N,Yes,12
