iter	Logloss
0	0.6369078772
1	0.59346193
2	0.5609227469
3	0.5369354659
4	0.5200486905
5	0.5043109471
6	0.4909834981
7	0.4780503695
8	0.4679351275
9	0.459481975
10	0.4527493487
11	0.4474707417
12	0.4429609815
13	0.4375493006
14	0.4338216621
15	0.431410366
16	0.4286997572
17	0.4251874161
18	0.4222276401
19	0.4196357159
20	0.4175280064
21	0.4161259511
22	0.414773085
23	0.4136276442
24	0.4128322148
25	0.4116743421
26	0.4106489702
27	0.4098100835
28	0.4092351942
29	0.408236018
30	0.4082179152
31	0.4078961179
32	0.4074601601
33	0.4069217312
34	0.4058562425
35	0.4053783727
36	0.4041611951
37	0.4041476398
38	0.4032945686
39	0.4031025838
40	0.4021151622
41	0.4015778399
42	0.4003608806
43	0.3997091824
44	0.399285002
45	0.399234725
46	0.3987032875
47	0.3986990204
48	0.3982813012
49	0.398031897
