age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,grade
18,4,4,2,2,0,4,3,4,1,1,3,4,1
17,1,1,1,2,0,5,3,3,1,1,3,2,1
15,1,1,1,2,0,4,3,2,2,3,3,6,1
15,4,2,1,3,0,3,2,2,1,1,5,0,2
16,3,3,1,2,0,4,3,2,1,2,5,0,1
16,4,3,1,2,0,5,4,2,1,2,5,6,1
16,2,2,1,2,0,4,4,4,1,1,3,0,1
17,4,4,2,2,0,4,1,4,1,1,1,2,1
15,3,2,1,2,0,4,2,2,1,1,1,0,2
15,3,4,1,2,0,5,5,1,1,1,5,0,1
15,4,4,1,2,0,3,3,3,1,2,2,2,2
15,2,1,3,3,0,5,2,2,1,1,4,0,1
15,4,4,1,1,0,4,3,3,1,3,5,0,1
15,4,3,2,2,0,5,4,3,1,2,3,0,1
15,2,2,1,3,0,4,5,2,1,1,3,0,2
16,4,4,1,1,0,4,4,4,1,2,2,6,2
16,4,4,1,3,0,3,2,3,1,2,2,10,1
16,3,3,3,2,0,5,3,2,1,1,4,2,2
17,3,2,1,1,3,5,5,5,2,4,5,2,1
16,4,3,1,1,0,3,1,3,1,3,5,6,1
15,4,3,1,2,0,4,4,1,1,1,1,0,1
15,4,4,1,1,0,5,4,2,1,1,5,0,1
16,4,2,1,2,0,4,5,1,1,3,5,0,1
16,2,2,2,2,0,5,4,4,2,4,5,2,1
15,2,4,1,3,0,4,3,2,1,1,5,2,1
16,2,2,1,1,0,1,2,2,1,3,5,6,1
15,2,2,1,1,0,4,2,2,1,2,5,8,1
15,4,2,1,1,0,2,2,4,2,4,1,0,1
16,3,4,1,2,0,5,3,3,1,1,5,2,1
16,4,4,1,2,0,4,4,5,5,5,5,4,1
15,4,4,1,2,0,5,4,2,3,4,5,0,1
15,4,4,2,2,0,4,3,1,1,1,5,2,2
15,4,3,1,2,0,4,5,2,1,1,5,0,2
15,3,3,1,2,0,5,3,2,1,1,2,0,1
16,3,2,1,1,0,5,4,3,1,1,5,4,1
15,2,3,2,1,0,3,5,1,1,1,5,4,1
15,4,3,1,3,0,5,4,3,1,1,4,0,2
16,4,4,2,3,0,2,4,3,1,1,5,4,1
15,3,4,1,3,0,4,3,2,1,1,5,2,1
15,2,2,1,1,0,4,3,1,1,1,2,8,1
16,2,2,2,2,0,3,3,3,1,2,3,16,1
15,4,4,1,1,0,5,4,3,2,4,5,8,1
15,4,4,1,2,0,4,3,3,1,1,5,0,2
15,2,2,1,1,0,5,4,1,1,1,1,0,1
16,2,2,2,2,1,4,3,3,2,2,5,14,1
15,4,3,1,2,0,5,2,2,1,1,5,4,1
16,3,3,1,2,0,2,3,5,1,4,3,6,1
16,4,3,1,4,0,4,2,2,1,1,2,2,2
15,4,2,1,2,0,4,3,3,2,2,5,4,1
15,4,4,1,2,0,4,4,4,1,1,3,2,1
16,2,2,3,2,0,4,3,3,2,3,4,0,1
15,4,2,1,2,0,4,3,3,1,1,5,0,2
15,4,2,2,1,0,5,5,5,3,4,5,4,1
15,4,4,1,1,0,3,3,4,2,3,5,0,1
