trip_duration,distance_traveled,num_of_passengers,fare,miscellaneous_fees,total_fare,surge_applied,tip_class
748.0,2.75,1.0,75.0,6.299999999999997,105.3,0,over med
1187.0,3.43,1.0,105.0,13.200000000000015,142.20000000000002,0,over med
329.0,2.09,1.0,45.0,13.199999999999989,70.19999999999999,0,under med
355.0,1.74,1.0,45.0,26.625,71.625,1,low
1288.0,5.21,1.0,116.25,26.32499999999999,178.575,1,high
134.0,1.48,1.0,33.75,6.0,39.75,0,low
84305.0,4.94,2.0,116.25,26.19999999999999,171.45,1,high
328.0,2.16,1.0,48.75,26.700000000000003,90.45,1,under med
1848.0,4.83,1.0,142.5,26.42500000000001,185.925,1,over med
1537.0,7.64,1.0,146.25,26.42500000000001,186.675,1,under med
375.0,1.45,1.0,45.0,33.825,102.825,1,over med
1617.0,3.23,6.0,123.75,26.125,157.875,1,low
1163.0,5.62,1.0,108.75,13.5,122.25,0,low
915.0,4.46,1.0,93.75,33.70000000000002,153.45000000000002,1,high
742.0,4.89,3.0,90.0,30.625,131.625,1,under med
929.0,4.31,1.0,93.75,5.900000000000006,124.65,0,over med
1146.0,3.88,1.0,97.5,26.825000000000017,161.32500000000002,1,high
1023.0,2.41,2.0,90.0,6.125,115.125,0,over med
11323.0,0.14,1.0,337.5,2.1999999999999886,407.7,0,high
3722.0,19.17,1.0,322.5,34.30000000000001,445.8,1,high
962.0,12.7,1.0,180.0,6.199999999999989,223.2,0,high
407.0,5.13,1.0,78.75,9.450000000000005,106.2,0,over med
512.0,2.4,1.0,56.25,6.450000000000003,74.7,0,under med
1911.0,6.76,1.0,161.25,26.57499999999999,234.825,1,high
395.0,2.27,1.0,52.5,13.700000000000005,79.2,0,under med
703.0,6.45,1.0,101.25,9.5,138.75,0,high
978.0,4.51,1.0,97.5,27.075000000000017,136.57500000000002,1,under med
730.0,3.35,1.0,75.0,33.95000000000002,130.95000000000002,1,over med
522.0,2.56,1.0,63.75,26.625,90.375,1,low
718.0,5.42,1.0,93.75,6.0,99.75,0,low
626.0,2.57,2.0,67.5,26.375,112.875,1,over med
784.0,2.25,1.0,71.25,26.200000000000003,117.45,1,over med
273.0,1.95,1.0,45.0,9.700000000000005,65.7,0,under med
569.0,2.43,1.0,63.75,5.924999999999997,90.675,0,over med
2175.0,13.07,1.0,232.5,9.75,242.25,0,low
1202.0,6.12,1.0,120.0,26.875,175.875,1,high
460.0,1.58,1.0,48.75,26.700000000000003,90.45,1,under med
567.0,2.85,1.0,63.75,13.950000000000005,92.7,0,under med
427.0,1.63,1.0,48.75,6.424999999999997,71.175,0,under med
845.0,2.54,1.0,75.0,6.200000000000003,97.2,0,under med
447.0,1.77,1.0,48.75,6.0,54.75,0,low
420.0,1.75,1.0,48.75,13.500000000000009,62.25000000000001,0,low
2406.0,4.38,1.0,176.25,26.19999999999999,243.45,1,high
1090.0,6.65,1.0,120.0,13.0,171.0,0,high
2467.0,11.35,5.0,221.25,13.5,234.75,0,low
2249.0,28.49,1.0,390.0,55.125,460.125,0,under med
692.0,3.19,1.0,78.75,9.875,110.625,0,over med
1592.0,13.84,1.0,213.75,33.625,297.375,1,high
1092.0,9.66,6.0,142.5,26.44999999999999,202.95,1,high
506.0,2.86,2.0,60.0,26.625,86.625,1,low
1303.0,3.2,1.0,108.75,26.69999999999999,162.45,1,high
1641.0,19.07,1.0,262.5,9.25,309.75,0,high
1029.0,3.2,1.0,90.0,6.200000000000003,115.2,0,over med
958.0,2.9,5.0,90.0,6.200000000000003,115.2,0,over med
664.0,2.9,1.0,67.5,6.049999999999997,95.55,0,over med
1518.0,5.47,1.0,135.0,26.75,201.75,1,high
502.0,2.09,1.0,56.25,6.450000000000003,74.7,0,under med
1211.0,3.28,1.0,101.25,34.19999999999999,162.45,1,high
292.0,0.77,1.0,37.5,6.049999999999997,56.55,0,under med
903.0,3.59,1.0,82.5,34.44999999999999,139.95,1,over med
420.0,1.79,1.0,52.5,9.750000000000009,62.25000000000001,0,low
663.0,2.35,1.0,63.75,6.0,84.75,0,under med
1684.0,12.15,1.0,191.25,33.625,262.875,1,high
610.0,2.7,1.0,63.75,34.575,122.325,1,over med
1039.0,2.83,1.0,90.0,6.0,120.0,0,over med
668.0,3.04,1.0,67.5,10.200000000000005,92.7,0,under med
594.0,2.06,2.0,60.0,13.200000000000005,88.2,0,under med
762.0,6.16,5.0,105.0,13.200000000000015,142.20000000000002,0,over med
2600.0,6.73,1.0,180.0,6.0,186.0,0,low
621.0,3.7,1.0,67.5,9.75,77.25,0,low
1245.0,4.75,1.0,108.75,33.69999999999999,171.45,1,high
921.0,1.77,1.0,78.75,13.5,92.25,0,low
548.0,2.48,1.0,60.0,9.674999999999995,90.675,0,over med
2709.0,10.9,1.0,225.0,2.75,249.75,0,over med
2186.0,27.91,1.0,390.0,55.14999999999998,534.15,0,high
955.0,4.18,1.0,97.5,26.375,148.875,1,over med
450.0,2.0,1.0,52.5,13.700000000000005,79.2,0,under med
324.0,1.4,1.0,45.0,5.650000000000006,58.650000000000006,0,low
468.0,1.21,6.0,48.75,5.950000000000003,65.7,0,under med
571.0,3.04,1.0,67.5,6.049999999999997,95.55,0,over med
281.0,1.24,1.0,37.5,6.0,43.5,0,low
944.0,1.64,1.0,78.75,34.025000000000006,146.775,1,high
917.0,6.28,1.0,105.0,26.875,157.875,1,high
556.0,1.77,1.0,60.0,6.125,79.125,0,under med
337.0,1.32,3.0,41.25,13.5,54.75,0,low
392.0,1.58,1.0,45.0,9.75,69.75,0,under med
1681.0,15.77,1.0,225.0,26.375,276.375,1,over med
1941.0,5.18,1.0,146.25,6.074999999999989,152.325,0,low
459.0,3.22,1.0,60.0,30.375,90.375,1,low
1855.0,8.55,1.0,168.75,26.94999999999999,224.7,1,high
4416.0,20.87,1.0,393.75,34.125,502.875,1,high
849.0,2.57,5.0,78.75,26.700000000000003,126.45,1,over med
465.0,1.29,1.0,48.75,5.875,65.625,0,under med
536.0,1.48,1.0,52.5,14.0,82.5,0,under med
938.0,2.88,1.0,86.25,6.450000000000003,110.7,0,over med
558.0,2.49,1.0,60.0,6.200000000000003,79.2,0,under med
1085.0,6.42,1.0,116.25,6.0,122.25,0,low
1275.0,3.89,1.0,105.0,26.94999999999999,157.95,1,high
