popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
77,230613,False,0.509,0.448,4,-7.552,0,0.0357,0.00713,0.0137,0.244,0.221,156.909,3,0.0
79,208760,False,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,4,0.0
76,180690,False,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,4,0.0
84,232106,False,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4,0.0
76,225026,False,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,4,0.0
65,243329,False,0.691,0.841,8,-7.026,0,0.0436,0.00438,4.44e-05,0.31,0.755,92.025,4,0.0
1,268040,False,0.27,0.577,0,-8.195,1,0.0573,0.755,0.123,0.139,0.362,170.254,4,0.0
0,240773,False,0.579,0.409,0,-10.095,1,0.0268,0.624,1.83e-05,0.18,0.526,109.417,3,0.0
2,285373,False,0.614,0.724,7,-7.521,1,0.0247,0.217,0.000256,0.146,0.902,97.863,4,0.0
0,285373,False,0.614,0.724,7,-7.521,1,0.0247,0.217,0.000256,0.146,0.902,97.863,4,0.0
1,287426,False,0.419,0.737,9,-7.09,1,0.0364,0.204,0.00716,0.24,0.595,157.991,4,0.0
0,175986,False,0.593,0.287,1,-12.472,1,0.0469,0.764,0.0,0.153,0.639,77.117,4,0.0
1,175853,False,0.74,0.322,0,-9.26,1,0.0399,0.551,0.000767,0.17,0.628,102.889,4,0.0
0,191533,False,0.863,0.624,3,-5.637,1,0.0375,0.54,8.43e-06,0.03,0.958,105.49,4,0.0
1,197106,False,0.549,0.891,6,-4.044,1,0.0351,0.0141,0.00323,0.0661,0.508,111.996,4,0.0
0,143093,False,0.699,0.726,7,-5.364,1,0.0726,0.575,0.0,0.655,0.877,119.185,4,0.0
0,160840,False,0.537,0.521,3,-11.326,1,0.0606,0.56,0.00665,0.0879,0.961,199.362,4,0.0
0,155560,False,0.71,0.291,5,-14.132,0,0.0338,0.35,0.0,0.128,0.856,101.517,4,0.0
