iter	Logloss
0	0.6325535458
1	0.5889999777
2	0.5574911168
3	0.5317455711
4	0.5125721163
5	0.4986084529
6	0.48277359
7	0.4703640842
8	0.4614816241
9	0.4553074143
10	0.4484746975
11	0.4429422528
12	0.4380188913
13	0.434564464
14	0.4308542021
15	0.4275196837
16	0.4243263219
17	0.4217698801
18	0.419805607
19	0.4179067158
20	0.4163597543
21	0.4147651672
22	0.4135639876
23	0.412999791
24	0.4121260362
25	0.4114439751
26	0.4111989417
27	0.4109532503
28	0.4107119133
29	0.4104601512
30	0.4102298414
31	0.4102170804
32	0.4096175534
33	0.4092202919
34	0.4088544475
35	0.4085790705
36	0.4079482953
37	0.4078920097
38	0.4071174136
39	0.4070728199
40	0.4070494297
41	0.4068281682
42	0.4058680681
43	0.4056347887
44	0.4054859059
45	0.4052655632
46	0.4052527647
47	0.4052069104
48	0.404828216
49	0.4048262668
50	0.4047048407
51	0.404437721
52	0.4036516035
53	0.4035944202
54	0.403590396
55	0.4034976164
56	0.4034263389
57	0.4034261246
58	0.4034173044
59	0.4028680819
60	0.4028306126
61	0.4027952394
62	0.4026935738
63	0.4026926008
64	0.4023991277
65	0.4023437255
66	0.402336983
67	0.4022901248
68	0.4019597733
69	0.4019301935
70	0.4018949109
71	0.4016364114
72	0.401245305
73	0.4010366513
74	0.4009071623
75	0.4006195838
76	0.4005943843
77	0.4004301085
78	0.4002879111
79	0.3999340023
80	0.3997734415
81	0.3995486945
82	0.3986951804
83	0.3985422308
84	0.398493879
85	0.3984935382
86	0.398141944
87	0.398067874
88	0.3979456015
89	0.3978530262
90	0.3977030285
91	0.3976958002
92	0.3973179379
93	0.3972985229
94	0.396592938
95	0.3960936006
96	0.3956819271
97	0.3950055263
98	0.3946992026
99	0.3945603206
