iter	Passed	Remaining
0	5	526
1	8	414
2	10	337
3	12	294
4	13	259
5	14	230
6	16	216
7	17	204
8	19	196
9	20	182
10	21	173
11	23	168
12	24	162
13	25	156
14	27	154
15	28	151
16	30	147
17	31	144
18	33	141
19	34	138
20	36	136
21	37	133
22	39	130
23	40	128
24	42	126
25	43	124
26	45	122
27	46	118
28	47	116
29	49	114
30	50	113
31	52	110
32	53	108
33	54	105
34	55	102
35	56	100
36	58	99
37	59	97
38	61	96
39	63	94
40	63	92
41	65	90
42	67	89
43	68	87
44	70	85
45	72	84
46	73	82
47	75	81
48	76	79
49	77	77
50	79	75
51	80	74
52	82	73
53	84	71
54	85	69
55	87	68
56	89	67
57	90	65
58	91	63
59	94	62
60	95	61
61	97	59
62	98	58
63	100	56
64	102	54
65	104	53
66	105	52
67	107	50
68	109	49
69	110	47
70	112	45
71	113	44
72	115	42
73	117	41
74	118	39
75	120	37
76	121	36
77	123	34
78	124	33
79	126	31
80	135	31
81	137	30
82	138	28
83	139	26
84	141	24
85	143	23
86	144	21
87	146	19
88	147	18
89	149	16
90	150	14
91	152	13
92	153	11
93	155	9
94	157	8
95	158	6
96	160	4
97	161	3
98	163	1
99	165	0
