#{"t_start": 1776445731.185568, "env_id": "Pendulum-v1"}
r,l,t
-1174.41072,200,0.592662
-1419.096721,200,1.636735
-1693.255723,200,2.674348
-1397.955616,200,3.736193
-1719.667737,200,4.790006
-1411.307488,200,5.991507
-1379.964184,200,7.096283
-1275.511984,200,8.195193
-1107.110491,200,9.277383
-1175.540517,200,10.323053
-898.684788,200,11.486543
-1202.080272,200,12.605461
-1033.507151,200,13.70772
-973.306117,200,14.781617
-622.450952,200,15.824915
-385.367299,200,16.99393
-125.666587,200,18.10796
-133.323696,200,19.213043
-378.954069,200,20.310166
-252.141718,200,21.437065
-2.378483,200,22.680865
-123.859905,200,23.784307
-244.504417,200,24.840244
-126.061118,200,25.88062
-126.725975,200,26.93638
-116.251728,200,28.118041
-119.071,200,29.16903
-121.723457,200,30.232626
-1.845344,200,31.277422
-238.774143,200,32.342231
-124.953392,200,33.47341
-127.09568,200,34.52813
-125.094128,200,35.63426
-2.154688,200,36.689815
-361.069711,200,37.776986
-117.715302,200,38.872838
-254.190771,200,39.865191
-235.766074,200,40.877932
-122.734541,200,41.902194
-126.60182,200,42.907221
-121.921261,200,44.010564
-121.867998,200,44.997939
-225.568819,200,45.992376
-118.991207,200,46.975686
-119.710668,200,47.964344
-245.922336,200,49.090315
-3.719194,200,50.131067
-122.73396,200,51.194855
-123.021052,200,52.223024
-252.298498,200,53.23488
-229.345433,200,54.355057
-122.191345,200,55.408295
-115.909838,200,56.459085
-127.219829,200,57.485687
-257.449816,200,58.520453
-128.190395,200,59.694766
-121.119803,200,60.738291
-123.23441,200,61.798204
-116.755147,200,62.863828
-2.80979,200,63.917438
-125.275941,200,65.058475
-233.500869,200,66.114659
-241.357164,200,67.130849
-119.978531,200,68.161481
-235.223482,200,69.219223
-124.086871,200,70.384353
-128.067206,200,71.437969
-4.555839,200,72.490346
-238.623069,200,73.526045
-120.907692,200,74.568081
-0.639202,200,75.727859
-233.656109,200,76.809431
-1.190511,200,77.836456
-121.252671,200,78.866405
-126.0746,200,79.908468
-114.41075,200,81.059579
-240.514671,200,82.101528
-236.962157,200,83.171087
-119.118781,200,84.227269
-117.867988,200,85.284091
-248.860254,200,86.446723
-114.725489,200,87.483512
-1.790685,200,88.517855
-115.642718,200,89.558023
-121.837753,200,90.581701
-119.841573,200,91.7296
-121.276466,200,92.767842
-113.872875,200,93.834821
-2.337238,200,94.851428
-229.902022,200,95.88345
-226.170667,200,97.065152
-0.94358,200,98.098871
-116.86546,200,99.164383
-122.647207,200,100.207594
-119.332519,200,101.257793
