#{"t_start": 1776445995.814592, "env_id": "Pendulum-v1"}
r,l,t
-1173.662198,200,0.521885
-1519.42288,200,1.535594
-1751.655307,200,2.562048
-1519.186995,200,3.604622
-1730.82216,200,4.638217
-1528.042834,200,5.775562
-1320.885763,200,6.796588
-1189.986105,200,7.815744
-1076.65836,200,8.828653
-1046.111645,200,9.851336
-801.815212,200,10.992074
-384.032485,200,12.02663
-396.10131,200,13.060904
-518.734614,200,14.090519
-395.607244,200,15.100277
-124.278465,200,16.218232
-126.11736,200,17.237638
-1.866137,200,18.283786
-248.227806,200,19.313614
-123.753955,200,20.338011
-1.870534,200,21.466355
-124.94028,200,22.486654
-117.448352,200,23.503192
-126.67171,200,24.516955
-127.545257,200,25.562479
-115.55231,200,26.698387
-117.870061,200,27.72129
-121.576655,200,28.763551
-1.791948,200,29.789132
-239.710598,200,30.808527
-125.328378,200,31.925825
-127.56131,200,32.958922
-125.563355,200,33.99438
-2.33725,200,35.032236
-238.499364,200,36.059459
-117.620122,200,37.20085
-248.783774,200,38.255672
-234.596426,200,39.260846
-121.772228,200,40.305594
-127.610226,200,41.343311
-124.692942,200,42.477476
-120.902628,200,43.51427
-225.764869,200,44.527211
-120.753966,200,45.539992
-120.307832,200,46.552826
-247.049565,200,47.695955
-3.531859,200,48.739705
-123.491132,200,49.772932
-123.994151,200,50.800392
-246.646671,200,51.83013
-235.219891,200,52.947501
-123.233943,200,53.962649
-115.905035,200,54.978392
-129.354949,200,56.021961
-250.904141,200,57.055205
-129.758585,200,58.191074
-122.039117,200,59.222103
-126.081238,200,60.236399
-117.300484,200,61.249055
-2.520565,200,62.273421
-128.023871,200,63.415622
-231.966109,200,64.443293
-238.883833,200,65.472843
-122.837571,200,66.507318
-229.938688,200,67.519355
-123.964371,200,68.641667
-130.563319,200,69.65502
-3.465219,200,70.695857
-243.003179,200,71.734588
-119.763151,200,72.773579
-0.551841,200,73.913593
-234.187907,200,74.926801
-1.032612,200,75.941349
-123.001137,200,76.951752
-127.778076,200,77.983006
-113.958758,200,79.125497
-237.625181,200,80.161642
-229.8106,200,81.192905
-120.279599,200,82.217719
-118.794259,200,83.231505
-236.029037,200,84.351824
-114.827673,200,85.371218
-2.082115,200,86.418791
-115.079913,200,87.449073
-124.621491,200,88.483959
-121.516216,200,89.619002
-121.228399,200,90.639088
-113.451385,200,91.655292
-2.357129,200,92.679026
-223.29028,200,93.706508
-228.855313,200,94.849048
-9.659757,200,95.882889
-124.923188,200,96.923254
-132.316043,200,97.947269
-128.173753,200,98.975684
-250.032464,200,100.089254
-238.560348,200,101.129814
-125.392493,200,102.165558
-134.653661,200,103.197895
-115.314859,200,104.230017
-124.347758,200,105.351462
-0.519791,200,106.358397
-360.389732,200,107.365027
-239.434909,200,108.401437
-236.462593,200,109.443848
-134.174025,200,110.578683
-120.159687,200,111.603217
-132.214917,200,112.633464
-231.303043,200,113.649745
-234.100778,200,114.662768
-124.02256,200,115.80908
-135.183883,200,116.844491
-124.00057,200,117.875558
-254.935978,200,118.910899
-131.252627,200,119.941999
-238.733411,200,121.061056
-238.319186,200,122.071002
