#{"t_start": 1776446257.0900009, "env_id": "Pendulum-v1"}
r,l,t
-1174.41072,200,0.507004
-1419.096721,200,1.502791
-1693.255723,200,2.492165
-1397.955616,200,3.48514
-1719.667737,200,4.486359
-1411.307488,200,5.602221
-1379.964184,200,6.606781
-1275.511984,200,7.600079
-1107.110491,200,8.591716
-1175.540517,200,9.596439
-898.684788,200,10.706027
-1202.080272,200,11.705716
-1033.507151,200,12.722187
-973.306117,200,13.7413
-622.450952,200,14.749785
-385.367299,200,15.86347
-125.666587,200,16.866195
-133.323696,200,17.875143
-378.954069,200,18.879374
-252.141718,200,19.89582
-2.378483,200,21.009137
-123.859905,200,22.010023
-244.504417,200,23.014188
-126.061118,200,24.026866
-126.725975,200,25.03266
-116.251728,200,26.133594
-119.071,200,27.146345
-121.723457,200,28.153139
-1.845344,200,29.1603
-238.774143,200,30.17667
-124.953392,200,31.286211
-127.09568,200,32.292086
-125.094128,200,33.295743
-2.154688,200,34.307233
-361.069711,200,35.322237
-117.715302,200,36.432189
-254.190771,200,37.443555
-235.766074,200,38.455569
-122.734541,200,39.468668
-126.60182,200,40.476469
-121.921261,200,41.592662
-121.867998,200,42.614866
-225.568819,200,43.629713
-118.991207,200,44.649686
-119.710668,200,45.663336
-245.922336,200,46.7743
-3.719194,200,47.777813
-122.73396,200,48.778489
-123.021052,200,49.802399
-252.298498,200,50.809613
-229.345433,200,51.921878
-122.191345,200,52.943396
-115.909838,200,53.951811
-127.219829,200,54.958767
-257.449816,200,55.970882
-128.190395,200,57.10114
-121.119803,200,58.12034
-123.23441,200,59.127634
-116.755147,200,60.14061
-2.80979,200,61.155142
-125.275941,200,62.266796
-233.500869,200,63.277486
-241.357164,200,64.311577
-119.978531,200,65.319312
-235.223482,200,66.33227
-124.086871,200,67.456162
-128.067206,200,68.469416
-4.555839,200,69.478334
-238.623069,200,70.501849
-120.907692,200,71.526803
-0.639202,200,72.645151
-233.656109,200,73.657192
-1.190511,200,74.688646
-121.252671,200,75.701912
-126.0746,200,76.711915
-114.41075,200,77.828191
-240.514671,200,78.85047
-236.962157,200,79.872033
-119.118781,200,80.891177
-117.867988,200,81.893921
-248.860254,200,82.999804
-114.725489,200,84.013317
-1.790685,200,85.02119
-115.642718,200,86.041969
-121.837753,200,87.055718
-119.841573,200,88.170265
-121.276466,200,89.181811
-113.872875,200,90.194296
-2.337238,200,91.195711
-229.902022,200,92.194074
-226.170667,200,93.310529
-0.94358,200,94.318561
-116.86546,200,95.316968
-122.647207,200,96.324728
