date,model_name,rmse,mae,mape
2023-09-15 00:00:00,AR-baseline-spot,167.092,136.464,1.6
2023-09-16 00:00:00,AR-baseline-spot,164.654,134.85,1.6
2023-09-16 00:00:00,ARIMA-spot,206.641,175.694,2.1
2023-09-16 00:00:00,SARIMAX-spot,1265.005,1109.72,13.3
2023-09-16 00:00:00,AR-baseline-spot,164.651,134.937,1.6
2023-09-16 00:00:00,ARIMA-spot,206.637,175.78,2.1
2023-09-17 00:00:00,AR-baseline-spot,164.651,134.937,1.6
2023-09-17 00:00:00,ARIMA-spot,206.637,175.78,2.1
2023-09-17 00:00:00,SARIMAX-spot,1265.005,1109.72,13.3
2023-09-17 00:00:00,ARIMAX-spot,198.669,167.993,2.0
