date,model_name,rmse,mae,mape
2023-09-15 00:00:00,AR-baseline-stock,30.519,27.749,38.6
2023-09-15 00:00:00,AR-baseline-stock,23.567,19.598,27.0
2023-09-16 00:00:00,AR-baseline-stock,23.58,19.532,26.5
2023-09-16 00:00:00,ARIMA-stock,23.622,19.248,24.7
2023-09-16 00:00:00,SARIMAX-stock,37.271,27.842,29.5
2023-09-16 00:00:00,AR-baseline-stock,23.583,19.556,26.5
2023-09-16 00:00:00,ARIMA-stock,23.624,19.272,24.7
2023-09-17 00:00:00,AR-baseline-stock,23.583,19.556,26.5
2023-09-17 00:00:00,ARIMA-stock,23.624,19.272,24.7
2023-09-17 00:00:00,SARIMAX-stock,37.271,27.842,29.5
2023-09-17 00:00:00,RFR-model,252.431,208.169,2.5
2023-09-17 00:00:00,RFR-model_no_stock,461.802,437.369,5.2
2023-09-17 00:00:00,RFR-model,217.963,177.674,2.1
