index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2023-10-03,2196.5173356331884,2077.5,
2023-10-04,2195.9392518530444,2061.0,
2023-10-05,2195.118544928865,2033.0,
2023-10-06,2194.924461222258,2041.3333333333,
2023-10-07,2193.8798009435404,2049.6666666667,
2023-10-08,2192.8167586952445,2058.0,
2023-10-09,2191.7569502537517,2057.5,
2023-10-10,2191.299886819826,2071.0,
2023-10-11,2190.747278967505,2111.0,
2023-10-12,2189.9519235764637,2125.0,
2023-10-13,2189.783067615709,2114.3333333333,
2023-10-14,2188.7635118999906,2103.6666666667,
2023-10-15,2187.7254516333214,2093.0,
2023-10-16,2186.6905031906276,2103.0,
2023-10-17,2186.2581783682945,2094.0,
2023-10-18,2185.730188333073,2092.5,
2023-10-19,2184.959330554458,2136.0,
2023-10-20,2184.8148525883953,2138.0,
2023-10-21,2183.8195558337075,2140.0,
2023-10-22,2182.8056360756295,2142.0,
2023-10-23,2181.7947102674707,2159.0,
2023-10-24,2181.3862907811754,2153.5,
2023-10-25,2180.882089356244,2173.0,
2023-10-26,2180.1349040321234,2157.0,
2023-10-27,2180.0139829319282,2156.3333333333,
2023-10-28,2179.042128018882,2155.6666666667,
2023-10-29,2178.051535639863,2155.0,
2023-10-30,2177.0638233070817,2150.5,
2023-10-31,2176.678503948656,2145.0,
2023-11-01,2176.197289857542,2147.5,
2023-11-02,2175.4729796239417,2140.0,
2023-11-03,2175.374821919035,2144.6666666667,
2023-11-04,2174.425619251435,2149.3333333333,
2023-11-05,2173.457568510745,2154.0,
2023-11-06,2172.4922877492527,2119.5,
2023-11-07,2172.1292904325137,2128.0,
2023-11-08,2171.6702893882994,2132.0,
2023-11-09,2170.968083739015,2123.0,
2023-11-10,2170.891922685445,2116.3333333333,
2023-11-11,2169.9646092632206,2109.6666666667,
2023-11-12,2169.0183408863913,2103.0,
2023-11-13,2168.0747361291283,2107.0,
2023-11-14,2167.733308976324,2125.0,
2023-11-15,2167.295772772551,2139.0,
2023-11-16,2166.6149271544905,2140.0,
2023-11-17,2166.560021834693,2142.3333333333,
2023-11-18,2165.6538603580566,2144.6666666667,
2023-11-19,2164.728640645411,2147.0,
2023-11-20,2163.8059817752337,2182.0,
2023-11-21,2163.48539823426,2178.0,
2023-11-22,2163.0686038664558,2189.0,
2023-11-23,2162.4083988054563,2166.0,
2023-11-24,2162.37403325834,2163.0,
2023-11-25,2161.4883112621187,2160.0,
2023-11-26,2160.5834312273323,2157.0,
2023-11-27,2159.6810127197773,2154.0,
2023-11-28,2159.3805707111287,2203.0,
2023-11-29,2158.9838195279235,2192.0,
2023-11-30,2158.3435597840135,2271.0,
2023-12-01,2158.3290421643474,2252.3333333333,
2023-12-02,2157.463071181474,2233.6666666667,
2023-12-03,2156.5778457191486,2215.0,
2023-12-04,2155.6949858140724,2220.0,
2023-12-05,2155.414006906526,2231.0,
2023-12-06,2155.036623789363,2232.5,
2023-12-07,2154.4156375404764,2219.0,
2023-12-08,2154.4202993065883,2227.6666666667,
2023-12-09,2153.5734140597674,2236.3333333333,
2023-12-10,2152.7071811410456,2245.0,
2023-12-11,2151.8432210421665,2233.0,
2023-12-12,2151.5810496562326,2210.0,
2023-12-13,2151.2223822267074,2230.0,
2023-12-14,2150.620020279893,2245.5,
2023-12-15,2150.6432154087333,2244.1666666667,
2023-12-16,2149.8147730293376,2242.8333333333,
2023-12-17,2148.9668929246113,2241.5,
2023-12-18,2148.121196026014,2222.0,
2023-12-19,2147.8771986642164,2229.5,
2023-12-20,2147.536616518115,2185.0,
2023-12-21,2146.9522515473172,2197.0,
2023-12-22,2146.9933557759578,2198.6666666667,
2023-12-23,2146.182735049231,2200.3333333333,
2023-12-24,2145.352589577031,2202.0,
2023-12-25,2144.5245407157227,2190.0,
2023-12-26,2144.298105218807,2160.5,
2023-12-27,2143.9749991859453,2165.0,
2023-12-28,2143.408024995457,2183.0,
2023-12-29,2143.4664350881417,2179.8333333333,
2023-12-30,2142.673035723826,2176.6666666667,
2023-12-31,2141.8600275250124,2173.5,
