index,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2023-10-03,2602.126962774775,2359.5,
2023-10-04,2600.355358150681,2372.0,
2023-10-05,2600.8553705642526,2348.5,
2023-10-06,2601.8289820355885,2351.0,
2023-10-07,2600.7758174357305,2353.5,
2023-10-08,2599.7403725782483,2356.0,
2023-10-09,2598.70563570294,2379.0,
2023-10-10,2599.6447014229952,2375.0,
2023-10-11,2597.9325312125725,2481.5,
2023-10-12,2598.4404078678403,2438.0,
2023-10-13,2599.418344229573,2419.3333333333,
2023-10-14,2598.369255672523,2400.6666666667,
2023-10-15,2597.337863446647,2382.0,
2023-10-16,2596.3071712466394,2368.0,
2023-10-17,2597.2502747551675,2367.5,
2023-10-18,2595.5421355303333,2420.0,
2023-10-19,2596.054036384715,2380.0,
2023-10-20,2597.035990170851,2382.3333333333,
2023-10-21,2595.990912274923,2384.6666666667,
2023-10-22,2594.963523958275,2387.0,
2023-10-23,2593.9368289269673,2456.0,
2023-10-24,2594.8839228750153,2466.0,
2023-10-25,2593.17976737185,2487.0,
2023-10-26,2593.6956452413583,2482.0,
2023-10-27,2594.6815693473695,2501.3333333333,
2023-10-28,2593.640455087336,2520.6666666667,
2023-10-29,2592.6170237338542,2540.0,
2023-10-30,2591.594279004219,2554.0,
2023-10-31,2592.54531660366,2535.0,
2023-11-01,2590.8450981128035,2461.5,
2023-11-02,2591.3649063667126,2482.0,
2023-11-03,2592.3547542403753,2486.0,
2023-11-04,2591.317557142383,2490.0,
2023-11-05,2590.298036356453,2494.0,
2023-11-06,2589.279195610981,2425.0,
2023-11-07,2590.2341306222797,2464.0,
2023-11-08,2588.537802982041,2453.0,
2023-11-09,2589.0614955363726,2399.0,
2023-11-10,2590.05522117129,2381.0,
2023-11-11,2589.021895306394,2363.0,
2023-11-12,2588.0062392363907,2345.0,
2023-11-13,2586.991256700648,2315.0,
2023-11-14,2587.950043426432,2290.0,
2023-11-15,2586.2575610163685,2325.0,
2023-11-16,2586.7850923274827,2282.0,
2023-11-17,2587.782650256687,2285.6666666667,
2023-11-18,2586.753150234461,2289.3333333333,
2023-11-19,2585.741313566373,2293.0,
2023-11-20,2584.730144002634,2355.0,
2023-11-21,2585.6927372813343,2352.0,
2023-11-22,2584.004055015906,2386.0,
2023-11-23,2584.5353800741627,2391.0,
2023-11-24,2585.536725363788,2400.5,
2023-11-25,2584.5110063260117,2410.0,
2023-11-26,2583.5029442771374,2419.5,
2023-11-27,2582.495542978091,2429.0,
2023-11-28,2583.461898177661,2444.0,
2023-11-29,2581.776971499959,2425.5,
2023-11-30,2582.3120458234607,2480.0,
2023-12-01,2583.3171340664926,2479.0,
2023-12-02,2582.2951516809117,2478.0,
2023-12-03,2581.290819993628,2477.0,
2023-12-04,2580.287142776159,2476.0,
2023-12-05,2581.2572157878644,2461.0,
2023-12-06,2579.5760006634114,2450.0,
2023-12-07,2580.1147802918117,2430.0,
2023-12-08,2581.1235676019105,2441.6666666667,
2023-12-09,2580.105278056067,2453.3333333333,
2023-12-10,2579.1046329916753,2465.0,
2023-12-11,2578.1046361907174,2500.0,
2023-12-12,2579.078383423003,2484.0,
2023-12-13,2577.400836333628,2575.0,
2023-12-14,2577.943277822019,2561.5,
2023-12-15,2578.9557208274164,2550.3333333333,
2023-12-16,2577.9410808225575,2539.1666666667,
2023-12-17,2576.944079155197,2528.0,
2023-12-18,2575.94771961766,2507.0,
2023-12-19,2576.9250979900817,2544.0,
2023-12-20,2575.251175927868,2503.0,
2023-12-21,2575.7972363407357,2557.0,
2023-12-22,2576.813292178199,2548.0,
2023-12-23,2575.802258923251,2539.0,
2023-12-24,2574.808857933886,2530.0,
2023-12-25,2573.8160930126523,2528.0,
2023-12-26,2574.7970599498885,2487.0,
2023-12-27,2573.1267204111887,2579.5,
2023-12-28,2573.6763573164394,2650.0,
2023-12-29,2574.6959836253086,2639.3333333333,
2023-12-30,2573.6885148309266,2628.6666666667,
2023-12-31,2572.698672301406,2618.0,
