index,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2023-10-03,8665.264000000001,8270.0,169.2436221927
2023-10-04,8665.264000000001,8295.5,169.5153171479
2023-10-05,8665.264000000001,8312.0,169.697078287
2023-10-06,8665.264000000001,8307.3333333333,169.6625330443
2023-10-07,8665.264000000001,8302.6666666667,169.6829448244
2023-10-08,8665.264000000001,8298.0,169.7070693066
2023-10-09,8665.264000000001,8388.0,169.7311673202
2023-10-10,8665.264000000001,8383.0,169.6745671098
2023-10-11,8665.264000000001,8586.0,169.9460397768
2023-10-12,8665.264000000001,8666.0,170.1275787423
2023-10-13,8665.264000000001,8600.0,170.0928114406
2023-10-14,8665.264000000001,8534.0,170.1130012763
2023-10-15,8665.264000000001,8468.0,170.1369039284
2023-10-16,8665.264000000001,8445.0,170.1607802265
2023-10-17,8665.264000000001,8384.0,170.103958415
2023-10-18,8665.264000000001,8569.0,170.375209595
2023-10-19,8665.264000000001,8449.0,170.5565271879
2023-10-20,8665.264000000001,8455.3333333333,170.5215386277
2023-10-21,8665.264000000001,8461.6666666667,170.5415073191
2023-10-22,8855.526470588236,8468.0,170.565188941
2023-10-23,8855.526470588236,8628.0,170.5888443227
2023-10-24,8855.526470588236,8576.0,170.531801709
2023-10-25,8855.526470588236,8620.0,170.8028322007
2023-10-26,8855.526470588236,8630.0,170.9839292189
2023-10-27,8855.526470588236,8643.5,170.9487201979
2023-10-28,8855.526470588236,8657.0,170.9684685422
2023-10-29,8855.526470588236,8670.5,170.9919299307
2023-10-30,8855.526470588236,8768.0,171.0153651927
2023-10-31,8855.526470588236,8589.0,170.9581025726
2023-11-01,8855.526470588236,8517.0,171.2289131716
2023-11-02,8855.526470588236,8505.0,171.4097904105
2023-11-03,8855.526470588236,8517.3333333333,171.3743617235
2023-11-04,8855.526470588236,8529.6666666667,171.3938905151
2023-11-05,8665.264000000001,8542.0,171.4171324641
2023-11-06,8855.526470588236,8325.0,171.4403483999
2023-11-07,8281.789972899729,8428.0,171.3828665667
2023-11-08,8281.789972899729,8464.5,171.6534580655
2023-11-09,8281.789972899729,8276.0,171.8341163174
2023-11-10,8281.789972899729,8283.0,171.7984687564
2023-11-11,8281.789972899729,8290.0,171.8177787868
2023-11-12,8281.789972899729,8297.0,171.8408020875
2023-11-13,8281.789972899729,8182.0,171.8637994877
2023-11-14,8281.789972899729,8194.0,171.8060992317
2023-11-15,8281.789972899729,8258.0,172.0764724204
2023-11-16,8281.789972899729,8211.0,172.2569124747
2023-11-17,8281.789972899729,8232.0,172.2210468286
2023-11-18,8281.789972899729,8253.0,172.2401388865
2023-11-19,8281.789972899729,8274.0,172.2629443272
2023-11-20,8571.064171122996,8373.0,172.2857239797
2023-11-21,8571.064171122996,8406.0,172.2278060883
2023-11-22,8281.789972899729,8394.0,172.4979617538
2023-11-23,8281.789972899729,8420.0,172.6781843972
2023-11-24,8281.789972899729,8414.0,172.6421014524
2023-11-25,8281.789972899729,8408.0,172.6609763236
2023-11-26,8281.789972899729,8402.0,172.6835646896
2023-11-27,8281.789972899729,8396.0,172.7061273793
2023-11-28,8281.789972899729,8435.0,172.6479926372
2023-11-29,8281.789972899729,8380.5,172.9179315638
2023-11-30,8281.789972899729,8535.0,173.0979375801
2023-12-01,8281.789972899729,8498.6666666667,173.0616381199
2023-12-02,8281.789972899729,8462.3333333333,173.0802965874
2023-12-03,8281.789972899729,8426.0,173.1026686612
2023-12-04,8281.789972899729,8430.0,173.1250151705
2023-12-05,8281.789972899729,8412.0,173.0666643593
2023-12-06,8281.789972899729,8270.0,173.3363873284
2023-12-07,8281.789972899729,8242.0,173.5161774985
2023-12-08,8281.789972899729,8281.3333333333,173.4796623035
2023-12-09,8281.789972899729,8320.6666666667,173.4981051474
2023-12-10,8281.789972899729,8360.0,173.520261709
2023-12-11,8281.789972899729,8365.0,173.5423928171
2023-12-12,8281.789972899729,8371.5,173.4838267159
2023-12-13,8281.789972899729,8465.0,173.753334506
2023-12-14,8281.789972899729,8427.0,173.932909608
2023-12-15,8281.789972899729,8414.0,173.8961794559
2023-12-16,8281.789972899729,8401.0,173.9144074537
2023-12-17,8281.789972899729,8388.0,173.9363492799
2023-12-18,8281.789972899729,8295.0,173.9582657634
2023-12-19,9301.68548387097,8336.0,173.8994851482
2023-12-20,8281.789972899729,8170.0,174.1687785351
2023-12-21,8281.789972899729,8255.0,174.3481393445
2023-12-22,8281.789972899729,8228.3333333333,174.3111950103
2023-12-23,8281.789972899729,8201.6666666667,174.3292089364
2023-12-24,8281.789972899729,8175.0,174.3509368014
2023-12-25,8281.789972899729,8131.0,174.372639434
2023-12-26,8281.789972899729,8075.0,174.3136450783
2023-12-27,8281.789972899729,8168.5,174.5827248348
2023-12-28,8281.789972899729,8282.0,174.7618721242
2023-12-29,8281.789972899729,8245.3333333333,174.7247143799
2023-12-30,8281.789972899729,8208.6666666667,174.7425150062
2023-12-31,8281.789972899729,8172.0,174.7640296813
