index,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2009-04-02,1303.0,1251.5,348.675
2009-04-03,1313.0,1257.6666666667,349.875
2009-04-04,1322.3333333333,1263.8333333333,349.9583333333
2009-04-05,1331.6666666667,1270.0,350.0416666667
2009-04-06,1341.0,1308.5,350.125
2009-04-07,1320.0,1311.5,350.575
2009-04-08,1310.0,1250.5,351.875
2009-04-09,1352.0,1245.5,350.425
2009-04-10,1361.9,1244.1666666667,350.64
2009-04-11,1371.8,1242.8333333333,350.855
2009-04-12,1381.7,1241.5,351.07
2009-04-13,1391.6,1212.0,351.285
2009-04-14,1401.5,1261.5,351.5
2009-04-15,1448.5,1275.0,349.125
2009-04-16,1501.0,1265.5,348.025
2009-04-17,1502.0,1256.5,347.2
2009-04-18,1492.3333333333,1247.5,346.6
2009-04-19,1482.6666666667,1238.5,346.0
2009-04-20,1473.0,1213.0,345.4
2009-04-21,1396.0,1193.0,343.175
2009-04-22,1420.5,1132.5,343.175
2009-04-23,1422.0,1120.0,341.85
2009-04-24,1383.5,1133.8333333333,340.5
2009-04-25,1369.3333333333,1147.6666666667,340.0083333333
2009-04-26,1355.1666666667,1161.5,339.5166666667
2009-04-27,1341.0,1160.0,339.025
2009-04-28,1318.0,1141.0,334.775
2009-04-29,1362.0,1097.0,333.275
2009-04-30,1408.0,1097.5,332.275
2009-05-01,1448.5,1101.8333333333,328.95
2009-05-02,1461.625,1106.1666666667,328.81875
2009-05-03,1474.75,1110.5,328.6875
2009-05-04,1487.875,1145.5,328.55625
2009-05-05,1501.0,1185.0,328.425
2009-05-06,1522.0,1165.0,324.125
2009-05-07,1589.0,1151.5,325.225
2009-05-08,1541.0,1165.0,325.9
2009-05-09,1529.0,1178.5,325.4083333333
2009-05-10,1517.0,1192.0,324.9166666667
2009-05-11,1505.0,1174.5,324.425
2009-05-12,1551.0,1143.5,323.325
2009-05-13,1435.0,1144.5,322.025
2009-05-14,1430.0,1163.5,322.025
2009-05-15,1460.5,1150.3333333333,323.825
2009-05-16,1466.6666666667,1137.1666666667,322.775
2009-05-17,1472.8333333333,1124.0,321.725
2009-05-18,1479.0,1120.0,320.675
2009-05-19,1519.5,1098.5,320.15
2009-05-20,1449.0,1135.5,318.35
2009-05-21,1443.0,1088.0,318.05
2009-05-22,1467.5,1096.1666666667,317.75
2009-05-23,1465.625,1104.3333333333,319.00625
2009-05-24,1463.75,1112.5,320.2625
2009-05-25,1461.875,1089.0,321.51875
2009-05-26,1460.0,1123.5,322.775
2009-05-27,1457.0,1145.0,323.425
2009-05-28,1425.0,1112.0,324.025
2009-05-29,1509.0,1109.6666666667,323.775
2009-05-30,1523.0,1107.3333333333,323.7166666667
2009-05-31,1537.0,1105.0,323.6583333333
2009-06-01,1551.0,1130.0,323.6
2009-06-02,1547.0,1172.0,323.075
2009-06-03,1535.0,1216.0,322.575
2009-06-04,1505.0,1245.5,323.875
2009-06-05,1555.5,1236.0,324.775
2009-06-06,1543.8333333333,1226.5,325.225
2009-06-07,1532.1666666667,1217.0,325.675
2009-06-08,1520.5,1261.0,326.125
2009-06-09,1564.5,1242.0,327.4
2009-06-10,1607.5,1214.5,327.8
2009-06-11,1634.5,1241.5,329.075
2009-06-12,1672.5,1247.0,329.975
2009-06-13,1648.8333333333,1252.5,330.55
2009-06-14,1625.1666666667,1258.0,331.125
2009-06-15,1601.5,1252.0,331.7
2009-06-16,1561.0,1221.5,335.15
2009-06-17,1520.0,1248.0,336.45
2009-06-18,1516.0,1255.0,337.925
2009-06-19,1561.0,1265.1666666667,339.1
2009-06-20,1537.5,1275.3333333333,339.125
2009-06-21,1514.0,1285.5,339.15
2009-06-22,1490.5,1244.5,339.175
2009-06-23,1508.0,1266.0,338.5
2009-06-24,1535.5,1337.5,339.525
2009-06-25,1583.0,1317.0,340.625
2009-06-26,1589.5,1316.6666666667,344.0
2009-06-27,1575.0,1316.3333333333,347.2333333333
2009-06-28,1560.5,1316.0,350.4666666667
2009-06-29,1546.0,1327.0,353.7
2009-06-30,1555.0,1294.0,353.575
2009-07-01,1544.5,1332.5,353.375
2009-07-02,1549.5,1341.0,353.125
2009-07-03,1540.5,1351.3333333333,352.6
2009-07-04,1526.0,1361.6666666667,352.5
2009-07-05,1511.5,1372.0,352.4
2009-07-06,1497.0,1350.5,352.3
2009-07-07,1569.0,1340.0,351.95
2009-07-08,1517.5,1380.5,351.95
2009-07-09,1485.5,1391.2,351.875
2009-07-10,1473.0,1401.9,351.625
2009-07-11,1469.0,1412.6,351.4666666667
2009-07-12,1465.0,1423.3,351.3083333333
2009-07-13,1461.0,1434.0,351.15
2009-07-14,1469.0,1483.0,354.15
2009-07-15,1517.5,1530.0,353.85
2009-07-16,1505.5,1542.0,353.525
2009-07-17,1520.0,1528.3333333333,353.1
2009-07-18,1561.0,1514.6666666667,352.9333333333
2009-07-19,1602.0,1501.0,352.7666666667
2009-07-20,1643.0,1423.0,352.6
2009-07-21,1618.0,1442.5,352.475
2009-07-22,1627.0,1446.0,353.0
2009-07-23,1642.5,1405.0,352.825
2009-07-24,1677.5,1393.6666666667,352.75
2009-07-25,1687.0,1382.3333333333,355.3
2009-07-26,1696.5,1371.0,357.85
2009-07-27,1706.0,1348.5,360.4
2009-07-28,1705.0,1390.0,368.475
2009-07-29,1621.5,1425.5,378.075
2009-07-30,1670.0,1474.0,393.425
2009-07-31,1748.0,1487.375,393.225
2009-08-01,1769.0,1500.75,398.1333333333
2009-08-02,1790.0,1514.125,403.0416666667
