index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2023-10-07,2206.713840723634,2141.6666666667,
2023-10-08,2205.3866493377177,2147.0,
2023-10-09,2204.0600921118435,2179.5,
2023-10-10,2203.553028643416,2186.0,
2023-10-11,2203.4574224618773,2279.0,
2023-10-12,2205.4315904712935,2269.0,
2023-10-13,2204.6429273625286,2261.0,
2023-10-14,2203.313051294086,2253.0,
2023-10-15,2201.9931992474208,2245.0,
2023-10-16,2200.6741615958435,2216.0,
2023-10-17,2200.174601795049,2186.5,
2023-10-18,2200.0864826549437,2220.0,
2023-10-19,2202.068121113529,2197.5,
2023-10-20,2201.2869118984277,2196.0,
2023-10-21,2199.964473204833,2194.5,
2023-10-22,2198.6520420508073,2193.0,
2023-10-23,2197.3404088461893,2226.5,
2023-10-24,2196.848237083119,2215.0,
2023-10-25,2196.767489607867,2220.0,
2023-10-26,2198.7564833947195,2203.0,
2023-10-27,2197.982613207504,2216.0,
2023-10-28,2196.6674972775377,2229.0,
2023-10-29,2195.3623726589253,2242.0,
2023-10-30,2194.05802979747,2262.0,
2023-10-31,2193.5731322211964,2227.0,
2023-11-01,2193.4996428121794,2195.0,
2023-11-02,2195.495878580431,2211.0,
2023-11-03,2194.729234325425,2217.3333333333,
2023-11-04,2193.4213283140443,2223.6666666667,
2023-11-05,2192.123397635883,2230.0,
2023-11-06,2190.826232772154,2195.0,
2023-11-07,2190.3484972862125,2205.0,
2023-11-08,2190.282154095387,2213.0,
2023-11-09,2192.2855202448636,2178.0,
2023-11-10,2191.525990569213,2167.5,
2023-11-11,2190.225183370337,2157.0,
2023-11-12,2188.9343357727726,2146.5,
2023-11-13,2187.644238292595,2140.0,
2023-11-14,2187.173554527947,2144.0,
2023-11-15,2187.1142474308667,2171.5,
2023-11-16,2189.1246340811726,2139.0,
2023-11-17,2188.3721093479908,2133.6666666667,
2023-11-18,2187.078291567704,2128.3333333333,
2023-11-19,2185.7944178992507,2123.0,
2023-11-20,2184.5112788930337,2174.0,
2023-11-21,2184.0475381814454,2180.0,
2023-11-22,2183.9951587507,2163.0,
2023-11-23,2186.0124577147144,2160.5,
2023-11-24,2185.2668299766387,2160.375,
2023-11-25,2183.9798939068028,2160.25,
2023-11-26,2182.702886698018,2160.125,
2023-11-27,2181.426598934486,2160.0,
2023-11-28,2180.969694282321,2179.5,
2023-11-29,2180.9241357613855,2204.0,
2023-11-30,2182.94824051917,2234.0,
2023-12-01,2182.2094034923243,2221.6666666667,
2023-12-02,2180.9292430846026,2209.3333333333,
2023-12-03,2179.658996522168,2197.0,
2023-12-04,2178.389454422497,2188.5,
2023-12-05,2177.939280484909,2206.0,
2023-12-06,2177.9004377623946,2180.0,
2023-12-07,2179.9312434355015,2181.0,
2023-12-08,2179.1990924738616,2185.6666666667,
2023-12-09,2177.92560331414,2190.3333333333,
2023-12-10,2176.6620132153357,2195.0,
2023-12-11,2175.3991128276903,2199.0,
2023-12-12,2174.9555658832146,2197.0,
2023-12-13,2174.9233354675175,2235.0,
2023-12-14,2176.9607387936944,2197.0,
2023-12-15,2176.235170863851,2200.0,
2023-12-16,2174.9682501470556,2203.0,
2023-12-17,2173.7112139346377,2206.0,
2023-12-18,2172.454852909098,2215.5,
2023-12-19,2172.017830834635,2247.0,
2023-12-20,2171.9921108289745,2212.0,
2023-12-21,2174.036010137257,2240.0,
2023-12-22,2173.316923793562,2235.0,
2023-12-23,2172.0564702988618,2230.0,
2023-12-24,2170.805886976318,2225.0,
2023-12-25,2169.555964540194,2238.5,
2023-12-26,2169.12536678638,2226.0,
2023-12-27,2169.1060568642224,2265.0,
2023-12-28,2171.1563520504133,2342.0,
2023-12-29,2170.4436474105146,2333.6666666667,
2023-12-30,2169.1895614769087,2325.3333333333,
2023-12-31,2167.945331604101,2317.0,
2024-01-01,2166.7017485376264,2294.0,
2024-01-02,2166.2774761045785,2271.0,
2024-01-03,2166.264477485439,2233.0,
2024-01-04,2168.321069987964,2239.0,
