index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2023-10-07,2205.89570618565,2049.6666666667,
2023-10-08,2204.7733248602467,2058.0,
2023-10-09,2203.6544703463605,2057.5,
2023-10-10,2203.070027755803,2071.0,
2023-10-11,2202.471401297094,2111.0,
2023-10-12,2201.6077759802033,2125.0,
2023-10-13,2201.462139020226,2114.3333333333,
2023-10-14,2200.3849106854504,2103.6666666667,
2023-10-15,2199.289462561078,2093.0,
2023-10-16,2198.1974096161707,2103.0,
2023-10-17,2197.639637605873,2094.0,
2023-10-18,2197.0675513788924,2092.5,
2023-10-19,2196.230336582258,2136.0,
2023-10-20,2196.110981065011,2138.0,
2023-10-21,2195.059905726286,2140.0,
2023-10-22,2193.99048277905,2142.0,
2023-10-23,2192.9243278170607,2159.0,
2023-10-24,2192.392327217105,2153.5,
2023-10-25,2191.845886446496,2173.0,
2023-10-26,2191.034191767844,2157.0,
2023-10-27,2190.940231642762,2156.3333333333,
2023-10-28,2189.9144275799654,2155.6666666667,
2023-10-29,2188.87015239902,2155.0,
2023-10-30,2187.8290222973187,2150.5,
2023-10-31,2187.321924252334,2145.0,
2023-11-01,2186.8002643291275,2147.5,
2023-11-02,2186.0132293851375,2140.0,
2023-11-03,2185.943808473898,2144.6666666667,
2023-11-04,2184.9424236931523,2149.3333333333,
2023-11-05,2183.922448448614,2154.0,
2023-11-06,2182.9054995209617,2119.5,
2023-11-07,2182.4224644681003,2128.0,
2023-11-08,2181.9247499326884,2132.0,
2023-11-09,2181.1615433469387,2123.0,
2023-11-10,2181.1158343363495,2116.3333333333,
2023-11-11,2180.138045567833,2109.6666666667,
2023-11-12,2179.1415510134916,2103.0,
2023-11-13,2178.147968017622,2107.0,
2023-11-14,2177.688184698995,2125.0,
2023-11-15,2177.2136082583925,2139.0,
2023-11-16,2176.4734266834225,2140.0,
2023-11-17,2176.4506301522656,2142.3333333333,
2023-11-18,2175.495641881814,2144.6666666667,
2023-11-19,2174.5218363914632,2147.0,
2023-11-20,2173.550831570127,2182.0,
2023-11-21,2173.1135160785316,2178.0,
2023-11-22,2172.6612976567667,2189.0,
2023-11-23,2171.943364829112,2166.0,
2023-11-24,2171.942708307796,2163.0,
2023-11-25,2171.0097518411494,2160.0,
2023-11-26,2170.057870477408,2157.0,
2023-11-27,2169.108682631743,2154.0,
2023-11-28,2168.693077488565,2203.0,
2023-11-29,2168.2624633090886,2192.0,
2023-11-30,2167.566029136171,2271.0,
2023-12-01,2167.5867661980847,2252.3333333333,
2023-12-02,2166.6750987566825,2233.6666666667,
2023-12-03,2165.744402371211,2215.0,
2023-12-04,2164.8162959653564,2220.0,
2023-12-05,2164.4216692295577,2231.0,
2023-12-06,2164.0119309285856,2232.5,
2023-12-07,2163.336270606392,2219.0,
2023-12-08,2163.3776799898956,2227.6666666667,
2023-12-09,2162.486583837157,2236.3333333333,
2023-12-10,2161.5763582012073,2245.0,
2023-12-11,2160.6686224971018,2233.0,
2023-12-12,2160.294266904249,2210.0,
2023-12-13,2159.9047006739984,2230.0,
2023-12-14,2159.249113834503,2245.5,
2023-12-15,2159.3104985945156,2244.1666666667,
2023-12-16,2158.4392801915765,2242.8333333333,
2023-12-17,2157.548835155853,2241.5,
2023-12-18,2156.660783377205,2222.0,
2023-12-19,2156.3060155075245,2229.5,
2023-12-20,2155.935941268335,2185.0,
2023-12-21,2155.2997511556664,2197.0,
2023-12-22,2155.3804378438613,2198.6666666667,
2023-12-23,2154.5284270337747,2200.3333333333,
2023-12-24,2153.6570957166236,2202.0,
2023-12-25,2152.7880642410646,2190.0,
2023-12-26,2152.4522237155443,2160.5,
2023-12-27,2152.100984315909,2165.0,
2023-12-28,2151.483536990292,2183.0,
2023-12-29,2151.5828748629283,2179.8333333333,
2023-12-30,2150.749424082367,2176.6666666667,
2023-12-31,2149.896562085332,2173.5,
2024-01-01,2149.0459096638083,2129.0,
2024-01-02,2148.7283583674043,2134.0,
2024-01-03,2148.3953188109735,2113.5,
2024-01-04,2147.7959823795086,2161.0,
