index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2023-11-02,2267.485663283578,2211.0,471.7782204037
2023-11-03,2267.485663283578,2217.3333333333,470.5983178562
2023-11-04,2267.485663283578,2223.6666666667,470.1476382935
2023-11-05,2267.485663283578,2230.0,469.8194750641
2023-11-06,2267.485663283578,2195.0,469.5424316584
2023-11-07,2267.485663283578,2205.0,471.0341304495
2023-11-08,2267.485663283578,2213.0,470.6343230719
2023-11-09,2267.485663283578,2178.0,470.3306734747
2023-11-10,2267.485663283578,2167.5,469.5670071127
2023-11-11,2267.485663283578,2157.0,469.3423938304
2023-11-12,2267.485663283578,2146.5,469.1264422409
2023-11-13,2267.485663283578,2140.0,468.9113775627
2023-11-14,2267.485663283578,2144.0,470.4366574031
2023-11-15,2267.485663283578,2171.5,470.0545647383
2023-11-16,2267.485663283578,2139.0,469.7604348931
2023-11-17,2267.485663283578,2133.6666666667,469.0018872608
2023-11-18,2267.485663283578,2128.3333333333,468.7800095919
2023-11-19,2267.485663283578,2123.0,468.565524705
2023-11-20,2267.485663283578,2174.0,468.3512477362
2023-11-21,2267.485663283578,2180.0,469.8769507511
2023-11-22,2267.485663283578,2163.0,469.4950861689
2023-11-23,2267.485663283578,2160.5,469.2010799604
2023-11-24,2267.485663283578,2160.375,468.4425999984
2023-11-25,2267.485663283578,2160.25,468.2207600261
2023-11-26,2267.485663283578,2160.125,468.0062967839
2023-11-27,2267.485663283578,2160.0,467.7920328617
2023-11-28,2267.485663283578,2179.5,469.3177443181
2023-11-29,2267.485663283578,2204.0,468.9358857111
2023-11-30,2267.485663283578,2234.0,468.6418841566
2023-12-01,2267.485663283578,2221.6666666667,467.883408141
2023-12-02,2267.485663283578,2209.3333333333,467.6615717363
2023-12-03,2267.485663283578,2197.0,467.4471118586
2023-12-04,2267.485663283578,2188.5,467.2328511922
2023-12-05,2267.485663283578,2206.0,468.7585658461
2023-12-06,2267.485663283578,2180.0,468.3767104054
2023-12-07,2267.485663283578,2181.0,468.0827120006
2023-12-08,2267.485663283578,2185.6666666667,467.3242391257
2023-12-09,2267.485663283578,2190.3333333333,467.1024058568
2023-12-10,2267.485663283578,2195.0,466.8879491123
2023-12-11,2267.485663283578,2199.0,466.6736915778
2023-12-12,2267.485663283578,2197.0,468.1994093629
2023-12-13,2267.485663283578,2235.0,467.8175570529
2023-12-14,2267.485663283578,2197.0,467.5235617786
2023-12-15,2267.485663283578,2200.0,466.765092034
2023-12-16,2267.485663283578,2203.0,466.5432618954
2023-12-17,2267.485663283578,2206.0,466.3288082812
2023-12-18,2267.485663283578,2215.5,466.1145538769
2023-12-19,2267.485663283578,2247.0,467.6402747921
2023-12-20,2267.485663283578,2212.0,467.2584256123
2023-12-21,2267.485663283578,2240.0,466.964433468
2023-12-22,2267.485663283578,2235.0,466.2059668536
2023-12-23,2267.485663283578,2230.0,465.984139845
2023-12-24,2267.485663283578,2225.0,465.7696893609
2023-12-25,2267.485663283578,2238.5,465.5554380866
2023-12-26,2267.485663283578,2226.0,467.0811621319
2023-12-27,2267.485663283578,2265.0,466.6993160821
2023-12-28,2267.485663283578,2342.0,466.4053270679
2023-12-29,2267.485663283578,2333.6666666667,465.6468635834
2023-12-30,2267.485663283578,2325.3333333333,465.4250397048
2023-12-31,2267.485663283578,2317.0,465.2105923506
2024-01-01,2267.485663283578,2294.0,464.9963442062
2024-01-02,2267.485663283578,2271.0,466.5220713814
2024-01-03,2033.473972473605,2233.0,466.1402284615
2024-01-04,2267.485663283578,2239.0,465.8462425771
2024-01-05,2267.485663283578,2235.6666666667,465.0877822225
2024-01-06,2267.485663283578,2232.3333333333,464.8659614738
2024-01-07,2267.485663283578,2229.0,464.6515172494
2024-01-08,2267.485663283578,2230.0,464.4372722348
2024-01-09,2267.485663283578,2215.0,465.9630025398
2024-01-10,2267.485663283578,2208.0,465.5811627496
2024-01-11,2267.485663283578,2201.0,465.287179995
2024-01-12,2267.485663283578,2197.8333333333,464.5287227701
2024-01-13,2267.485663283578,2194.6666666667,464.3069051511
2024-01-14,2267.485663283578,2191.5,464.0924640564
2024-01-15,2267.485663283578,2170.5,463.8782221716
2024-01-16,2267.485663283578,2185.5,465.4039556062
2024-01-17,2267.485663283578,2177.0,465.0221189457
2024-01-18,2267.485663283578,2178.0,464.7281393207
2024-01-19,2267.485663283578,2176.6666666667,463.9696852254
2024-01-20,2267.485663283578,2175.3333333333,463.747870736
2024-01-21,2267.485663283578,2174.0,463.5334327709
2024-01-22,2267.485663283578,2172.0,463.3191940156
2024-01-23,2267.485663283578,2209.0,464.8449305798
2024-01-24,2267.485663283578,2216.0,464.4630970488
2024-01-25,2267.485663283578,2192.0,464.1691205533
2024-01-26,2267.485663283578,2214.0,463.4106695875
2024-01-27,2267.485663283578,2236.0,463.1888582275
2024-01-28,2267.485663283578,2258.0,462.9744233919
2024-01-29,2267.485663283578,2247.0,462.760187766
2024-01-30,2267.485663283578,2241.5,464.2859274596
