index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2024-01-05,2036.1623713505571,2156.0,130.4354691934
2024-01-06,2036.1623713505571,2151.0,130.420459012
2024-01-07,2036.1623713505571,2146.0,130.4054451065
2024-01-08,2036.1623713505571,2103.0,130.390427478
2024-01-09,2141.9412242424246,2100.0,130.5143341582
2024-01-10,2141.9412242424246,2078.0,130.6483177459
2024-01-11,2141.9412242424246,2045.0,130.614765147
2024-01-12,2141.9412242424246,2045.6666666667,130.6001772518
2024-01-13,2141.9412242424246,2046.3333333333,130.5851100017
2024-01-14,2141.9412242424246,2047.0,130.5700390471
2024-01-15,2141.9412242424246,2064.0,130.5549643894
2024-01-16,2141.9412242424246,2111.5,130.6788140601
2024-01-17,2141.9412242424246,2098.0,130.8127406581
2024-01-18,2141.9412242424246,2082.5,130.7791310892
2024-01-19,2141.9412242424246,2086.6666666667,130.7644862438
2024-01-20,2141.9412242424246,2090.8333333333,130.7493620631
2024-01-21,2141.9412242424246,2095.0,130.7342341978
2024-01-22,2141.9412242424246,2101.0,130.719102649
2024-01-23,2141.9412242424246,2097.0,130.8428954484
2024-01-24,2141.9412242424246,2090.0,130.9767651947
2024-01-25,2141.9412242424246,2106.5,130.9430987938
2024-01-26,2141.9412242424246,2115.1666666667,130.9283971362
2024-01-27,2141.9412242424246,2123.8333333333,130.913216163
2024-01-28,2141.9412242424246,2132.5,130.8980315247
2024-01-29,2141.9412242424246,2107.0,130.8828432227
2024-01-30,2141.9412242424246,2106.0,131.0065792886
2024-01-31,2141.9412242424246,2114.5,131.1403923209
2024-02-01,2141.9412242424246,2162.0,131.1066692259
2024-02-02,2141.9412242424246,2166.0,131.0919108936
2024-02-03,2141.9412242424246,2170.0,131.0766732654
2024-02-04,2141.9412242424246,2174.0,131.0614319918
2024-02-05,2141.9412242424246,2171.0,131.0461870741
2024-02-06,2141.9412242424246,2196.0,131.1698665439
2024-02-07,2141.9412242424246,2179.0,131.3036229997
2024-02-08,2141.9412242424246,2190.0,131.2698433478
2024-02-09,2141.9412242424246,2185.6666666667,131.2550284782
2024-02-10,2141.9412242424246,2181.3333333333,131.2397343323
2024-02-11,2141.9412242424246,2177.0,131.2244365606
2024-02-12,2141.9412242424246,2164.0,131.2091351644
2024-02-13,2141.9412242424246,2221.0,131.3327581751
2024-02-14,2141.9412242424246,2264.0,131.4664581916
2024-02-15,2141.9412242424246,2281.0,131.4326221198
2024-02-16,2141.9412242424246,2282.1666666667,131.4177508499
2024-02-17,2141.9412242424246,2283.3333333333,131.4024003233
2024-02-18,2141.9412242424246,2284.5,131.3870461903
2024-02-19,2141.9412242424246,2268.0,131.3716884524
2024-02-20,2141.9412242424246,2246.0,131.495255141
2024-02-21,2141.9412242424246,2214.0,131.6288988548
2024-02-22,2141.9412242424246,2205.0,131.5950064998
2024-02-23,2141.9412242424246,2194.6666666667,131.5800789663
2024-02-24,2141.9412242424246,2184.3333333333,131.5646721954
2024-02-25,2141.9412242424246,2174.0,131.5492618378
2024-02-26,2141.9412242424246,2151.0,131.5338478947
2024-02-27,2141.9412242424246,2142.0,131.6573583975
2024-02-28,2141.9412242424246,2138.0,131.7909459451
2024-02-29,2141.9412242424246,2124.0,131.7569974433
2024-03-01,2141.9412242424246,2123.0,131.7420137825
2024-03-02,2141.9412242424246,2122.0,131.7265509037
2024-03-03,2141.9412242424246,2121.0,131.7110844577
2024-03-04,2141.9412242424246,2074.0,131.6956144455
2024-03-05,2141.9412242424246,2036.0,131.8190688988
2024-03-06,2141.9412242424246,2027.0,131.9526004162
2024-03-07,2141.9412242424246,2036.0,131.9185959036
2024-03-08,2141.9412242424246,2032.8333333333,131.9035562514
2024-03-09,2141.9412242424246,2029.6666666667,131.8880374008
2024-03-10,2141.9412242424246,2026.5,131.8725150021
2024-03-11,2141.9412242424246,2077.0,131.8569890568
2024-03-12,2141.9412242424246,2043.0,131.9803875963
2024-03-13,2141.9412242424246,2065.0,132.1138632193
2024-03-14,2141.9412242424246,2085.5,132.0798028317
2024-03-15,2141.9412242424246,2087.6666666667,132.0647073238
2024-03-16,2141.9412242424246,2089.8333333333,132.0491326368
2024-03-17,2141.9412242424246,2092.0,132.0335544212
2024-03-18,2141.9412242424246,2062.0,132.0179726782
2024-03-19,2141.9412242424246,2084.0,132.1413154394
2024-03-20,2141.9412242424246,2074.0,132.2747353033
2024-03-21,2141.9412242424246,2070.5,132.2406191761
2024-03-22,2141.9412242424246,2072.4,132.2254679478
2024-03-23,2141.9412242424246,2074.3,132.2098375598
2024-03-24,2141.9412242424246,2076.2,132.1942036624
2024-03-25,2141.9412242424246,2078.1,132.178566257
2024-03-26,2141.9412242424246,2080.0,132.301853375
2024-03-27,2141.9412242424246,2083.0,132.435217615
2024-03-28,2141.9412242424246,2068.0,132.4010458831
2024-03-29,2141.9412242424246,2067.75,132.3858390696
2024-03-30,2141.9412242424246,2067.5,132.3701531154
2024-03-31,2141.9412242424246,2067.25,132.3544636712
2024-04-01,2141.9412242424246,2067.0,132.3387707382
2024-04-02,2141.9412242424246,2060.0,132.4620023478
2024-04-03,2141.9412242424246,2045.0,132.5953110988
