,date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
0,2023-09-18,8320.0,8388.0,147.575
1,2023-09-15,8376.5,8427.0,143.375
2,2023-09-14,8423.0,8465.0,143.375
3,2023-09-13,8353.0,8371.5,143.4
4,2023-09-12,8337.5,8365.0,135.65
5,2023-09-11,8332.5,8360.0,134.525
6,2023-09-08,8225.0,8242.0,134.125
7,2023-09-07,8242.5,8270.0,133.85
8,2023-09-06,8395.0,8412.0,110.4
9,2023-09-05,8430.0,8430.0,107.4
10,2023-09-04,8406.0,8426.0,107.425
11,2023-09-01,8515.0,8535.0,104.275
12,2023-08-31,8359.5,8380.5,102.9
13,2023-08-30,8394.5,8435.0,99.225
14,2023-08-29,8375.0,8396.0,97.65
15,2023-08-25,8381.5,8420.0,97.525
16,2023-08-24,8358.5,8394.0,96.625
17,2023-08-23,8377.5,8406.0,95.425
18,2023-08-22,8342.0,8373.0,95.425
19,2023-08-21,8239.5,8274.0,95.325
20,2023-08-18,8176.0,8211.0,92.2
21,2023-08-17,8215.0,8258.0,91.4
22,2023-08-16,8132.0,8194.0,90.875
23,2023-08-15,8126.5,8182.0,90.15
24,2023-08-14,8242.0,8297.0,85.375
25,2023-08-11,8242.0,8276.0,84.9
26,2023-08-10,8423.5,8464.5,83.0
27,2023-08-09,8395.0,8428.0,81.0
28,2023-08-08,8276.0,8325.0,80.3
29,2023-08-07,8495.0,8542.0,79.325
30,2023-08-04,8450.5,8505.0,79.325
31,2023-08-03,8472.0,8517.0,76.875
32,2023-08-02,8545.0,8589.0,75.275
33,2023-08-01,8720.5,8768.0,74.175
34,2023-07-31,8635.5,8670.5,68.35
35,2023-07-28,8592.0,8630.0,64.425
36,2023-07-27,8578.5,8620.0,62.25
37,2023-07-26,8534.0,8576.0,60.7
38,2023-07-25,8597.0,8628.0,60.775
39,2023-07-24,8430.0,8468.0,60.225
40,2023-07-21,8422.0,8449.0,59.9
41,2023-07-20,8543.0,8569.0,58.8
42,2023-07-19,8354.0,8384.0,59.325
43,2023-07-18,8410.0,8445.0,59.2
44,2023-07-17,8460.5,8468.0,59.175
45,2023-07-14,8651.0,8666.0,57.175
46,2023-07-13,8585.0,8586.0,54.225
47,2023-07-12,8367.0,8383.0,54.45
48,2023-07-11,8371.0,8388.0,57.075
49,2023-07-10,8286.0,8298.0,59.425
50,2023-07-07,8299.0,8312.0,62.975
51,2023-07-06,8280.0,8295.5,65.175
52,2023-07-05,8251.0,8270.0,67.2
53,2023-07-04,8349.0,8355.5,66.775
54,2023-07-03,8355.0,8355.0,69.7
55,2023-06-30,8210.0,8210.0,72.975
56,2023-06-29,8165.5,8175.0,75.425
57,2023-06-28,8268.0,8279.0,75.275
58,2023-06-27,8367.0,8360.0,77.05
59,2023-06-26,8437.0,8422.0,80.1
60,2023-06-23,8490.0,8478.0,79.3
61,2023-06-22,8670.5,8668.0,80.4
62,2023-06-21,8490.0,8498.0,84.725
63,2023-06-20,8565.0,8550.0,86.325
64,2023-06-19,8542.0,8550.0,88.425
65,2023-06-16,8561.0,8575.0,90.625
66,2023-06-15,8479.0,8482.5,79.525
67,2023-06-14,8457.0,8466.5,84.25
68,2023-06-13,8421.5,8444.0,89.3
69,2023-06-12,8287.0,8320.0,95.4
70,2023-06-09,8368.0,8391.0,97.65
71,2023-06-08,8243.0,8263.0,99.45
72,2023-06-07,8352.0,8354.0,100.1
73,2023-06-06,8311.0,8322.0,99.825
74,2023-06-05,8265.0,8263.0,98.95
75,2023-06-02,8337.0,8345.0,98.675
76,2023-06-01,8210.5,8227.0,99.525
77,2023-05-31,8017.0,8047.5,99.15
78,2023-05-30,8122.0,8142.0,99.7
79,2023-05-26,8082.0,8113.0,97.725
80,2023-05-25,7922.0,7960.0,96.95
81,2023-05-24,7910.0,7960.5,96.675
82,2023-05-23,7961.0,8037.0,95.025
83,2023-05-22,8094.0,8151.5,92.25
84,2023-05-19,8222.0,8272.0,91.975
85,2023-05-18,8171.5,8217.0,90.525
86,2023-05-17,8176.0,8209.0,86.625
87,2023-05-16,8076.0,8129.0,83.825
88,2023-05-15,8287.0,8334.0,76.875
89,2023-05-12,8240.0,8275.0,76.625
90,2023-05-11,8267.0,8295.0,75.95
91,2023-05-10,8469.0,8503.0,75.375
92,2023-05-09,8583.0,8607.0,71.675
93,2023-05-05,8488.0,8509.0,70.425
94,2023-05-04,8539.0,8557.0,67.775
95,2023-05-03,8486.0,8517.0,67.3
96,2023-05-02,8573.0,8593.0,66.35
97,2023-04-28,8571.0,8586.0,64.55
98,2023-04-27,8465.5,8488.0,62.675
99,2023-04-26,8579.0,8585.5,61.825
100,2023-04-25,8521.0,8552.0,60.775
101,2023-04-24,8762.5,8778.0,53.875
102,2023-04-21,8816.0,8826.0,51.875
103,2023-04-20,8875.0,8885.0,51.85
104,2023-04-19,8875.0,8888.0,51.175
105,2023-04-18,8966.0,8971.5,53.05
106,2023-04-17,8985.0,8983.0,51.775
107,2023-04-14,9082.0,9086.0,51.55
108,2023-04-13,9001.5,8995.0,54.425
109,2023-04-12,8803.0,8808.5,56.8
110,2023-04-11,8837.5,8842.0,62.275
111,2023-04-06,8836.0,8836.0,65.425
112,2023-04-05,8780.0,8785.0,65.25
113,2023-04-04,8930.0,8931.0,66.1
114,2023-04-03,8966.0,8970.0,63.85
115,2023-03-31,8935.0,8934.0,64.725
116,2023-03-30,9038.5,9039.0,69.525
117,2023-03-29,9052.0,9045.0,68.075
118,2023-03-28,8934.0,8949.0,68.4
119,2023-03-27,8876.0,8894.5,70.6
120,2023-03-24,8927.0,8932.0,72.675
121,2023-03-23,8917.0,8917.0,73.475
122,2023-03-22,8880.5,8875.0,74.6
123,2023-03-21,8824.0,8812.0,76.4
124,2023-03-20,8677.0,8672.0,76.925
125,2023-03-17,8621.0,8625.0,74.7
126,2023-03-16,8535.0,8537.0,74.975
127,2023-03-15,8525.0,8555.0,73.4
128,2023-03-14,8905.0,8904.0,70.175
129,2023-03-13,8651.0,8667.0,71.3
130,2023-03-10,8755.0,8771.0,71.725
131,2023-03-09,8808.0,8827.0,72.375
132,2023-03-08,8810.0,8825.0,73.35
133,2023-03-07,8824.0,8854.0,74.375
134,2023-03-06,8819.0,8845.5,72.4
135,2023-03-03,8945.0,8979.0,70.55
136,2023-03-02,8896.0,8922.0,64.225
137,2023-03-01,9066.5,9081.0,63.2
138,2023-02-28,8844.0,8852.0,64.1
139,2023-02-27,8751.0,8769.0,64.275
140,2023-02-24,8807.0,8826.5,63.775
141,2023-02-23,9060.0,9088.0,65.0
142,2023-02-22,9121.0,9132.0,65.425
143,2023-02-21,9103.5,9125.0,65.225
144,2023-02-20,9015.0,9044.0,65.5
145,2023-02-17,8871.0,8912.0,64.825
146,2023-02-16,8892.0,8932.0,64.975
147,2023-02-15,8826.0,8862.0,65.975
148,2023-02-14,8931.5,8958.0,63.8
