date,model_name,rmse,mae,mape

2023-09-17 00:00:00,AR-baseline-spot,164.651,134.937,1.6
2023-09-17 00:00:00,ARIMA-spot,206.637,175.78,2.1
2023-09-17 00:00:00,SARIMAX-spot,1265.005,1109.72,13.3
2023-09-17 00:00:00,ARIMAX-spot,198.669,167.993,2.0
2023-09-17 00:00:00,Stacking,233.927,193.582,2.3
2023-09-18 00:00:00,AR-baseline-spot,164.651,134.937,1.6
2023-09-18 00:00:00,ARIMA-spot,206.637,175.78,2.1
2023-09-18 00:00:00,SARIMAX-spot,1265.005,1109.72,13.3
2023-09-18 00:00:00,ARIMAX-spot,198.669,167.993,2.0
2023-09-18 00:00:00,Stacking,233.927,193.582,2.3
2023-09-19 00:00:00,AR-baseline-spot,177.588,149.292,1.7999999999999998
2023-09-19 00:00:00,ARIMA-spot,219.208,190.943,2.3
2023-09-19 00:00:00,SARIMAX-spot,1222.164,1088.54,13.0
2023-09-19 00:00:00,ARIMAX-spot,203.236,175.517,2.1
2023-09-19 00:00:00,Stacking,236.423,193.31,2.3
2023-09-19 00:00:00,AR-baseline-spot,162.829,133.02,1.6
2023-09-19 00:00:00,ARIMA-spot,219.109,190.849,2.3
2023-09-19 00:00:00,SARIMAX-spot,1215.044,1082.155,12.9
2023-09-19 00:00:00,ARIMAX-spot,214.25,186.273,2.1999999999999997
2023-09-19 00:00:00,RFR-model_no_stock,259.892,224.654,2.7
2023-09-19 00:00:00,RFR-model,418.142,307.224,3.6999999999999997
2023-09-19 00:00:00,Stacking,435.613,345.518,4.1000000000000005
2023-09-20 00:00:00,AR-baseline-spot,162.829,133.02,1.6
2023-09-20 00:00:00,ARIMA-spot,219.109,190.849,2.3
2023-09-20 00:00:00,SARIMAX-spot,1215.044,1082.155,12.9
2023-09-20 00:00:00,ARIMAX-spot,214.25,186.273,2.1999999999999997
2023-09-20 00:00:00,RFR-model_no_stock,259.892,224.654,2.7
2023-09-20 00:00:00,RFR-model,418.142,307.224,3.6999999999999997
2023-09-20 00:00:00,GBR-model_full,418.142,307.224,3.6999999999999997
2023-09-20 00:00:00,RFR-model_no_stock,242.25,198.926,2.4
2023-09-20 00:00:00,RFR-model,171.538,144.442,1.7000000000000002
2023-09-20 00:00:00,GBR-model_full,171.538,144.442,1.7000000000000002
2023-09-20 00:00:00,GBR-model_futures,171.538,144.442,1.7000000000000002
2023-09-20 00:00:00,DT-model,148.786,120.557,1.4000000000000001
