date,model_name,rmse,mae,mape

2023-09-17 00:00:00,AR-baseline-stock,23.583,19.556,26.5
2023-09-17 00:00:00,ARIMA-stock,23.624,19.272,24.7
2023-09-17 00:00:00,SARIMAX-stock,37.271,27.842,29.5
2023-09-17 00:00:00,LR-model,379.859,305.083,3.5999999999999996
2023-09-17 00:00:00,DT-model,483.186,427.682,5.1
2023-09-17 00:00:00,RFR-model_no_stock,461.802,437.369,5.2
2023-09-17 00:00:00,RFR-model,217.963,177.674,2.1
2023-09-18 00:00:00,AR-baseline-stock,23.583,19.556,26.5
2023-09-18 00:00:00,ARIMA-stock,23.624,19.272,24.7
2023-09-18 00:00:00,SARIMAX-stock,37.271,27.842,29.5
2023-09-18 00:00:00,LR-model,379.859,305.083,3.5999999999999996
2023-09-18 00:00:00,DT-model,483.186,427.682,5.1
2023-09-18 00:00:00,RFR-model_no_stock,461.802,437.369,5.2
2023-09-18 00:00:00,RFR-model,217.963,177.674,2.1
2023-09-19 00:00:00,AR-baseline-stock,23.831,19.381,24.7
2023-09-19 00:00:00,ARIMA-stock,25.623,20.155,23.7
2023-09-19 00:00:00,SARIMAX-stock,54.773,39.258,37.9
2023-09-19 00:00:00,LR-model,388.328,313.121,3.6999999999999997
2023-09-19 00:00:00,DT-model,486.491,433.193,5.2
2023-09-19 00:00:00,RFR-model_no_stock,464.14,441.121,5.3
2023-09-19 00:00:00,RFR-model,243.752,199.047,2.4
2023-09-19 00:00:00,AR-baseline-stock,25.412,20.317,24.3
2023-09-19 00:00:00,ARIMA-stock,25.625,20.145,23.599999999999998
2023-09-19 00:00:00,SARIMAX-stock,54.519,39.093,37.8
2023-09-19 00:00:00,LR-model,299.97,237.843,2.8000000000000003
2023-09-19 00:00:00,DT-model,703.803,515.935,6.1
2023-09-19 00:00:00,RFR-model_no_stock,259.892,224.654,2.7
2023-09-20 00:00:00,AR-baseline-stock,25.412,20.317,24.3
2023-09-20 00:00:00,ARIMA-stock,25.625,20.145,23.599999999999998
2023-09-20 00:00:00,SARIMAX-stock,54.519,39.093,37.8
2023-09-20 00:00:00,LR-model,299.97,237.843,2.8000000000000003
2023-09-20 00:00:00,DT-model,703.803,515.935,6.1
2023-09-20 00:00:00,LR-model,269.372,217.465,2.6
2023-09-20 00:00:00,DT-model,148.786,120.557,1.4000000000000001
