,date,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
0,2023-09-18,2493.0,2528.0,118.65
1,2023-09-15,2532.5,2561.5,122.625
2,2023-09-14,2551.0,2575.0,127.45
3,2023-09-13,2453.5,2484.0,132.2
4,2023-09-12,2474.0,2500.0,138.4
5,2023-09-11,2437.5,2465.0,141.775
6,2023-09-08,2406.0,2430.0,143.425
7,2023-09-07,2428.5,2450.0,145.175
8,2023-09-06,2435.5,2461.0,148.4
9,2023-09-05,2456.0,2476.0,151.575
10,2023-09-04,2455.0,2477.0,153.575
11,2023-09-01,2457.0,2480.0,153.575
12,2023-08-31,2412.5,2425.5,153.975
13,2023-08-30,2425.5,2444.0,147.875
14,2023-08-29,2420.0,2429.0,149.025
15,2023-08-25,2375.5,2391.0,149.35
16,2023-08-24,2363.0,2386.0,149.8
17,2023-08-23,2328.5,2352.0,150.175
18,2023-08-22,2336.0,2355.0,146.975
19,2023-08-21,2270.5,2293.0,145.55
20,2023-08-18,2261.0,2282.0,145.975
21,2023-08-17,2312.0,2325.0,142.775
22,2023-08-16,2282.0,2290.0,141.75
23,2023-08-15,2313.0,2315.0,106.9
24,2023-08-14,2357.0,2345.0,92.175
25,2023-08-11,2415.5,2399.0,91.8
26,2023-08-10,2477.0,2453.0,91.575
27,2023-08-09,2500.0,2464.0,88.825
28,2023-08-08,2448.0,2425.0,90.0
29,2023-08-07,2500.0,2494.0,91.65
30,2023-08-04,2482.0,2482.0,94.9
31,2023-08-03,2462.5,2461.5,97.925
32,2023-08-02,2527.0,2535.0,99.225
33,2023-08-01,2554.0,2554.0,99.35
34,2023-07-31,2550.0,2540.0,99.675
35,2023-07-28,2485.0,2482.0,99.15
36,2023-07-27,2485.0,2487.0,96.075
37,2023-07-26,2455.0,2466.0,87.95
38,2023-07-25,2447.0,2456.0,88.625
39,2023-07-24,2366.0,2387.0,89.175
40,2023-07-21,2358.0,2380.0,90.725
41,2023-07-20,2402.0,2420.0,90.75
42,2023-07-19,2350.0,2367.5,90.825
43,2023-07-18,2348.0,2368.0,80.375
44,2023-07-17,2354.0,2382.0,69.725
45,2023-07-14,2413.0,2438.0,70.775
46,2023-07-13,2462.0,2481.5,71.75
47,2023-07-12,2360.0,2375.0,72.15
48,2023-07-11,2361.0,2379.0,72.925
49,2023-07-10,2341.5,2356.0,73.5
50,2023-07-07,2337.5,2348.5,73.975
51,2023-07-06,2365.0,2372.0,74.775
52,2023-07-05,2357.0,2359.5,76.475
53,2023-07-04,2370.0,2380.0,78.075
54,2023-07-03,2361.5,2374.0,80.275
55,2023-06-30,2363.0,2375.0,80.825
56,2023-06-29,2326.0,2334.5,80.925
57,2023-06-28,2348.0,2356.0,77.825
58,2023-06-27,2362.0,2376.0,78.25
59,2023-06-26,2331.5,2346.0,78.6
60,2023-06-23,2362.5,2379.0,78.775
61,2023-06-22,2442.5,2456.5,78.825
62,2023-06-21,2338.0,2359.0,79.825
63,2023-06-20,2375.0,2399.0,80.025
64,2023-06-19,2431.5,2437.0,80.1
65,2023-06-16,2485.0,2487.0,80.975
66,2023-06-15,2461.0,2461.0,82.725
67,2023-06-14,2450.0,2443.5,83.1
68,2023-06-13,2382.0,2382.0,84.875
69,2023-06-12,2356.5,2363.5,85.5
70,2023-06-09,2397.0,2403.0,85.8
71,2023-06-08,2371.0,2371.0,86.525
72,2023-06-07,2382.0,2380.5,86.625
73,2023-06-06,2290.0,2298.0,87.275
74,2023-06-05,2271.0,2278.0,87.45
75,2023-06-02,2302.0,2323.0,87.45
76,2023-06-01,2271.0,2286.5,87.45
77,2023-05-31,2228.0,2250.0,87.5
78,2023-05-30,2323.5,2342.0,74.325
79,2023-05-26,2320.0,2337.0,74.55
80,2023-05-25,2224.0,2236.5,63.45
81,2023-05-24,2306.0,2320.0,45.4
82,2023-05-23,2362.5,2373.0,45.775
83,2023-05-22,2433.0,2442.0,46.275
84,2023-05-19,2491.0,2500.0,46.975
85,2023-05-18,2482.0,2491.0,47.525
86,2023-05-17,2521.5,2532.0,47.25
87,2023-05-16,2473.5,2491.0,48.45
88,2023-05-15,2558.0,2574.0,49.05
89,2023-05-12,2516.0,2538.0,49.05
90,2023-05-11,2575.0,2590.0,49.35
91,2023-05-10,2612.0,2628.5,50.4
92,2023-05-09,2658.0,2675.0,51.225
93,2023-05-05,2630.0,2636.0,52.0
94,2023-05-04,2611.0,2615.0,52.125
95,2023-05-03,2609.0,2613.5,52.525
96,2023-05-02,2620.0,2620.0,52.925
97,2023-04-28,2680.0,2680.0,52.975
98,2023-04-27,2610.0,2611.5,53.325
99,2023-04-26,2614.5,2614.0,53.35
100,2023-04-25,2618.0,2629.0,53.35
101,2023-04-24,2670.0,2680.0,53.5
102,2023-04-21,2739.0,2744.5,53.5
103,2023-04-20,2755.5,2761.0,53.5
104,2023-04-19,2767.0,2766.0,49.075
105,2023-04-18,2855.0,2845.0,44.15
106,2023-04-17,2846.0,2834.5,44.15
107,2023-04-14,2902.0,2882.0,44.2
108,2023-04-13,2830.0,2818.0,44.2
109,2023-04-12,2751.0,2740.5,44.675
110,2023-04-11,2784.0,2763.0,44.7
111,2023-04-06,2810.5,2795.0,44.9
112,2023-04-05,2848.0,2832.0,44.9
113,2023-04-04,2893.0,2873.5,45.05
114,2023-04-03,2937.0,2908.0,45.05
115,2023-03-31,2906.5,2887.0,45.075
116,2023-03-30,2980.0,2957.0,39.125
117,2023-03-29,3035.0,2991.0,39.325
118,2023-03-28,2937.0,2907.0,39.55
119,2023-03-27,2914.0,2881.0,39.65
120,2023-03-24,2900.0,2885.0,39.65
121,2023-03-23,2894.0,2867.0,39.7
122,2023-03-22,2888.0,2865.0,39.75
123,2023-03-21,2897.0,2869.0,39.85
124,2023-03-20,2925.0,2901.0,37.375
125,2023-03-17,2933.0,2905.0,37.725
126,2023-03-16,2864.0,2852.0,37.775
127,2023-03-15,2864.5,2847.0,37.775
128,2023-03-14,2954.0,2938.0,37.9
129,2023-03-13,2905.0,2884.0,38.15
130,2023-03-10,2941.0,2923.5,38.45
131,2023-03-09,2967.5,2954.0,38.75
132,2023-03-08,2990.0,2972.0,39.075
133,2023-03-07,3012.0,2992.5,39.125
134,2023-03-06,3030.0,3007.0,34.85
135,2023-03-03,3090.0,3068.0,35.15
136,2023-03-02,3075.0,3059.0,35.75
137,2023-03-01,3091.5,3065.5,33.225
138,2023-02-28,3042.5,2997.0,33.35
139,2023-02-27,3034.5,3006.0,33.35
140,2023-02-24,3021.0,2989.5,33.4
141,2023-02-23,3087.0,3060.0,30.65
142,2023-02-22,3106.5,3076.0,31.025
