date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-spot,146.074,121.628,1.4000000000000001
2023-09-26 00:00:00,ARIMA-spot,137.234,109.312,1.3
2023-09-26 00:00:00,PMARIMA-spot,235.058,203.399,2.4
2023-09-26 00:00:00,SARIMAX-spot,235.058,203.399,2.4
2023-09-26 00:00:00,ARIMAX-spot,136.555,109.363,1.3
2023-09-26 00:00:00,LR-model,263.738,210.822,2.5
2023-09-26 00:00:00,DT-model,153.671,128.279,1.5
2023-09-26 00:00:00,DT_simple-model,358.018,326.478,3.9
2023-09-26 00:00:00,RFR-model_no_stock,236.92,197.532,2.4
2023-09-26 00:00:00,RFR-model,236.06,205.214,2.5
2023-09-26 00:00:00,GBR-model_full,173.163,143.232,1.7000000000000002
2023-09-26 00:00:00,GBR-model_futures,253.929,217.586,2.6
2023-09-26 00:00:00,Stacking,517.075,453.597,5.4
2023-09-27 00:00:00,AR-baseline-spot,201.708,164.372,1.9
2023-09-27 00:00:00,ARIMA-spot,174.858,139.226,1.6
2023-09-27 00:00:00,PMARIMA-spot,655.667,584.109,7.000000000000001
2023-09-27 00:00:00,SARIMAX-spot,655.667,584.109,7.000000000000001
2023-09-27 00:00:00,ARIMAX-spot,178.436,141.861,1.7000000000000002
2023-09-27 00:00:00,LR-model,256.934,206.035,2.5
2023-09-27 00:00:00,DT-model,153.522,127.995,1.5
2023-09-27 00:00:00,DT_simple-model,364.162,331.967,4.0
2023-09-27 00:00:00,RFR-model_no_stock,242.856,202.327,2.4
2023-09-27 00:00:00,RFR-model,243.052,210.355,2.5
2023-09-27 00:00:00,GBR-model_full,310.055,275.944,3.3000000000000003
2023-09-27 00:00:00,GBR-model_futures,214.861,174.46,2.1
2023-09-27 00:00:00,Stacking,526.462,476.524,5.7
2023-09-28 00:00:00,AR-baseline-spot,281.865,248.965,3.0
2023-09-28 00:00:00,ARIMA-spot,252.117,216.251,2.6
2023-09-28 00:00:00,PMARIMA-spot,1212.865,1092.966,13.100000000000001
2023-09-28 00:00:00,SARIMAX-spot,1212.865,1092.966,13.100000000000001
2023-09-28 00:00:00,ARIMAX-spot,255.534,219.701,2.7
2023-09-28 00:00:00,LR-model,248.422,200.141,2.4
2023-09-28 00:00:00,DT-model,152.47,126.911,1.5
2023-09-28 00:00:00,DT_simple-model,371.597,339.333,4.1000000000000005
2023-09-28 00:00:00,RFR-model_no_stock,251.116,208.591,2.5
2023-09-28 00:00:00,RFR-model,240.85,206.516,2.5
2023-09-28 00:00:00,GBR-model_full,177.529,142.339,1.7000000000000002
2023-09-28 00:00:00,GBR-model_futures,166.269,127.848,1.5
2023-09-28 00:00:00,Stacking,493.881,431.938,5.2
2023-09-29 00:00:00,AR-baseline-spot,248.556,212.727,2.5
2023-09-29 00:00:00,ARIMA-spot,209.754,173.48,2.1
2023-09-29 00:00:00,PMARIMA-spot,1044.678,945.985,11.3
2023-09-29 00:00:00,SARIMAX-spot,1044.678,945.985,11.3
2023-09-29 00:00:00,ARIMAX-spot,213.799,177.599,2.1999999999999997
2023-09-29 00:00:00,LR-model,241.32,194.622,2.3
2023-09-29 00:00:00,DT-model,151.145,125.612,1.5
2023-09-29 00:00:00,DT_simple-model,376.926,345.082,4.2
2023-09-29 00:00:00,RFR-model_no_stock,259.344,215.995,2.6
2023-09-29 00:00:00,RFR-model,242.085,206.866,2.5
2023-09-29 00:00:00,GBR-model_full,184.901,152.379,1.7999999999999998
2023-09-29 00:00:00,GBR-model_futures,176.639,138.085,1.7000000000000002
2023-09-29 00:00:00,Stacking,386.429,319.662,3.8
