date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-spot,38.415,32.112,1.5
2023-09-26 00:00:00,ARIMA-spot,38.023,30.698,1.4000000000000001
2023-09-26 00:00:00,PMARIMA-spot,100.894,87.51,4.1000000000000005
2023-09-26 00:00:00,SARIMAX-spot,100.894,87.51,4.1000000000000005
2023-09-26 00:00:00,ARIMAX-spot,38.069,30.554,1.4000000000000001
2023-09-26 00:00:00,LR-model,148.705,135.679,6.4
2023-09-26 00:00:00,DT-model,251.193,248.41,11.600000000000001
2023-09-26 00:00:00,DT_simple-model,251.193,248.41,11.600000000000001
2023-09-26 00:00:00,RFR-model_no_stock,221.13,217.877,10.2
2023-09-26 00:00:00,RFR-model,221.047,217.793,10.2
2023-09-26 00:00:00,GBR-model_full,117.175,103.99,4.9
2023-09-26 00:00:00,GBR-model_futures,117.764,102.495,4.8
2023-09-26 00:00:00,Stacking,210.127,190.611,8.9
2023-09-26 00:00:00,ARIMA-spot,40.249,34.197,1.6
2023-09-27 00:00:00,AR-baseline-spot,40.381,34.518,1.6
2023-09-27 00:00:00,ARIMA-spot,43.472,37.27,1.7000000000000002
2023-09-27 00:00:00,PMARIMA-spot,114.21,99.687,4.6
2023-09-27 00:00:00,SARIMAX-spot,114.21,99.687,4.6
2023-09-27 00:00:00,ARIMAX-spot,37.561,31.458,1.5
2023-09-27 00:00:00,LR-model,146.824,133.137,6.2
2023-09-27 00:00:00,DT-model,249.872,247.021,11.5
2023-09-27 00:00:00,DT_simple-model,249.872,247.021,11.5
2023-09-27 00:00:00,RFR-model_no_stock,218.551,215.2,10.100000000000001
2023-09-27 00:00:00,RFR-model,218.471,215.118,10.100000000000001
2023-09-27 00:00:00,GBR-model_full,125.57,111.887,5.2
2023-09-27 00:00:00,GBR-model_futures,95.123,78.833,3.6999999999999997
2023-09-27 00:00:00,Stacking,181.28,159.193,7.3999999999999995
2023-09-28 00:00:00,AR-baseline-spot,61.018,51.42,2.4
2023-09-28 00:00:00,ARIMA-spot,64.478,54.604,2.5
2023-09-28 00:00:00,PMARIMA-spot,381.281,334.708,15.5
2023-09-28 00:00:00,SARIMAX-spot,381.281,334.708,15.5
2023-09-28 00:00:00,ARIMAX-spot,58.402,48.905,2.3
2023-09-28 00:00:00,LR-model,144.458,130.562,6.1
2023-09-28 00:00:00,DT-model,247.999,245.114,11.4
2023-09-28 00:00:00,DT_simple-model,247.999,245.114,11.4
2023-09-28 00:00:00,RFR-model_no_stock,215.209,211.765,9.9
2023-09-28 00:00:00,RFR-model,215.129,211.685,9.9
2023-09-28 00:00:00,GBR-model_full,111.114,98.501,4.6
2023-09-28 00:00:00,GBR-model_futures,106.099,92.384,4.3
2023-09-28 00:00:00,Stacking,184.534,164.882,7.7
2023-09-29 00:00:00,AR-baseline-spot,69.414,59.149,2.7
2023-09-29 00:00:00,ARIMA-spot,72.712,62.176,2.9000000000000004
2023-09-29 00:00:00,PMARIMA-spot,429.552,379.703,17.599999999999998
2023-09-29 00:00:00,SARIMAX-spot,429.552,379.703,17.599999999999998
2023-09-29 00:00:00,ARIMAX-spot,67.154,56.94,2.7
2023-09-29 00:00:00,LR-model,142.008,128.46,6.0
2023-09-29 00:00:00,DT-model,245.693,242.685,11.3
2023-09-29 00:00:00,DT_simple-model,245.693,242.685,11.3
2023-09-29 00:00:00,RFR-model_no_stock,211.764,208.117,9.700000000000001
2023-09-29 00:00:00,RFR-model,211.687,208.04,9.700000000000001
2023-09-29 00:00:00,GBR-model_full,100.939,87.127,4.1000000000000005
2023-09-29 00:00:00,GBR-model_futures,97.072,83.82,3.9
2023-09-29 00:00:00,Stacking,198.258,175.547,8.200000000000001
