date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-spot,79.696,65.453,3.0
2023-09-26 00:00:00,ARIMA-spot,80.155,65.732,3.0
2023-09-26 00:00:00,PMARIMA-spot,237.453,228.493,10.5
2023-09-26 00:00:00,SARIMAX-spot,237.453,228.493,10.5
2023-09-26 00:00:00,ARIMAX-spot,72.893,61.817,2.8000000000000003
2023-09-26 00:00:00,LR-model,116.683,87.226,3.9
2023-09-26 00:00:00,DT-model,123.135,94.376,4.3
2023-09-26 00:00:00,DT_simple-model,123.135,94.376,4.3
2023-09-26 00:00:00,RFR-model_no_stock,138.597,105.809,4.8
2023-09-26 00:00:00,RFR-model,138.203,105.227,4.7
2023-09-26 00:00:00,GBR-model_full,93.075,70.236,3.2
2023-09-26 00:00:00,GBR-model_futures,77.851,67.445,3.1
2023-09-26 00:00:00,Stacking,85.792,64.082,2.9000000000000004
2023-09-27 00:00:00,AR-baseline-spot,86.315,65.838,3.0
2023-09-27 00:00:00,ARIMA-spot,89.385,68.136,3.1
2023-09-27 00:00:00,PMARIMA-spot,170.389,133.933,6.0
2023-09-27 00:00:00,SARIMAX-spot,170.389,133.933,6.0
2023-09-27 00:00:00,ARIMAX-spot,83.564,63.71,3.0
2023-09-27 00:00:00,LR-model,117.651,88.68,4.0
2023-09-27 00:00:00,DT-model,124.791,96.39,4.3999999999999995
2023-09-27 00:00:00,DT_simple-model,124.791,96.39,4.3999999999999995
2023-09-27 00:00:00,RFR-model_no_stock,140.25,107.919,4.9
2023-09-27 00:00:00,RFR-model,139.861,107.352,4.8
2023-09-27 00:00:00,GBR-model_full,93.585,71.194,3.2
2023-09-27 00:00:00,GBR-model_futures,83.339,67.005,3.0
2023-09-27 00:00:00,Stacking,87.097,65.391,2.9000000000000004
2023-09-28 00:00:00,AR-baseline-spot,97.161,74.787,3.4000000000000004
2023-09-28 00:00:00,ARIMA-spot,102.962,79.728,3.5999999999999996
2023-09-28 00:00:00,PMARIMA-spot,234.57,189.063,8.5
2023-09-28 00:00:00,SARIMAX-spot,234.57,189.063,8.5
2023-09-28 00:00:00,ARIMAX-spot,101.236,78.409,3.6999999999999997
2023-09-28 00:00:00,LR-model,118.455,90.094,4.1000000000000005
2023-09-28 00:00:00,DT-model,125.796,97.675,4.3999999999999995
2023-09-28 00:00:00,DT_simple-model,125.796,97.675,4.3999999999999995
2023-09-28 00:00:00,RFR-model_no_stock,141.709,110.002,5.0
2023-09-28 00:00:00,RFR-model,141.324,109.44,4.9
2023-09-28 00:00:00,GBR-model_full,97.623,73.275,3.3000000000000003
2023-09-28 00:00:00,GBR-model_futures,92.571,69.853,3.1
2023-09-28 00:00:00,Stacking,83.653,63.515,2.9000000000000004
2023-09-29 00:00:00,AR-baseline-spot,96.838,74.954,3.4000000000000004
2023-09-29 00:00:00,ARIMA-spot,101.694,78.969,3.5999999999999996
2023-09-29 00:00:00,PMARIMA-spot,208.753,167.959,7.6
2023-09-29 00:00:00,SARIMAX-spot,208.753,167.959,7.6
2023-09-29 00:00:00,ARIMAX-spot,97.229,75.188,3.5999999999999996
2023-09-29 00:00:00,LR-model,119.1,91.399,4.1000000000000005
2023-09-29 00:00:00,DT-model,126.742,98.943,4.5
2023-09-29 00:00:00,DT_simple-model,126.742,98.943,4.5
2023-09-29 00:00:00,RFR-model_no_stock,142.571,111.533,5.0
2023-09-29 00:00:00,RFR-model,142.193,111.001,5.0
2023-09-29 00:00:00,GBR-model_full,106.437,81.169,3.6999999999999997
2023-09-29 00:00:00,GBR-model_futures,105.227,80.817,3.5999999999999996
2023-09-29 00:00:00,Stacking,84.738,64.444,2.9000000000000004
