date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-spot,695.11,538.61,2.6
2023-09-26 00:00:00,ARIMA-spot,713.409,550.238,2.6
2023-09-26 00:00:00,PMARIMA-spot,3731.775,3307.652,16.3
2023-09-26 00:00:00,SARIMAX-spot,3731.775,3307.652,16.3
2023-09-26 00:00:00,ARIMAX-spot,691.779,542.832,2.7
2023-09-26 00:00:00,LR-model,2613.665,2533.536,12.4
2023-09-26 00:00:00,DT-model,3682.005,3618.68,17.9
2023-09-26 00:00:00,DT_simple-model,3682.005,3618.68,17.9
2023-09-26 00:00:00,RFR-model_no_stock,3716.638,3653.913,18.0
2023-09-26 00:00:00,RFR-model,3716.638,3653.913,18.0
2023-09-26 00:00:00,GBR-model_full,949.4,834.775,4.1000000000000005
2023-09-26 00:00:00,GBR-model_futures,1331.871,1156.049,5.7
2023-09-26 00:00:00,Stacking,1626.636,1483.374,7.3
2023-09-27 00:00:00,AR-baseline-spot,974.76,810.438,3.9
2023-09-27 00:00:00,ARIMA-spot,1017.529,858.318,4.1000000000000005
2023-09-27 00:00:00,PMARIMA-spot,7189.661,6412.936,31.7
2023-09-27 00:00:00,SARIMAX-spot,7189.661,6412.936,31.7
2023-09-27 00:00:00,ARIMAX-spot,987.0,819.445,4.2
2023-09-27 00:00:00,LR-model,2600.87,2522.549,12.4
2023-09-27 00:00:00,DT-model,3688.213,3620.838,17.9
2023-09-27 00:00:00,DT_simple-model,3688.213,3620.838,17.9
2023-09-27 00:00:00,RFR-model_no_stock,3721.142,3654.375,18.0
2023-09-27 00:00:00,RFR-model,3721.142,3654.375,18.0
2023-09-27 00:00:00,GBR-model_full,831.92,668.467,3.3000000000000003
2023-09-27 00:00:00,GBR-model_futures,1000.69,842.126,4.2
2023-09-27 00:00:00,Stacking,1497.85,1365.955,6.7
2023-09-28 00:00:00,AR-baseline-spot,1053.786,900.214,4.3
2023-09-28 00:00:00,ARIMA-spot,1098.847,949.182,4.6
2023-09-28 00:00:00,PMARIMA-spot,8282.44,7436.949,36.8
2023-09-28 00:00:00,SARIMAX-spot,8282.44,7436.949,36.8
2023-09-28 00:00:00,ARIMAX-spot,1008.537,847.805,4.3
2023-09-28 00:00:00,LR-model,2588.373,2512.244,12.4
2023-09-28 00:00:00,DT-model,3692.342,3621.266,17.9
2023-09-28 00:00:00,DT_simple-model,3692.342,3621.266,17.9
2023-09-28 00:00:00,RFR-model_no_stock,3726.901,3656.496,18.099999999999998
2023-09-28 00:00:00,RFR-model,1282.589,1061.844,5.3
2023-09-28 00:00:00,GBR-model_full,1185.026,886.402,4.3
2023-09-28 00:00:00,GBR-model_futures,890.669,690.415,3.4000000000000004
2023-09-28 00:00:00,Stacking,1217.241,1074.653,5.3
2023-09-29 00:00:00,AR-baseline-spot,814.267,638.847,3.1
2023-09-29 00:00:00,ARIMA-spot,836.797,667.092,3.2
2023-09-29 00:00:00,PMARIMA-spot,6438.022,5806.639,28.799999999999997
2023-09-29 00:00:00,SARIMAX-spot,6438.022,5806.639,28.799999999999997
2023-09-29 00:00:00,ARIMAX-spot,744.864,584.449,2.9000000000000004
2023-09-29 00:00:00,LR-model,2576.554,2501.437,12.3
2023-09-29 00:00:00,DT-model,3702.905,3627.519,18.0
2023-09-29 00:00:00,DT_simple-model,3702.905,3627.519,18.0
2023-09-29 00:00:00,RFR-model_no_stock,3735.831,3661.124,18.099999999999998
2023-09-29 00:00:00,RFR-model,1290.946,1065.688,5.3
2023-09-29 00:00:00,GBR-model_full,854.655,664.237,3.2
2023-09-29 00:00:00,GBR-model_futures,869.225,679.45,3.3000000000000003
2023-09-29 00:00:00,Stacking,1398.802,1293.151,6.4
