date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-stock,35.486,26.027,24.9
2023-09-26 00:00:00,ARIMA-stock,36.531,26.561,24.9
2023-09-26 00:00:00,PMARIMA-stock,86.839,65.152,58.099999999999994
2023-09-26 00:00:00,SARIMAX-stock,86.839,65.152,58.099999999999994
2023-09-26 00:00:00,LR-model,37.732,32.901,42.1
2023-09-26 00:00:00,DT-model,34.857,25.827,25.2
2023-09-26 00:00:00,RFR-model,33.386,25.532,26.200000000000003
2023-09-26 00:00:00,GBR-model_full,37.005,27.813,27.0
2023-09-26 00:00:00,Stacking,35.146,29.662,35.6
2023-09-27 00:00:00,AR-baseline-stock,37.659,27.447,25.4
2023-09-27 00:00:00,ARIMA-stock,38.325,27.855,25.5
2023-09-27 00:00:00,PMARIMA-stock,85.7,64.436,56.8
2023-09-27 00:00:00,SARIMAX-stock,85.7,64.436,56.8
2023-09-27 00:00:00,LR-model,38.12,33.18,41.9
2023-09-27 00:00:00,DT-model,36.289,26.866,25.7
2023-09-27 00:00:00,RFR-model,34.58,26.313,26.5
2023-09-27 00:00:00,GBR-model_full,37.933,28.205,26.700000000000003
2023-09-27 00:00:00,Stacking,35.835,29.909,34.9
2023-09-28 00:00:00,AR-baseline-stock,38.858,28.456,26.0
2023-09-28 00:00:00,ARIMA-stock,38.989,28.582,26.1
2023-09-28 00:00:00,PMARIMA-stock,64.655,48.029,41.8
2023-09-28 00:00:00,SARIMAX-stock,64.655,48.029,41.8
2023-09-28 00:00:00,LR-model,38.554,33.493,41.8
2023-09-28 00:00:00,DT-model,37.663,27.912,26.200000000000003
2023-09-28 00:00:00,RFR-model,35.868,27.253,26.900000000000002
2023-09-28 00:00:00,GBR-model_full,40.096,29.913,27.700000000000003
2023-09-28 00:00:00,Stacking,39.855,34.868,44.1
2023-09-29 00:00:00,AR-baseline-stock,41.291,30.157,26.700000000000003
2023-09-29 00:00:00,ARIMA-stock,42.233,30.733,26.900000000000002
2023-09-29 00:00:00,PMARIMA-stock,109.801,85.517,75.2
2023-09-29 00:00:00,SARIMAX-stock,109.801,85.517,75.2
2023-09-29 00:00:00,LR-model,38.952,33.776,41.6
2023-09-29 00:00:00,DT-model,39.093,28.992,26.700000000000003
2023-09-29 00:00:00,RFR-model,37.093,28.121,27.200000000000003
2023-09-29 00:00:00,GBR-model_full,39.427,29.163,26.8
2023-09-29 00:00:00,Stacking,38.127,32.901,40.0
