date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-stock,13.539,11.278,2.1999999999999997
2023-09-26 00:00:00,ARIMA-stock,30.948,26.628,5.3
2023-09-26 00:00:00,PMARIMA-stock,113.181,97.02,19.3
2023-09-26 00:00:00,SARIMAX-stock,113.181,97.02,19.3
2023-09-26 00:00:00,LR-model,301.046,300.33,59.0
2023-09-26 00:00:00,DT-model,21.388,18.489,3.6999999999999997
2023-09-26 00:00:00,RFR-model,31.982,28.307,5.6000000000000005
2023-09-26 00:00:00,GBR-model_full,36.087,32.947,6.6000000000000005
2023-09-26 00:00:00,Stacking,578.337,554.765,108.2
2023-09-26 00:00:00,ARIMA-stock,37.04,32.219,6.4
2023-09-27 00:00:00,AR-baseline-stock,14.011,11.626,2.3
2023-09-27 00:00:00,ARIMA-stock,33.851,29.343,5.8999999999999995
2023-09-27 00:00:00,PMARIMA-stock,111.137,95.601,19.0
2023-09-27 00:00:00,SARIMAX-stock,111.137,95.601,19.0
2023-09-27 00:00:00,LR-model,301.519,300.793,59.099999999999994
2023-09-27 00:00:00,DT-model,21.591,18.696,3.6999999999999997
2023-09-27 00:00:00,RFR-model,31.435,27.745,5.5
2023-09-27 00:00:00,GBR-model_full,28.019,24.582,4.9
2023-09-27 00:00:00,Stacking,459.308,439.524,85.8
2023-09-28 00:00:00,AR-baseline-stock,15.27,12.417,2.4
2023-09-28 00:00:00,ARIMA-stock,31.793,27.597,5.5
2023-09-28 00:00:00,PMARIMA-stock,100.19,86.069,17.1
2023-09-28 00:00:00,SARIMAX-stock,100.19,86.069,17.1
2023-09-28 00:00:00,LR-model,302.028,301.294,59.3
2023-09-28 00:00:00,DT-model,21.816,18.945,3.8
2023-09-28 00:00:00,RFR-model,30.911,27.242,5.4
2023-09-28 00:00:00,GBR-model_full,32.978,28.967,5.800000000000001
2023-09-28 00:00:00,Stacking,467.088,442.527,86.4
2023-09-29 00:00:00,AR-baseline-stock,13.893,11.369,2.1999999999999997
2023-09-29 00:00:00,ARIMA-stock,41.894,37.808,7.6
2023-09-29 00:00:00,PMARIMA-stock,13.819,11.574,2.3
2023-09-29 00:00:00,SARIMAX-stock,13.819,11.574,2.3
2023-09-29 00:00:00,LR-model,302.387,301.636,59.4
2023-09-29 00:00:00,DT-model,22.032,19.119,3.8
2023-09-29 00:00:00,RFR-model,30.67,27.008,5.3
2023-09-29 00:00:00,GBR-model_full,28.919,25.161,5.0
2023-09-29 00:00:00,Stacking,599.988,572.965,112.1
