date,model_name,rmse,mae,mape

2023-09-26 00:00:00,AR-baseline-stock,14.597,12.719,22.3
2023-09-26 00:00:00,ARIMA-stock,14.541,12.668,22.2
2023-09-26 00:00:00,PMARIMA-stock,10.178,8.538,14.899999999999999
2023-09-26 00:00:00,SARIMAX-stock,10.178,8.538,14.899999999999999
2023-09-26 00:00:00,LR-model,10.441,8.679,16.2
2023-09-26 00:00:00,DT-model,20.597,19.101,34.2
2023-09-26 00:00:00,RFR-model,20.298,18.778,33.6
2023-09-26 00:00:00,GBR-model_full,16.97,15.056,26.5
2023-09-26 00:00:00,Stacking,11.464,10.069,20.1
2023-09-27 00:00:00,AR-baseline-stock,14.932,12.974,22.6
2023-09-27 00:00:00,ARIMA-stock,14.791,12.823,22.3
2023-09-27 00:00:00,PMARIMA-stock,11.079,9.369,16.2
2023-09-27 00:00:00,SARIMAX-stock,11.079,9.369,16.2
2023-09-27 00:00:00,LR-model,10.705,8.8,16.2
2023-09-27 00:00:00,DT-model,20.991,19.433,34.599999999999994
2023-09-27 00:00:00,RFR-model,20.644,19.057,33.800000000000004
2023-09-27 00:00:00,GBR-model_full,17.301,15.311,26.8
2023-09-27 00:00:00,Stacking,17.031,15.128,26.6
2023-09-28 00:00:00,AR-baseline-stock,14.399,12.228,20.9
2023-09-28 00:00:00,ARIMA-stock,14.315,12.139,20.8
2023-09-28 00:00:00,PMARIMA-stock,6.035,4.503,7.6
2023-09-28 00:00:00,SARIMAX-stock,6.035,4.503,7.6
2023-09-28 00:00:00,LR-model,11.126,8.996,16.2
2023-09-28 00:00:00,DT-model,21.358,19.74,34.8
2023-09-28 00:00:00,RFR-model,20.952,19.299,34.0
2023-09-28 00:00:00,GBR-model_full,17.89,15.806,27.400000000000002
2023-09-28 00:00:00,Stacking,8.809,6.446,11.5
2023-09-29 00:00:00,AR-baseline-stock,14.791,12.57,21.4
2023-09-29 00:00:00,ARIMA-stock,14.751,12.53,21.3
2023-09-29 00:00:00,PMARIMA-stock,6.783,5.074,8.5
2023-09-29 00:00:00,SARIMAX-stock,6.783,5.074,8.5
2023-09-29 00:00:00,LR-model,11.497,9.18,16.3
2023-09-29 00:00:00,DT-model,21.717,20.048,35.099999999999994
2023-09-29 00:00:00,RFR-model,21.293,19.587,34.2
2023-09-29 00:00:00,GBR-model_full,17.75,15.655,26.900000000000002
2023-09-29 00:00:00,Stacking,15.176,12.901,22.2
