,date,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
0,2023-09-29,2307.5,2342.0,486.05
1,2023-09-28,2232.0,2265.0,490.275
2,2023-09-27,2196.0,2226.0,493.3
3,2023-09-26,2195.0,2238.5,494.3
4,2023-09-25,2182.5,2225.0,496.55
5,2023-09-22,2199.5,2240.0,482.3
6,2023-09-21,2166.5,2212.0,483.55
7,2023-09-20,2202.0,2247.0,486.15
8,2023-09-19,2174.5,2215.5,489.825
9,2023-09-18,2165.0,2206.0,492.575
10,2023-09-15,2155.5,2197.0,495.4
11,2023-09-14,2192.5,2235.0,498.525
12,2023-09-13,2156.5,2197.0,491.3
13,2023-09-12,2153.0,2199.0,493.875
14,2023-09-11,2154.0,2195.0,495.875
15,2023-09-08,2132.5,2181.0,499.475
16,2023-09-07,2135.0,2180.0,501.475
17,2023-09-06,2158.0,2206.0,502.4
18,2023-09-05,2136.5,2188.5,506.875
19,2023-09-04,2149.5,2197.0,506.4
20,2023-09-01,2184.0,2234.0,508.4
21,2023-08-31,2165.5,2204.0,515.75
22,2023-08-30,2140.5,2179.5,517.375
23,2023-08-29,2116.5,2160.0,524.025
24,2023-08-25,2124.0,2160.5,526.175
25,2023-08-24,2119.5,2163.0,527.55
26,2023-08-23,2129.0,2180.0,528.25
27,2023-08-22,2121.5,2174.0,529.775
28,2023-08-21,2068.5,2123.0,491.05
29,2023-08-18,2096.0,2139.0,483.55
30,2023-08-17,2131.0,2171.5,487.1
31,2023-08-16,2089.0,2144.0,488.6
32,2023-08-15,2085.5,2140.0,490.8
33,2023-08-14,2096.0,2146.5,491.75
34,2023-08-11,2127.0,2178.0,493.825
35,2023-08-10,2161.5,2213.0,496.15
36,2023-08-09,2153.0,2205.0,495.0
37,2023-08-08,2143.0,2195.0,498.9
38,2023-08-07,2178.0,2230.0,501.325
39,2023-08-04,2166.0,2211.0,503.325
40,2023-08-03,2147.0,2195.0,505.1
41,2023-08-02,2176.5,2227.0,502.775
42,2023-08-01,2217.0,2262.0,505.55
43,2023-07-31,2195.5,2242.0,507.4
44,2023-07-28,2161.5,2203.0,509.0
45,2023-07-27,2176.0,2220.0,511.0
46,2023-07-26,2170.5,2215.0,514.025
47,2023-07-25,2184.0,2226.5,516.975
48,2023-07-24,2155.0,2193.0,512.5
49,2023-07-21,2153.5,2197.5,513.4
50,2023-07-20,2172.0,2220.0,513.1
51,2023-07-19,2142.0,2186.5,514.3
52,2023-07-18,2169.5,2216.0,517.4
53,2023-07-17,2195.0,2245.0,520.8
54,2023-07-14,2225.0,2269.0,528.475
55,2023-07-13,2236.0,2279.0,532.1
56,2023-07-12,2147.5,2186.0,528.1
57,2023-07-11,2129.0,2179.5,531.725
58,2023-07-10,2096.0,2147.0,534.075
59,2023-07-07,2086.0,2131.0,535.075
60,2023-07-06,2103.5,2150.0,537.875
61,2023-07-05,2093.0,2147.0,539.7
62,2023-07-04,2102.5,2156.5,544.4
63,2023-07-03,2107.0,2147.0,542.05
64,2023-06-30,2096.5,2141.5,543.15
65,2023-06-29,2105.5,2152.0,531.225
66,2023-06-28,2141.5,2183.5,534.35
67,2023-06-27,2151.5,2191.5,536.425
68,2023-06-26,2116.0,2155.0,537.775
69,2023-06-23,2132.5,2175.0,540.975
70,2023-06-22,2190.5,2234.0,546.375
71,2023-06-21,2157.0,2205.0,550.925
72,2023-06-20,2184.5,2229.0,555.675
73,2023-06-19,2195.0,2245.0,559.925
74,2023-06-16,2224.5,2270.0,564.85
75,2023-06-15,2197.0,2237.0,569.075
76,2023-06-14,2200.0,2243.0,572.775
77,2023-06-13,2193.5,2236.0,575.325
78,2023-06-12,2188.0,2234.0,577.975
79,2023-06-09,2221.0,2266.0,578.3
80,2023-06-08,2187.5,2227.0,582.125
81,2023-06-07,2169.0,2215.0,589.45
82,2023-06-06,2172.0,2219.0,589.475
83,2023-06-05,2216.0,2255.0,585.05
84,2023-06-02,2263.5,2289.5,579.025
85,2023-06-01,2281.0,2253.0,578.825
86,2023-05-31,2255.0,2221.5,579.525
87,2023-05-30,2230.0,2225.0,586.525
88,2023-05-26,2242.0,2238.0,579.775
89,2023-05-25,2236.0,2226.0,575.475
90,2023-05-24,2234.0,2229.0,575.675
91,2023-05-23,2202.0,2227.0,575.875
92,2023-05-22,2262.0,2262.0,555.0
