index,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2008-04-01,8325.5,6706.0,111.35
2008-04-02,8464.0,6818.0,112.075
2008-04-03,8591.0,7035.0,112.575
2008-04-04,8645.0,7006.8333333333,115.15
2008-04-05,8676.6666666667,6978.6666666667,115.4833333333
2008-04-06,8708.3333333333,6950.5,115.8166666667
2008-04-07,8740.0,7140.5,116.15
2008-04-08,8682.0,7370.5,115.05
2008-04-09,8650.0,7135.0,115.575
2008-04-10,8884.5,7220.0,116.1
2008-04-11,8810.0,7276.8333333333,115.15
2008-04-12,8766.5,7333.6666666667,115.5166666667
2008-04-13,8723.0,7390.5,115.8833333333
2008-04-14,8679.5,7251.0,116.25
2008-04-15,8720.0,7022.0,117.15
2008-04-16,8736.5,7125.5,116.15
2008-04-17,8861.5,7055.0,116.525
2008-04-18,8630.0,7001.6666666667,114.2
2008-04-19,8633.8333333333,6948.3333333333,114.0416666667
2008-04-20,8637.6666666667,6895.0,113.8833333333
2008-04-21,8641.5,6850.0,113.725
2008-04-22,8770.0,6980.0,113.725
2008-04-23,8796.0,7070.0,112.475
2008-04-24,8700.5,7126.0,112.2
2008-04-25,8600.0,7054.0,110.775
2008-04-26,8648.6666666667,6982.0,110.625
2008-04-27,8697.3333333333,6910.0,110.475
2008-04-28,8746.0,7179.0,110.325
2008-04-29,8740.0,7190.0,109.65
2008-04-30,8655.0,7170.0,110.525
2008-05-01,8686.0,7339.0,110.075
2008-05-02,8390.0,7324.3333333333,109.625
2008-05-03,8448.0,7309.6666666667,109.63125
2008-05-04,8506.0,7295.0,109.6375
2008-05-05,8564.0,7225.0,109.64375
2008-05-06,8622.0,7190.0,109.65
2008-05-07,8641.0,7360.0,109.025
2008-05-08,8460.0,7560.0,110.125
2008-05-09,8400.0,7636.6666666667,121.275
2008-05-10,8358.6666666667,7713.3333333333,121.4
2008-05-11,8317.3333333333,7790.0,121.525
2008-05-12,8276.0,7800.0,121.65
2008-05-13,8410.0,7656.0,121.775
2008-05-14,8180.0,7766.5,121.425
2008-05-15,8360.0,7781.0,120.85
2008-05-16,8470.0,7827.3333333333,121.225
2008-05-17,8493.3333333333,7873.6666666667,121.725
2008-05-18,8516.6666666667,7920.0,122.225
2008-05-19,8540.0,8040.0,122.725
2008-05-20,8360.0,8050.0,122.65
2008-05-21,8395.0,8241.0,124.95
2008-05-22,8420.0,8283.0,125.2
2008-05-23,8278.0,8262.1666666667,125.375
2008-05-24,8302.5,8241.3333333333,125.13125
2008-05-25,8327.0,8220.5,124.8875
2008-05-26,8351.5,8225.0,124.64375
2008-05-27,8376.0,8430.0,124.4
2008-05-28,8176.0,8440.0,125.8
2008-05-29,8110.0,8460.0,126.4
2008-05-30,8105.0,8471.6666666667,124.95
2008-05-31,8063.3333333333,8483.3333333333,124.6166666667
2008-06-01,8021.6666666667,8495.0,124.2833333333
2008-06-02,7980.0,8581.0,123.95
2008-06-03,8060.0,8320.5,122.9
2008-06-04,8006.0,8810.0,122.25
2008-06-05,7921.0,8560.0,123.5
2008-06-06,8106.0,8476.8333333333,122.55
2008-06-07,8101.5,8393.6666666667,122.0833333333
2008-06-08,8097.0,8310.5,121.6166666667
2008-06-09,8092.5,8500.0,121.15
2008-06-10,8050.0,8280.0,120.55
2008-06-11,7989.0,8445.0,121.275
2008-06-12,7955.0,8490.0,120.625
2008-06-13,8025.0,8373.3333333333,121.175
2008-06-14,8101.6666666667,8256.6666666667,121.4666666667
2008-06-15,8178.3333333333,8140.0,121.7583333333
2008-06-16,8255.0,8161.0,122.05
2008-06-17,8181.0,8112.0,123.55
2008-06-18,8296.0,7665.0,123.9
2008-06-19,8385.5,7752.0,124.225
2008-06-20,8590.0,7839.0,124.0
2008-06-21,8573.5,7926.0,123.7083333333
2008-06-22,8557.0,8013.0,123.4166666667
2008-06-23,8540.5,8100.0,123.125
2008-06-24,8491.5,8150.0,123.15
2008-06-25,8542.0,8350.0,122.625
2008-06-26,8551.0,8456.0,123.05
2008-06-27,8680.0,8440.6666666667,122.9
2008-06-28,8711.8333333333,8425.3333333333,122.8
2008-06-29,8743.6666666667,8410.0,122.7
2008-06-30,8775.5,8197.0,122.6
2008-07-01,8711.0,8345.0,122.35
2008-07-02,8750.5,8441.0,122.475
2008-07-03,8985.0,8510.5,122.5
2008-07-04,8661.0,8554.0,122.575
2008-07-05,8629.0,8597.5,122.4083333333
2008-07-06,8597.0,8641.0,122.2416666667
