index,LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
2008-04-01,26250.0,26725.0,47.1222352941
2008-04-02,26214.2857142857,28400.0,47.1206218487
2008-04-03,26178.5714285714,29825.0,47.1190084034
2008-04-04,26142.8571428571,29285.0,47.117394958
2008-04-05,26107.1428571429,28745.0,47.1157815126
2008-04-06,26071.4285714286,28205.0,47.1141680672
2008-04-07,26035.7142857143,29135.0,47.1125546218
2008-04-08,26000.0,29200.0,47.1109411765
2008-04-09,25964.2857142857,28500.0,47.1093277311
2008-04-10,25928.5714285714,28050.0,47.1077142857
2008-04-11,25892.8571428571,28368.3333333333,47.1061008403
2008-04-12,25857.1428571429,28686.6666666667,47.104487395
2008-04-13,25821.4285714286,29005.0,47.1028739496
2008-04-14,25785.7142857143,28710.0,47.1012605042
2008-04-15,25750.0,28200.0,47.0996470588
2008-04-16,25714.2857142857,28005.0,47.0980336134
2008-04-17,25678.5714285714,27860.0,47.0964201681
2008-04-18,25642.8571428571,27806.6666666667,47.0948067227
2008-04-19,25607.1428571429,27753.3333333333,47.0931932773
2008-04-20,25571.4285714286,27700.0,47.0915798319
2008-04-21,25535.7142857143,26850.0,47.0899663866
2008-04-22,25500.0,27050.0,47.0883529412
2008-04-23,25464.2857142857,27200.0,47.0867394958
2008-04-24,25428.5714285714,27400.0,47.0851260504
2008-04-25,25392.8571428571,27175.0,47.083512605
2008-04-26,25357.1428571429,26950.0,47.0818991597
2008-04-27,25321.4285714286,26725.0,47.0802857143
2008-04-28,25285.7142857143,27600.0,47.0786722689
2008-04-29,25250.0,27705.0,47.0770588235
2008-04-30,25214.2857142857,27900.0,47.0754453782
2008-05-01,25178.5714285714,28050.0,47.0738319328
2008-05-02,25142.8571428571,27925.0,47.0722184874
2008-05-03,25107.1428571429,27800.0,47.070605042
2008-05-04,25071.4285714286,27675.0,47.0689915966
2008-05-05,25035.7142857143,26805.0,47.0673781513
2008-05-06,25000.0,26705.0,47.0657647059
2008-05-07,24964.2857142857,26800.0,47.0641512605
2008-05-08,24928.5714285714,27605.0,47.0625378151
2008-05-09,24892.8571428571,27806.6666666667,47.0609243697
2008-05-10,24857.1428571429,28008.3333333333,47.0593109244
2008-05-11,24821.4285714286,28210.0,47.057697479
2008-05-12,24785.7142857143,28050.0,47.0560840336
2008-05-13,24750.0,27850.0,47.0544705882
2008-05-14,24714.2857142857,27500.0,47.0528571429
2008-05-15,24678.5714285714,27825.0,47.0512436975
2008-05-16,24642.8571428571,27791.6666666667,47.0496302521
2008-05-17,24607.1428571429,27758.3333333333,47.0480168067
2008-05-18,24571.4285714286,27725.0,47.0464033613
2008-05-19,24535.7142857143,27910.0,47.044789916
2008-05-20,24500.0,27875.0420168067,47.0431764706
2008-05-21,24464.2857142857,27840.0840336134,47.0415630252
2008-05-22,24428.5714285714,27805.1260504202,47.0399495798
2008-05-23,24392.8571428571,27770.1680672269,47.0383361345
2008-05-24,24357.1428571429,27735.2100840336,47.0367226891
2008-05-25,24321.4285714286,27700.2521008403,47.0351092437
2008-05-26,24285.7142857143,27665.2941176471,47.0334957983
2008-05-27,24250.0,27630.3361344538,47.0318823529
2008-05-28,24214.2857142857,27595.3781512605,47.0302689076
2008-05-29,24178.5714285714,27560.4201680672,47.0286554622
2008-05-30,24142.8571428571,27525.4621848739,47.0270420168
2008-05-31,24107.1428571429,27490.5042016807,47.0254285714
2008-06-01,24071.4285714286,27455.5462184874,47.0238151261
2008-06-02,24035.7142857143,27420.5882352941,47.0222016807
2008-06-03,24000.0,27385.6302521008,47.0205882353
