index,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2023-09-30,8230.747099211685,8306.6666666667,
2023-10-01,8228.662163703855,8355.0,
2023-10-02,8226.52581775813,8355.5,
2023-10-03,8222.88380582819,8270.0,
2023-10-04,8218.02244390613,8295.5,
2023-10-05,8219.460933811206,8312.0,
2023-10-06,8220.788791849307,8307.3333333333,
2023-10-07,8218.515772282524,8302.6666666667,
2023-10-08,8216.3930539664,8298.0,
2023-10-09,8214.272647459522,8388.0,
2023-10-10,8210.647714729392,8383.0,
2023-10-11,8205.803433324294,8586.0,
2023-10-12,8207.258980447368,8666.0,
2023-10-13,8208.603871904093,8600.0,
2023-10-14,8206.347861978249,8534.0,
2023-10-15,8204.242129558315,8468.0,
2023-10-16,8202.138685236027,8445.0,
2023-10-17,8198.530691011982,8384.0,
2023-10-18,8193.70332446752,8569.0,
2023-10-19,8195.17576283879,8449.0,
2023-10-20,8196.537521964232,8455.3333333333,
2023-10-21,8194.298356160538,8461.6666666667,
2023-10-22,8192.209444349064,8468.0,
2023-10-23,8190.122797154364,8628.0,
2023-10-24,8186.531576609818,8576.0,
2023-10-25,8181.720960329498,8620.0,
2023-10-26,8183.210125582235,8630.0,
2023-10-27,8184.588588239118,8643.5,
2023-10-28,8182.366102649429,8657.0,
2023-10-29,8180.293847767075,8670.5,
2023-10-30,8178.223834249117,8768.0,
2023-10-31,8174.649224161392,8589.0,
2023-11-01,8169.855195150387,8517.0,
2023-11-02,8171.360924517303,8505.0,
2023-11-03,8172.755928165548,8517.3333333333,
2023-11-04,8170.549960476687,8529.6666666667,
2023-11-05,8168.494200436861,8542.0,
2023-11-06,8166.440658735317,8325.0,
2023-11-07,8162.882497470036,8428.0,
2023-11-08,8158.1048943196,8464.5,
2023-11-09,8159.6270266172705,8276.0,
2023-11-10,8161.038410298462,8283.0,
2023-11-11,8158.848799776702,8290.0,
2023-11-12,8156.809374070053,8297.0,
2023-11-13,8154.772143899637,8182.0,
2023-11-14,8151.230271395265,8194.0,
2023-11-15,8146.468934267307,8258.0,
2023-11-16,8148.007309880764,8211.0,
2023-11-17,8149.43491420275,8232.0,
2023-11-18,8147.261501678448,8253.0,
2023-11-19,8145.238251357525,8274.0,
2023-11-20,8143.21717399267,8373.0,
2023-11-21,8139.691431745216,8406.0,
2023-11-22,8134.946202357009,8394.0,
2023-11-23,8136.500663224481,8420.0,
2023-11-24,8137.9443303461385,8414.0,
2023-11-25,8135.786958198508,8408.0,
2023-11-26,8133.779725862558,8402.0,
2023-11-27,8131.774644122234,8396.0,
2023-11-28,8128.264875170087,8435.0,
2023-11-29,8123.535596779131,8380.5,
2023-11-30,8125.105986376927,8535.0,
2023-12-01,8126.565559993062,8498.6666666667,
2023-12-02,8124.424072135107,8462.3333333333,
2023-12-03,8122.432701915025,8426.0,
2023-12-04,8120.443460147718,8430.0,
2023-12-05,8116.9495090566425,8412.0,
2023-12-06,8112.236026445684,8270.0,
2023-12-07,8113.8221897732265,8242.0,
2023-12-08,8115.297515099637,8281.3333333333,
2023-12-09,8113.171756963225,8320.6666666667,
2023-12-10,8111.196094506651,8360.0,
2023-12-11,8109.2225385754655,8365.0,
2023-12-12,8105.74425142374,8371.5,
2023-12-13,8101.046410885922,8465.0,
2023-12-14,8102.648194450923,8427.0,
2023-12-15,8104.139118209593,8414.0,
2023-12-16,8102.028936730677,8401.0,
2023-12-17,8100.068829187233,8388.0,
2023-12-18,8098.110806455167,8295.0,
2023-12-19,8094.648030818861,8336.0,
2023-12-20,8089.965680143034,8170.0,
2023-12-21,8091.582931946822,8255.0,
2023-12-22,8093.089302351261,8228.3333333333,
2023-12-23,8090.99454595524,8201.6666666667,
2023-12-24,8089.049841961919,8175.0,
2023-12-25,8087.107201277261,8131.0,
2023-12-26,8083.659786215664,8075.0,
2023-12-27,8078.992774671826,8168.5,
2023-12-28,8080.625344194812,8282.0,
