index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2023-09-30,2207.890566897245,2076.3333333333,
2023-10-01,2206.76306133943,2082.0,
2023-10-02,2205.639124241868,2091.0,
2023-10-03,2205.114654031038,2077.5,
2023-10-04,2204.494964836633,2061.0,
2023-10-05,2203.6328538259613,2033.0,
2023-10-06,2203.397566386483,2041.3333333333,
2023-10-07,2202.3154747713165,2049.6666666667,
2023-10-08,2201.2151772667653,2058.0,
2023-10-09,2200.1183154393416,2057.5,
2023-10-10,2199.6207883635425,2071.0,
2023-10-11,2199.0279108139193,2111.0,
2023-10-12,2198.192480599491,2125.0,
2023-10-13,2197.983743746295,2114.3333333333,
2023-10-14,2196.9280731429126,2103.6666666667,
2023-10-15,2195.8540677080077,2093.0,
2023-10-16,2194.7833696373673,2103.0,
2023-10-17,2194.3118786316927,2094.0,
2023-10-18,2193.744910088683,2092.5,
2023-10-19,2192.9352624374624,2136.0,
2023-10-20,2192.7521823211496,2138.0,
2023-10-21,2191.7220432423937,2140.0,
2023-10-22,2190.6734447309314,2142.0,
2023-10-23,2189.6280295906386,2159.0,
2023-10-24,2189.1816981273387,2153.5,
2023-10-25,2188.6397663408993,2173.0,
2023-10-26,2187.8550332596756,2157.0,
2023-10-27,2187.6967461230915,2156.3333333333,
2023-10-28,2186.6912790271917,2155.6666666667,
2023-10-29,2185.6672320922116,2155.0,
2023-10-30,2184.646248709646,2150.5,
2023-10-31,2184.2242297700673,2145.0,
2023-11-01,2183.70649185524,2147.5,
2023-11-02,2182.9458345725757,2140.0,
2023-11-03,2182.811505737728,2144.6666666667,
2023-11-04,2181.8298800201605,2149.3333333333,
2023-11-05,2180.8295581107286,2154.0,
2023-11-06,2179.832183968762,2119.5,
2023-11-07,2179.433659049897,2128.0,
2023-11-08,2178.9393004982044,2132.0,
2023-11-09,2178.201908480657,2123.0,
2023-11-10,2178.0907313697408,2116.3333333333,
2023-11-11,2177.132144389032,2109.6666666667,
2023-11-12,2176.1547487807957,2103.0,
2023-11-13,2175.18018905308,2107.0,
2023-11-14,2174.804367207562,2125.0,
2023-11-15,2174.3326009316875,2139.0,
2023-11-16,2173.617690933154,2140.0,
2023-11-17,2173.5288861225313,2142.3333333333,
2023-11-18,2172.592562258855,2144.6666666667,
2023-11-19,2171.6373211172368,2147.0,
2023-11-20,2170.6848077359687,2182.0,
2023-11-21,2170.330924644386,2178.0,
2023-11-22,2169.880990055017,2189.0,
2023-11-23,2169.1878051980784,2166.0,
2023-11-24,2169.120619504111,2163.0,
2023-11-25,2168.205809249582,2160.0,
2023-11-26,2167.27197672451,2157.0,
2023-11-27,2166.340767479581,2154.0,
2023-11-28,2166.0080845540238,2203.0,
2023-11-29,2165.5792466677717,2192.0,
2023-11-30,2164.9070555559706,2271.0,
2023-12-01,2164.860761151625,2252.3333333333,
2023-12-02,2163.966740231215,2233.6666666667,
2023-12-03,2163.0535955823316,2215.0,
2023-12-04,2162.1429732508045,2220.0,
2023-12-05,2161.83077676859,2231.0,
2023-12-06,2161.4223253459445,2232.5,
2023-12-07,2160.770421205943,2219.0,
2023-12-08,2160.7443147671393,2227.6666666667,
2023-12-09,2159.8703832891924,2236.3333333333,
2023-12-10,2158.9772300405134,2245.0,
2023-12-11,2158.0865015454074,2233.0,
2023-12-12,2157.79410181197,2210.0,
2023-12-13,2157.4053505242723,2230.0,
2023-12-14,2156.773050376894,2245.5,
2023-12-15,2156.7664522575897,2244.1666666667,
2023-12-16,2155.9119338929318,2242.8333333333,
2023-12-17,2155.0380990159647,2241.5,
2023-12-18,2154.16659461336,2222.0,
2023-12-19,2153.893325153322,2229.5,
2023-12-20,2153.5236107777873,2185.0,
2023-12-21,2152.910254636964,2197.0,
2023-12-22,2152.922508072014,2198.6666666667,
2023-12-23,2152.086749260702,2200.3333333333,
2023-12-24,2151.2315823850645,2202.0,
2023-12-25,2150.378654878573,2190.0,
2023-12-26,2150.1238716540515,2160.5,
2023-12-27,2149.772553295886,2165.0,
2023-12-28,2149.177503394576,2183.0,
