index,LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
2023-09-30,18480.413859918583,20391.6666666667,
2023-10-01,18470.27317214106,20450.0,
2023-10-02,18463.500935276086,20525.0,
2023-10-03,18463.29729402465,20405.0,
2023-10-04,18450.52167088477,21260.0,
2023-10-05,18445.75224013802,20675.0,
2023-10-06,18437.87474273934,20726.6666666667,
2023-10-07,18431.566506018735,20778.3333333333,
2023-10-08,18425.603932620746,20830.0,
2023-10-09,18419.65802631571,20705.0,
2023-10-10,18419.692319591424,21130.0,
2023-10-11,18407.051142084176,21350.0,
2023-10-12,18402.397757958275,21550.0,
2023-10-13,18394.63283996559,21375.0,
2023-10-14,18388.43633621482,21200.0,
2023-10-15,18382.585109847027,21025.0,
2023-10-16,18376.750246051135,20850.0,
2023-10-17,18376.89529221313,20910.0,
2023-10-18,18364.36458119319,21400.0,
2023-10-19,18359.821378329405,21150.0,
2023-10-20,18352.166357186114,21050.0,
2023-10-21,18346.079466619514,20950.0,
2023-10-22,18340.3375705052,20850.0,
2023-10-23,18334.6117547628,21625.0,
2023-10-24,18334.865567506775,21875.0,
2023-10-25,18322.443342323848,21645.0,
2023-10-26,18318.00834527676,21925.0,
2023-10-27,18310.46125065263,21918.3333333333,
2023-10-28,18304.482008028564,21911.6666666667,
2023-10-29,18298.847481999215,21905.0,
2023-10-30,18293.22875920141,22700.0,
2023-10-31,18293.589388464956,21845.0,
2023-11-01,18281.273704090072,21450.0,
2023-11-02,18276.94497285116,21210.0,
2023-11-03,18269.503869745156,21323.3333333333,
2023-11-04,18263.630345057165,21436.6666666667,
2023-11-05,18258.101264087993,21550.0,
2023-11-06,18252.587714178808,20850.0,
2023-11-07,18253.053244861934,20640.0,
2023-11-08,18240.842191138305,20530.0,
2023-11-09,18236.617820481217,20260.0,
2023-11-10,18229.280808584703,20190.0,
2023-11-11,18223.51110642916,20120.0,
2023-11-12,18218.085580008898,20050.0,
2023-11-13,18212.675317356796,20000.0,
2023-11-14,18213.243868695106,20175.0,
2023-11-15,18201.1355697129,20135.0,
2023-11-16,18197.01368856985,20200.0,
2023-11-17,18189.778901644582,20176.6666666667,
2023-11-18,18184.111160600325,20153.3333333333,
2023-11-19,18178.787332112453,20130.0,
2023-11-20,18173.47850489315,20475.0,
2023-11-21,18174.148229842234,20775.0,
2023-11-22,18162.14084332458,20600.0,
2023-11-23,18158.119614173924,21100.0,
2023-11-24,18150.98521944121,20975.0,
2023-11-25,18145.417611460252,20850.0,
2023-11-26,18140.193657575288,20725.0,
2023-11-27,18134.984447165636,20600.0,
2023-11-28,18135.75353179651,20455.0,
2023-11-29,18123.84524849648,20350.0,
2023-11-30,18119.92286676126,20700.0,
2023-12-01,18112.887064302064,20725.0,
2023-12-02,18107.417794111276,20750.0,
2023-12-03,18102.29192418999,20775.0,
2023-12-04,18097.180544572697,20960.0,
2023-12-05,18098.047207478085,20720.0,
2023-12-06,18086.23625058652,20310.0,
2023-12-07,18082.410944043822,20125.0,
2023-12-08,18075.47196620964,20170.0,
2023-12-09,18070.099270723105,20215.0,
2023-12-10,18065.06972623041,20260.0,
2023-12-11,18060.05442340946,20025.0,
2023-12-12,18061.016915120716,19750.0,
2023-12-13,18049.30153968464,20430.0,
2023-12-14,18045.571567885505,20050.0,
2023-12-15,18038.727678719766,20003.3333333333,
2023-12-16,18033.44982646172,19956.6666666667,
2023-12-17,18028.51488039108,19910.0,
2023-12-18,18023.593931817642,19650.0,
2023-12-19,18024.650534232114,19950.0,
2023-12-20,18013.029026583597,19205.0,
2023-12-21,18009.392680283367,19350.0,
2023-12-22,18002.642174953264,19316.6666666667,
2023-12-23,17997.457465491363,19283.3333333333,
2023-12-24,17992.61542179953,19250.0,
2023-12-25,17987.78713580813,18990.0,
2023-12-26,17988.936161626825,18900.0,
2023-12-27,17977.40683882207,18875.0,
2023-12-28,17973.862439420907,18825.0,
