index,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2023-09-30,2644.8974510051357,2374.3333333333,
2023-10-01,2644.181683001434,2374.0,
2023-10-02,2643.114245517454,2380.0,
2023-10-03,2643.9829179396975,2359.5,
2023-10-04,2642.1978798236623,2372.0,
2023-10-05,2642.632832677224,2348.5,
2023-10-06,2643.5379525208573,2351.0,
2023-10-07,2642.437465316348,2353.5,
2023-10-08,2641.3484736951123,2356.0,
2023-10-09,2640.2598669399913,2379.0,
2023-10-10,2641.131548308096,2375.0,
2023-10-11,2639.3511726632973,2481.5,
2023-10-12,2639.7908941062324,2438.0,
2023-10-13,2640.7007823648673,2419.3333333333,
2023-10-14,2639.6050561113448,2400.6666666667,
2023-10-15,2638.520817488795,2382.0,
2023-10-16,2637.436955758999,2368.0,
2023-10-17,2638.3133741900842,2367.5,
2023-10-18,2636.5377276591203,2420.0,
2023-10-19,2636.9821702800728,2380.0,
2023-10-20,2637.8967717942237,2382.3333333333,
2023-10-21,2636.80575088701,2384.6666666667,
2023-10-22,2635.726209714835,2387.0,
2023-10-23,2634.647037552729,2456.0,
2023-10-24,2635.528137682048,2466.0,
2023-10-25,2633.757164993066,2487.0,
2023-10-26,2634.2062736129333,2482.0,
2023-10-27,2635.1255332960923,2501.3333333333,
2023-10-28,2634.0391627411195,2520.6666666667,
2023-10-29,2632.9642641175346,2540.0,
2023-10-30,2631.889726713464,2554.0,
2023-10-31,2632.7754538233357,2535.0,
2023-11-01,2631.0091003504763,2461.5,
2023-11-02,2631.4628204350643,2482.0,
2023-11-03,2632.3866838445506,2486.0,
2023-11-04,2631.304909290496,2490.0,
2023-11-05,2630.2345989553855,2494.0,
2023-11-06,2629.164642140287,2425.0,
2023-11-07,2630.054942152549,2464.0,
2023-11-08,2628.2931539083957,2453.0,
2023-11-09,2628.7514315608832,2399.0,
2023-11-10,2629.6798448903182,2381.0,
2023-11-11,2628.602612621096,2363.0,
2023-11-12,2627.5368369485122,2345.0,
2023-11-13,2626.4714071864264,2315.0,
2023-11-14,2627.3662266549563,2290.0,
2023-11-15,2625.608950283075,2325.0,
2023-11-16,2626.071732236565,2282.0,
2023-11-17,2627.0046423084364,2285.6666666667,
2023-11-18,2625.9318992357694,2289.3333333333,
2023-11-19,2624.870605226523,2293.0,
2023-11-20,2623.809649607197,2355.0,
2023-11-21,2624.7089357105297,2352.0,
2023-11-22,2622.956118478093,2386.0,
2023-11-23,2623.4233520882467,2391.0,
2023-11-24,2624.360706346559,2400.5,
2023-11-25,2623.2924000026446,2410.0,
2023-11-26,2622.235535276977,2419.5,
2023-11-27,2621.1790015085494,2429.0,
2023-11-28,2622.082702042573,2444.0,
2023-11-29,2620.334291833072,2425.5,
2023-11-30,2620.805925070836,2480.0,
2023-12-01,2621.747671573844,2479.0,
2023-12-02,2620.6837501040995,2478.0,
2023-12-03,2619.6312628944443,2477.0,
2023-12-04,2618.5790992962197,2476.0,
2023-12-05,2619.4871626669633,2461.0,
2023-12-06,2617.7431079730045,2450.0,
2023-12-07,2618.2190894174205,2430.0,
2023-12-08,2619.165176830453,2441.6666666667,
2023-12-09,2618.105588986351,2453.3333333333,
2023-12-10,2617.0574281301792,2465.0,
2023-12-11,2616.0095836254827,2500.0,
2023-12-12,2616.9219588419824,2484.0,
2023-12-13,2615.182208758169,2575.0,
2023-12-14,2615.662487589262,2561.5,
2023-12-15,2616.6128651776253,2550.3333333333,
2023-12-16,2615.5575603096077,2539.1666666667,
2023-12-17,2614.513675242356,2528.0,
2023-12-18,2613.4700993514757,2507.0,
2023-12-19,2614.386736018728,2544.0,
2023-12-20,2612.651240234624,2503.0,
2023-12-21,2613.1357662263827,2557.0,
2023-12-22,2614.0903838483478,2548.0,
2023-12-23,2613.0393118988286,2539.0,
2023-12-24,2611.9996526469113,2530.0,
2023-12-25,2610.9602954801207,2528.0,
2023-12-26,2611.8811437921167,2487.0,
2023-12-27,2610.149852585292,2579.5,
2023-12-28,2610.6385760987246,2650.0,
