index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2008-04-01,2648.3529411765,2580.0,63.4602941176
2008-04-02,2637.3613445378,2601.0,63.8682773109
2008-04-03,2626.3697478992,2670.0,64.2762605042
2008-04-04,2615.3781512605,2650.3333333333,64.6842436975
2008-04-05,2604.3865546218,2630.6666666667,65.0922268908
2008-04-06,2593.3949579832,2611.0,65.500210084
2008-04-07,2582.4033613445,2600.0,65.9081932773
2008-04-08,2571.4117647059,2620.5,66.3161764706
2008-04-09,2560.4201680672,2535.5,66.7241596639
2008-04-10,2549.4285714286,2565.0,67.1321428571
2008-04-11,2538.4369747899,2597.0,67.5401260504
2008-04-12,2527.4453781513,2629.0,67.9481092437
2008-04-13,2516.4537815126,2661.0,68.356092437
2008-04-14,2505.4621848739,2685.5,68.7640756303
2008-04-15,2494.4705882353,2611.0,69.1720588235
2008-04-16,2483.4789915966,2619.5,69.5800420168
2008-04-17,2472.487394958,2540.0,69.9880252101
2008-04-18,2461.4957983193,2532.1666666667,70.3960084034
2008-04-19,2450.5042016807,2524.3333333333,70.8039915966
2008-04-20,2439.512605042,2516.5,71.2119747899
2008-04-21,2428.5210084034,2482.0,71.6199579832
2008-04-22,2417.5294117647,2555.0,72.0279411765
2008-04-23,2406.5378151261,2590.0,72.4359243697
2008-04-24,2395.5462184874,2670.0,72.843907563
2008-04-25,2384.5546218487,2648.3333333333,73.2518907563
2008-04-26,2373.5630252101,2626.6666666667,73.6598739496
2008-04-27,2362.5714285714,2605.0,74.0678571429
2008-04-28,2351.5798319328,2740.0,74.4758403361
2008-04-29,2340.5882352941,2755.0,74.8838235294
2008-04-30,2329.5966386555,2751.0,75.2918067227
2008-05-01,2318.6050420168,2855.0,75.699789916
2008-05-02,2307.6134453782,2853.6666666667,76.1077731092
2008-05-03,2296.6218487395,2852.3333333333,76.5157563025
2008-05-04,2285.6302521008,2851.0,76.9237394958
2008-05-05,2274.6386554622,2770.0,77.3317226891
2008-05-06,2263.6470588235,2796.0,77.7397058824
2008-05-07,2252.6554621849,2775.5,78.1476890756
2008-05-08,2241.6638655462,2885.0,78.5556722689
2008-05-09,2230.6722689076,2925.0,78.9636554622
2008-05-10,2219.6806722689,2965.0,79.3716386555
2008-05-11,2208.6890756303,3005.0,79.7796218487
2008-05-12,2197.6974789916,3021.5,80.187605042
2008-05-13,2186.7058823529,3020.0,80.5955882353
2008-05-14,2175.7142857143,3061.0,81.0035714286
2008-05-15,2164.7226890756,3032.0,81.4115546218
2008-05-16,2153.731092437,3024.8333333333,81.8195378151
2008-05-17,2142.7394957983,3017.6666666667,82.2275210084
2008-05-18,2131.7478991597,3010.5,82.6355042017
2008-05-19,2120.756302521,3091.0,83.043487395
2008-05-20,2109.7647058824,3080.3613445378,83.4514705882
2008-05-21,2098.7731092437,3069.7226890756,83.8594537815
2008-05-22,2087.781512605,3059.0840336134,84.2674369748
2008-05-23,2076.7899159664,3048.4453781513,84.6754201681
2008-05-24,2065.7983193277,3037.8067226891,85.0834033613
2008-05-25,2054.8067226891,3027.1680672269,85.4913865546
2008-05-26,2043.8151260504,3016.5294117647,85.8993697479
2008-05-27,2032.8235294118,3005.8907563025,86.3073529412
2008-05-28,2021.8319327731,2995.2521008403,86.7153361345
2008-05-29,2010.8403361345,2984.6134453782,87.1233193277
2008-05-30,1999.8487394958,2973.974789916,87.531302521
2008-05-31,1988.8571428571,2963.3361344538,87.9392857143
2008-06-01,1977.8655462185,2952.6974789916,88.3472689076
2008-06-02,1966.8739495798,2942.0588235294,88.7552521008
2008-06-03,1955.8823529412,2931.4201680672,89.1632352941
2008-06-04,1944.8907563025,2920.781512605,89.5712184874
2008-06-05,1933.8991596639,2910.1428571429,89.9792016807
2008-06-06,1922.9075630252,2899.5042016807,90.3871848739
2008-06-07,1911.9159663866,2888.8655462185,90.7951680672
2008-06-08,1900.9243697479,2878.2268907563,91.2031512605
2008-06-09,1889.9327731092,2867.5882352941,91.6111344538
2008-06-10,1878.9411764706,2856.9495798319,92.0191176471
2008-06-11,1867.9495798319,2846.3109243697,92.4271008403
2008-06-12,1856.9579831933,2835.6722689076,92.8350840336
2008-06-13,1845.9663865546,2825.0336134454,93.2430672269
2008-06-14,1834.974789916,2814.3949579832,93.6510504202
2008-06-15,1823.9831932773,2803.756302521,94.0590336134
2008-06-16,1812.9915966387,2793.1176470588,94.4670168067
2008-06-17,1802.0,2782.4789915966,94.875
2008-06-18,1886.0,2771.8403361345,96.775
2008-06-19,1806.5,2761.2016806723,97.225
2008-06-20,1870.0,2750.5630252101,96.375
2008-06-21,1853.6666666667,2739.9243697479,96.1333333333
2008-06-22,1837.3333333333,2729.2857142857,95.8916666667
2008-06-23,1821.0,2718.6470588235,95.65
2008-06-24,1801.0,2708.0084033613,96.75
2008-06-25,1773.5,2697.3697478992,98.675
2008-06-26,1800.0,2686.731092437,99.6
2008-06-27,1796.0,2676.0924369748,100.825
2008-06-28,1775.8333333333,2665.4537815126,101.1833333333
2008-06-29,1755.6666666667,2654.8151260504,101.5416666667
2008-06-30,1735.5,2644.1764705882,101.9
2008-07-01,1761.0,2633.5378151261,100.35
2008-07-02,1720.0,2622.8991596639,100.475
2008-07-03,1621.0,2612.2605042017,100.5
2008-07-04,1546.5,2601.6218487395,100.675
2008-07-05,1552.5,2590.9831932773,100.775
2008-07-06,1558.5,2580.3445378151,100.875
2008-07-07,1564.5,2569.7058823529,100.975
2008-07-08,1652.0,2559.0672268908,100.475
2008-07-09,1707.0,2548.4285714286,101.85
2008-07-10,1902.0,2537.7899159664,101.175
2008-07-11,2005.5,2527.1512605042,98.95
2008-07-12,1985.6666666667,2516.512605042,97.8916666667
2008-07-13,1965.8333333333,2505.8739495798,96.8333333333
2008-07-14,1946.0,2495.2352941176,95.775
2008-07-15,1968.5,2484.5966386555,94.9
2008-07-16,1896.0,2473.9579831933,93.45
2008-07-17,1941.0,2463.3193277311,93.875
2008-07-18,1946.0,2452.6806722689,92.725
2008-07-19,1975.8333333333,2442.0420168067,92.4916666667
2008-07-20,2005.6666666667,2431.4033613445,92.2583333333
2008-07-21,2035.5,2420.7647058824,92.025
2008-07-22,2159.5,2410.1260504202,91.375
2008-07-23,2134.0,2399.487394958,91.225
2008-07-24,2185.0,2388.8487394958,91.1
2008-07-25,2145.0,2378.2100840336,91.25
2008-07-26,2157.0,2367.5714285714,91.075
2008-07-27,2169.0,2356.9327731092,90.9
2008-07-28,2181.0,2346.2941176471,90.725
2008-07-29,2245.0,2335.6554621849,89.275
2008-07-30,2241.0,2325.0168067227,90.725
2008-07-31,2230.0,2314.3781512605,91.0
2008-08-01,2160.0,2303.7394957983,92.25
2008-08-02,2136.6666666667,2293.1008403361,92.6333333333
2008-08-03,2113.3333333333,2282.4621848739,93.0166666667
2008-08-04,2090.0,2271.8235294118,93.4
2008-08-05,2016.0,2261.1848739496,93.325
2008-08-06,2111.0,2250.5462184874,93.075
2008-08-07,2119.0,2239.9075630252,91.575
2008-08-08,2005.0,2229.268907563,91.65
2008-08-09,1990.3333333333,2218.6302521008,91.4333333333
2008-08-10,1975.6666666667,2207.9915966387,91.2166666667
2008-08-11,1961.0,2197.3529411765,91.0
2008-08-12,1893.0,2186.7142857143,90.5
2008-08-13,1707.5,2176.0756302521,89.875
2008-08-14,1775.0,2165.4369747899,89.525
2008-08-15,1695.0,2154.7983193277,89.65
2008-08-16,1704.6666666667,2144.1596638655,89.8583333333
2008-08-17,1714.3333333333,2133.5210084034,90.0666666667
2008-08-18,1724.0,2122.8823529412,90.275
2008-08-19,1780.0,2112.243697479,89.75
2008-08-20,1819.0,2101.6050420168,90.05
2008-08-21,1895.0,2090.9663865546,91.375
2008-08-22,1880.0,2080.3277310924,88.05
2008-08-23,1873.75,2069.6890756303,87.64375
2008-08-24,1867.5,2059.0504201681,87.2375
2008-08-25,1861.25,2048.4117647059,86.83125
2008-08-26,1855.0,2037.7731092437,86.425
2008-08-27,1916.0,2027.1344537815,83.375
2008-08-28,2111.0,2016.4957983193,83.5
2008-08-29,1959.0,2005.8571428571,81.875
2008-08-30,1956.3333333333,1995.218487395,81.4416666667
2008-08-31,1953.6666666667,1984.5798319328,81.0083333333
2008-09-01,1951.0,1973.9411764706,80.575
2008-09-02,1875.0,1963.3025210084,79.85
2008-09-03,1920.0,1952.6638655462,79.15
2008-09-04,1975.0,1942.025210084,78.7
2008-09-05,1806.0,1931.3865546218,78.175
2008-09-06,1820.6666666667,1920.7478991597,78.2666666667
2008-09-07,1835.3333333333,1910.1092436975,78.3583333333
2008-09-08,1850.0,1899.4705882353,78.45
2008-09-09,1805.0,1888.8319327731,76.775
2008-09-10,1788.0,1878.1932773109,75.925
2008-09-11,1806.0,1867.5546218487,75.55
2008-09-12,1885.0,1856.9159663866,75.075
2008-09-13,1857.8333333333,1846.2773109244,74.575
2008-09-14,1830.6666666667,1835.6386554622,74.075
2008-09-15,1803.5,1825.0,73.575
2008-09-16,1784.0,1906.0,71.925
2008-09-17,1813.0,1840.0,71.925
2008-09-18,1805.0,1875.0,70.525
2008-09-19,1832.5,1868.3333333333,69.175
2008-09-20,1862.0,1861.6666666667,69.35
2008-09-21,1891.5,1855.0,69.525
2008-09-22,1921.0,1830.5,69.7
2008-09-23,1920.5,1796.0,68.4
2008-09-24,2001.0,1809.0,67.575
2008-09-25,1946.0,1820.0,66.575
2008-09-26,1980.0,1801.6666666667,65.7
2008-09-27,1931.8333333333,1783.3333333333,65.3083333333
2008-09-28,1883.6666666667,1765.0,64.9166666667
2008-09-29,1835.5,1788.0,64.525
2008-09-30,1801.0,1741.0,64.25
2008-10-01,1806.0,1646.0,64.1
2008-10-02,1740.0,1565.0,64.7
2008-10-03,1681.0,1570.6666666667,64.8
2008-10-04,1659.0,1576.3333333333,64.8833333333
2008-10-05,1637.0,1582.0,64.9666666667
2008-10-06,1615.0,1670.0,65.05
2008-10-07,1650.5,1711.5,65.05
2008-10-08,1605.0,1891.0,64.025
2008-10-09,1605.0,2001.0,63.175
2008-10-10,1484.0,1985.6666666667,63.0
2008-10-11,1495.3333333333,1970.3333333333,62.8166666667
2008-10-12,1506.6666666667,1955.0,62.6333333333
2008-10-13,1518.0,1975.5,62.45
2008-10-14,1615.0,1905.5,62.3
2008-10-15,1512.0,1939.0,61.725
2008-10-16,1440.0,1945.5,61.075
2008-10-17,1326.0,1970.6666666667,59.425
2008-10-18,1353.0,1995.8333333333,59.1083333333
2008-10-19,1380.0,2021.0,58.7916666667
2008-10-20,1407.0,2145.0,58.475
2008-10-21,1336.0,2125.5,57.4
2008-10-22,1240.0,2189.5,55.95
2008-10-23,1150.5,2139.5,55.2
2008-10-24,1140.0,2153.0,54.45
2008-10-25,1162.0,2166.5,54.0916666667
2008-10-26,1184.0,2180.0,53.7333333333
2008-10-27,1206.0,2230.0,53.375
2008-10-28,1445.0,2226.0,52.25
2008-10-29,1531.0,2211.0,51.275
2008-10-30,1520.5,2140.0,50.0
2008-10-31,1469.0,2116.6666666667,48.575
2008-11-01,1464.3333333333,2093.3333333333,48.4333333333
2008-11-02,1459.6666666667,2070.0,48.2916666667
2008-11-03,1455.0,2010.0,48.15
2008-11-04,1521.0,2089.0,47.8
2008-11-05,1478.0,2105.5,46.325
2008-11-06,1470.0,1995.5,45.7
2008-11-07,1446.0,1983.6666666667,44.625
2008-11-08,1446.0,1971.8333333333,44.625
2008-11-09,1428.5,1960.0,44.45
2008-11-10,1411.0,1895.0,44.275
2008-11-11,1285.0,1691.0,44.85
2008-11-12,1257.0,1730.0,44.8
2008-11-13,1302.0,1690.0,44.725
2008-11-14,1349.0,1698.3333333333,44.225
2008-11-15,1318.6666666667,1706.6666666667,44.1333333333
2008-11-16,1288.3333333333,1715.0,44.0416666667
2008-11-17,1258.0,1765.0,43.95
2008-11-18,1245.0,1809.0,42.475
2008-11-19,1240.0,1890.0,42.075
2008-11-20,1171.0,1890.0,41.475
2008-11-21,1217.0,1882.5,41.45
2008-11-22,1207.6666666667,1875.0,41.4
2008-11-23,1198.3333333333,1867.5,41.35
2008-11-24,1189.0,1860.0,41.3
2008-11-25,1186.0,1930.0,41.075
2008-11-26,1176.0,2120.0,40.95
2008-11-27,1086.0,1959.0,41.2
2008-11-28,1080.0,1962.6666666667,41.6
2008-11-29,1081.0,1966.3333333333,41.6
2008-11-30,1082.0,1970.0,41.6
2008-12-01,1083.0,1880.0,41.6
2008-12-02,1060.0,1935.0,41.85
2008-12-03,1003.0,1982.0,42.975
2008-12-04,1000.0,1820.0,42.8
2008-12-05,915.0,1832.3333333333,43.125
