index,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2023-09-30,8686.224113475177,8306.6666666667,167.8456397139
2023-10-01,8686.224113475177,8355.0,167.8699963773
2023-10-02,8686.224113475177,8355.5,167.894326192
2023-10-03,8686.224113475177,8270.0,167.8385358344
2023-10-04,8686.224113475177,8295.5,168.1108182719
2023-10-05,8686.224113475177,8312.0,168.293166661
2023-10-06,8686.224113475177,8307.3333333333,168.2592084358
2023-10-07,8686.224113475177,8302.6666666667,168.2796247678
2023-10-08,8686.224113475177,8298.0,168.3037581641
2023-10-09,8686.224113475177,8388.0,168.3278648266
2023-10-10,8686.224113475177,8383.0,168.2718514316
2023-10-11,8686.224113475177,8586.0,168.5439109465
2023-10-12,8686.224113475177,8666.0,168.7260365275
2023-10-13,8686.224113475177,8600.0,168.6918556091
2023-10-14,8686.224113475177,8534.0,168.7120493622
2023-10-15,8686.224113475177,8468.0,168.7359602943
2023-10-16,8686.224113475177,8445.0,168.7598446069
2023-10-17,8686.224113475177,8384.0,168.7036089765
2023-10-18,8686.224113475177,8569.0,168.9754463703
2023-10-19,8686.224113475177,8449.0,169.1573499445
2023-10-20,8686.224113475177,8455.3333333333,169.1229471334
2023-10-21,8686.224113475177,8461.6666666667,169.1429191082
2023-10-22,8855.526470588236,8468.0,169.1666083758
2023-10-23,8855.526470588236,8628.0,169.1902711382
2023-10-24,8855.526470588236,8576.0,169.1338140714
2023-10-25,8855.526470588236,8620.0,169.4054301428
2023-10-26,8855.526470588236,8630.0,169.5871125084
2023-10-27,8855.526470588236,8643.5,169.5524886026
2023-10-28,8855.526470588236,8657.0,169.5722395963
2023-10-29,8855.526470588236,8670.5,169.5957079966
2023-10-30,8855.526470588236,8768.0,169.6191500052
2023-10-31,8855.526470588236,8589.0,169.5624722983
2023-11-01,8855.526470588236,8517.0,169.8338678431
2023-11-02,8855.526470588236,8505.0,170.0153297955
2023-11-03,8855.526470588236,8517.3333333333,169.9804855899
2023-11-04,8855.526470588236,8529.6666666667,170.0000163971
2023-11-05,8686.224113475177,8542.0,170.0232647243
2023-11-06,8855.526470588236,8325.0,170.046486773
2023-11-07,8281.789972899729,8428.0,169.9895892192
2023-11-08,8281.789972899729,8464.5,170.2607650303
2023-11-09,8281.789972899729,8276.0,170.4420073621
2023-11-10,8281.789972899729,8283.0,170.4069436488
2023-11-11,8281.789972899729,8290.0,170.4262550613
2023-11-12,8281.789972899729,8297.0,170.4492841066
2023-11-13,8281.789972899729,8182.0,170.4722869862
2023-11-14,8281.789972899729,8194.0,170.4151703762
2023-11-15,8281.789972899729,8258.0,170.6861272437
2023-11-16,8281.789972899729,8211.0,170.8671507445
2023-11-17,8281.789972899729,8232.0,170.8318683128
2023-11-18,8281.789972899729,8253.0,170.8509611195
2023-11-19,8281.789972899729,8274.0,170.8737716713
2023-11-20,8571.064171122996,8373.0,170.89655617
2023-11-21,8571.064171122996,8406.0,170.8392212913
2023-11-22,8281.789972899729,8394.0,171.1099600024
2023-11-23,8281.789972899729,8420.0,171.2907654591
2023-11-24,8281.789972899729,8414.0,171.2552650954
2023-11-25,8281.789972899729,8408.0,171.2741400822
2023-11-26,8281.789972899729,8402.0,171.2967329263
2023-11-27,8281.789972899729,8396.0,171.3192998292
2023-11-28,8281.789972899729,8435.0,171.2617474667
2023-11-29,8281.789972899729,8380.5,171.5322688058
2023-11-30,8281.789972899729,8535.0,171.7128570024
2023-12-01,8281.789972899729,8498.6666666667,171.6771394904
2023-12-02,8281.789972899729,8462.3333333333,171.6957974406
2023-12-03,8281.789972899729,8426.0,171.7181733597
2023-12-04,8281.789972899729,8430.0,171.7405234491
2023-12-05,8281.789972899729,8412.0,171.6827543848
2023-12-06,8281.789972899729,8270.0,171.9530591336
2023-12-07,8281.789972899729,8242.0,172.1334308513
2023-12-08,8281.789972899729,8281.3333333333,172.0974969717
2023-12-09,8281.789972899729,8320.6666666667,172.1159386656
2023-12-10,8281.789972899729,8360.0,172.1380984397
2023-12-11,8281.789972899729,8365.0,172.1602324954
2023-12-12,8281.789972899729,8371.5,172.1022475084
2023-12-13,8281.789972899729,8465.0,172.3723364456
2023-12-14,8281.789972899729,8427.0,172.5524924627
2023-12-15,8281.789972899729,8414.0,172.5163429936
2023-12-16,8281.789972899729,8401.0,172.5345692089
2023-12-17,8281.789972899729,8388.0,172.5565136152
2023-12-18,8281.789972899729,8295.0,172.5784324138
2023-12-19,9301.68548387097,8336.0,172.5202322806
2023-12-20,8281.789972899729,8170.0,172.7901061822
2023-12-21,8281.789972899729,8255.0,172.9700472744
2023-12-22,8281.789972899729,8228.3333333333,172.9336829908
2023-12-23,8281.789972899729,8201.6666666667,172.9516945022
2023-12-24,8281.789972899729,8175.0,172.9734243151
2023-12-25,8281.789972899729,8131.0,172.9951286307
2023-12-26,8281.789972899729,8075.0,172.9367141248
2023-12-27,8281.789972899729,8168.5,173.206373764
2023-12-28,8281.789972899729,8282.0,173.386100704
