index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2023-09-30,2073.2672876602564,2076.3333333333,78.3195333121
2023-10-01,2073.2672876602564,2082.0,78.313844975
2023-10-02,2073.2672876602564,2091.0,78.308151574
2023-10-03,2073.2672876602564,2077.5,78.4250020999
2023-10-04,2073.2672876602564,2061.0,78.5423700241
2023-10-05,2073.2672876602564,2033.0,78.5159937117
2023-10-06,2073.2672876602564,2041.3333333333,78.4821705475
2023-10-07,2073.2672876602564,2049.6666666667,78.4766637591
2023-10-08,2073.2672876602564,2058.0,78.4709353316
2023-10-09,2073.2672876602564,2057.5,78.4652018506
2023-10-10,2073.2672876602564,2071.0,78.5820123066
2023-10-11,2148.9523558758315,2111.0,78.6993401712
2023-10-12,2148.9523558758315,2125.0,78.6729238093
2023-10-13,2073.2672876602564,2114.3333333333,78.639060606
2023-10-14,2073.2672876602564,2103.6666666667,78.6335137886
2023-10-15,2073.2672876602564,2093.0,78.6277453424
2023-10-16,2073.2672876602564,2103.0,78.6219718528
2023-10-17,2148.9523558758315,2094.0,78.7387423105
2023-10-18,2148.9523558758315,2092.5,78.8560301869
2023-10-19,2148.9523558758315,2136.0,78.8295738471
2023-10-20,2148.9523558758315,2138.0,78.795670676
2023-10-21,2073.2672876602564,2140.0,78.790083901
2023-10-22,2073.2672876602564,2142.0,78.7842755075
2023-10-23,2073.2672876602564,2159.0,78.7784620808
2023-10-24,2073.2672876602564,2153.5,78.8951926115
2023-10-25,2073.2672876602564,2173.0,79.0124405711
2023-10-26,2073.2672876602564,2157.0,78.9859443247
2023-10-27,2148.9523558758315,2156.3333333333,78.9520012572
2023-10-28,2148.9523558758315,2155.6666666667,78.946374596
2023-10-29,2148.9523558758315,2155.0,78.9405263264
2023-10-30,2148.9523558758315,2150.5,78.9346730338
2023-10-31,2073.2672876602564,2145.0,79.0513637088
2023-11-01,2073.2672876602564,2147.5,79.1685718229
2023-11-02,2073.2672876602564,2140.0,79.1420357412
2023-11-03,2073.2672876602564,2144.6666666667,79.1080528485
2023-11-04,2073.2672876602564,2149.3333333333,79.1023863722
2023-11-05,2073.2672876602564,2154.0,79.0964982977
2023-11-06,2073.2672876602564,2119.5,79.0906052104
2023-11-07,2073.2672876602564,2128.0,79.2072561008
2023-11-08,2073.2672876602564,2132.0,79.3244244405
2023-11-09,2073.2672876602564,2123.0,79.2978485944
2023-11-10,2073.2672876602564,2116.3333333333,79.2638259476
2023-11-11,2073.2672876602564,2109.6666666667,79.2581197273
2023-11-12,2073.2672876602564,2103.0,79.252191919
2023-11-13,2073.2672876602564,2107.0,79.2462591079
2023-11-14,2073.2672876602564,2125.0,79.3628702847
2023-11-15,2073.2672876602564,2139.0,79.4799989209
2023-11-16,2073.2672876602564,2140.0,79.4533833816
2023-11-17,2073.2672876602564,2142.3333333333,79.4193210515
2023-11-18,2073.2672876602564,2144.6666666667,79.4135751582
2023-11-19,2073.2672876602564,2147.0,79.4076076869
2023-11-20,2073.2672876602564,2182.0,79.401635223
2023-11-21,1993.37518262987,2178.0,79.5182067572
2023-11-22,2073.2672876602564,2189.0,79.6352957608
2023-11-23,2073.2672876602564,2166.0,79.6086405989
2023-11-24,2073.2672876602564,2163.0,79.5745386565
2023-11-25,2073.2672876602564,2160.0,79.5687531609
2023-11-26,2073.2672876602564,2157.0,79.5627460975
2023-11-27,1993.37518262987,2154.0,79.5567340515
2023-11-28,1993.37518262987,2203.0,79.6732660137
2023-11-29,1993.37518262987,2192.0,79.7903154554
2023-11-30,1993.37518262987,2271.0,79.7636207418
2023-12-01,1993.37518262987,2252.3333333333,79.7294792577
2023-12-02,1993.37518262987,2233.6666666667,79.7236542306
2023-12-03,1993.37518262987,2215.0,79.7176076456
2023-12-04,1993.37518262987,2220.0,79.7115560882
2023-12-05,1993.37518262987,2231.0,79.828048549
2023-12-06,1993.37518262987,2232.5,79.9450584995
2023-12-07,2073.2672876602564,2219.0,79.9183243047
2023-12-08,2073.2672876602564,2227.6666666667,79.8841433495
2023-12-09,2073.2672876602564,2236.3333333333,79.8782788613
2023-12-10,2073.2672876602564,2245.0,79.8721928253
2023-12-11,2073.2672876602564,2233.0,79.8661018271
2023-12-12,2073.2672876602564,2210.0,79.982554857
2023-12-13,2073.2672876602564,2230.0,80.0995253867
2023-12-14,2073.2672876602564,2245.5,80.0727517812
2023-12-15,2148.9523558758315,2244.1666666667,80.0385314253
2023-12-16,2148.9523558758315,2242.8333333333,80.0326275465
2023-12-17,2073.2672876602564,2241.5,80.0265021299
2023-12-18,2148.9523558758315,2222.0,80.0203717612
2023-12-19,2148.9523558758315,2229.5,80.1367854306
2023-12-20,2073.2672876602564,2185.0,80.2537166099
2023-12-21,2073.2672876602564,2197.0,80.226903664
2023-12-22,2073.2672876602564,2198.6666666667,80.1926439777
2023-12-23,2073.2672876602564,2200.3333333333,80.1867007786
2023-12-24,2073.2672876602564,2202.0,80.1805360518
2023-12-25,2073.2672876602564,2190.0,80.1743663827
2023-12-26,2073.2672876602564,2160.5,80.2907407619
2023-12-27,2073.2672876602564,2165.0,80.407632661
2023-12-28,2073.2672876602564,2183.0,80.3807804449
