index,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2023-09-30,2745.203507618991,2374.3333333333,102.5434991358
2023-10-01,2745.203507618991,2374.0,102.313447934
2023-10-02,2745.203507618991,2380.0,102.2484322853
2023-10-03,2745.203507618991,2359.5,102.54804617
2023-10-04,2745.203507618991,2372.0,102.9690530494
2023-10-05,2745.203507618991,2348.5,102.8338110589
2023-10-06,2745.203507618991,2351.0,102.4034257012
2023-10-07,2745.203507618991,2353.5,102.4211917373
2023-10-08,2745.203507618991,2356.0,102.4396927669
2023-10-09,2745.203507618991,2379.0,102.4585949806
2023-10-10,2745.203507618991,2375.0,102.7940440042
2023-10-11,2745.203507618991,2481.5,103.2284493843
2023-10-12,2745.203507618991,2438.0,103.0985801886
2023-10-13,2745.203507618991,2419.3333333333,102.6702514622
2023-10-14,2745.203507618991,2400.6666666667,102.6888097772
2023-10-15,2745.203507618991,2382.0,102.7075992428
2023-10-16,2745.203507618991,2368.0,102.7265939721
2023-10-17,2745.203507618991,2367.5,103.0620582921
2023-10-18,2745.203507618991,2420.0,103.496448762
2023-10-19,2745.203507618991,2380.0,103.3665527928
2023-10-20,2745.203507618991,2382.3333333333,102.9381926458
2023-10-21,2745.203507618991,2384.6666666667,102.9567177192
2023-10-22,2745.203507618991,2387.0,102.9754732319
2023-10-23,2745.203507618991,2456.0,102.9944337318
2023-10-24,2745.203507618991,2466.0,103.3298637167
2023-10-25,2745.203507618991,2487.0,103.7642198127
2023-10-26,2745.203507618991,2482.0,103.6342894571
2023-10-27,2745.203507618991,2501.3333333333,103.2058949215
2023-10-28,2745.203507618991,2520.6666666667,103.224385608
2023-10-29,2745.203507618991,2540.0,103.2431067373
2023-10-30,2745.203507618991,2554.0,103.2620328578
2023-10-31,2745.203507618991,2535.0,103.5974284675
2023-11-01,2745.203507618991,2461.5,104.0317501928
2023-11-02,2745.203507618991,2482.0,103.9017854707
2023-11-03,2745.203507618991,2486.0,103.4733565731
2023-11-04,2745.203507618991,2490.0,103.4918129021
2023-11-05,2745.203507618991,2494.0,103.5104996782
2023-11-06,2745.203507618991,2425.0,103.5293914499
2023-11-07,2745.203507618991,2464.0,103.8647527152
2023-11-08,2745.203507618991,2453.0,104.2990401006
2023-11-09,2745.203507618991,2399.0,104.1690410429
2023-11-10,2745.203507618991,2381.0,103.7405778142
2023-11-11,2745.203507618991,2363.0,103.7589998164
2023-11-12,2745.203507618991,2345.0,103.7776522702
2023-11-13,2745.203507618991,2315.0,103.7965097241
2023-11-14,2745.203507618991,2290.0,104.1318366759
2023-11-15,2745.203507618991,2325.0,104.5660897522
2023-11-16,2745.203507618991,2282.0,104.4360563899
2023-11-17,2745.203507618991,2285.6666666667,104.0075588609
2023-11-18,2745.203507618991,2289.3333333333,104.0259465672
2023-11-19,2154.606950099303,2293.0,104.0445647296
2023-11-20,2154.606950099303,2355.0,104.0633878964
2023-11-21,2154.606950099303,2352.0,104.3986805656
2023-11-22,2154.606950099303,2386.0,104.8328993636
2023-11-23,2154.606950099303,2391.0,104.7028317274
2023-11-24,2154.606950099303,2400.5,104.274299929
2023-11-25,2154.606950099303,2410.0,104.2926533703
2023-11-26,2154.606950099303,2419.5,104.311237272
2023-11-27,2154.606950099303,2429.0,104.3300261826
2023-11-28,2154.606950099303,2444.0,104.6652845999
2023-11-29,2154.606950099303,2425.5,105.0994691505
2023-11-30,2154.606950099303,2480.0,104.9693672714
2023-12-01,2154.606950099303,2479.0,104.5408012343
2023-12-02,2154.606950099303,2478.0,104.5591204414
2023-12-03,2154.606950099303,2477.0,104.5776701133
2023-12-04,2154.606950099303,2476.0,104.5964247984
2023-12-05,2154.606950099303,2461.0,104.9316489947
2023-12-06,2154.606950099303,2450.0,105.3657993286
2023-12-07,2154.606950099303,2430.0,105.2356632372
2023-12-08,2154.606950099303,2441.6666666667,104.8070629923
2023-12-09,2154.606950099303,2453.3333333333,104.8253479959
2023-12-10,2154.606950099303,2465.0,104.8438634687
2023-12-11,2745.203507618991,2500.0,104.8625839592
2023-12-12,2745.203507618991,2484.0,105.1977739652
2023-12-13,2745.203507618991,2575.0,105.6318901132
2023-12-14,2745.203507618991,2561.5,105.5017198403
2023-12-15,2745.203507618991,2550.3333333333,105.0730854182
2023-12-16,2154.606950099303,2539.1666666667,105.0913362492
2023-12-17,2154.606950099303,2528.0,105.1098175537
2023-12-18,2154.606950099303,2507.0,105.1285038802
2023-12-19,2745.203507618991,2544.0,105.4636597266
2023-12-20,2154.606950099303,2503.0,105.8977417195
2023-12-21,2154.606950099303,2557.0,105.7675372958
2023-12-22,2154.606950099303,2548.0,105.3388687274
2023-12-23,2154.606950099303,2539.0,105.3570854163
2023-12-24,2154.606950099303,2530.0,105.3755325831
2023-12-25,2154.606950099303,2528.0,105.3941847764
2023-12-26,2154.606950099303,2487.0,105.729306494
2023-12-27,2154.606950099303,2579.5,106.1633543624
2023-12-28,2154.606950099303,2650.0,106.0331158187
