index,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2023-10-03,8096.129286103118,8270.0,
2023-10-04,8091.413669423274,8295.5,
2023-10-05,8093.016621284079,8312.0,
2023-10-06,8094.509130387172,8307.3333333333,
2023-10-07,8092.346687748794,8302.6666666667,
2023-10-08,8090.337216244806,8298.0,
2023-10-09,8088.329907463708,8388.0,
2023-10-10,8084.86788269703,8383.0,
2023-10-11,8080.187378062471,8586.0,
2023-10-12,8081.806539247915,8666.0,
2023-10-13,8083.314827388688,8600.0,
2023-10-14,8081.168132783362,8534.0,
2023-10-15,8079.174386968174,8468.0,
2023-10-16,8077.182781749296,8445.0,
2023-10-17,8073.736438453405,8384.0,
2023-10-18,8069.071593229371,8569.0,
2023-10-19,8070.7063917961095,8449.0,
2023-10-20,8072.23029531994,8455.3333333333,
2023-10-21,8070.099194130376,8461.6666666667,
2023-10-22,8068.121019794562,8468.0,
2023-10-23,8066.144964149526,8628.0,
2023-10-24,8062.7141485527645,8576.0,
2023-10-25,8058.064809183916,8620.0,
2023-10-26,8059.715091792629,8630.0,
2023-10-27,8061.254457575908,8643.5,
2023-10-28,8059.1387968939125,8657.0,
2023-10-29,8057.176041344383,8670.5,
2023-10-30,8055.215382794904,8768.0,
2023-10-31,8051.799942633489,8589.0,
2023-11-01,8047.165957070247,8517.0,
2023-11-02,8048.831571885253,8505.0,
2023-11-03,8050.3862483058965,8517.3333333333,
2023-11-04,8048.285876722681,8529.6666666667,
2023-11-05,8046.338388763646,8542.0,
2023-11-06,8044.392976326637,8325.0,
2023-11-07,8040.992760829877,8428.0,
2023-11-08,8036.3739785136495,8464.5,
2023-11-09,8038.05477518816,8276.0,
2023-11-10,8039.624612110886,8283.0,
2023-11-11,8037.539379702371,8290.0,
2023-11-12,8035.607009620661,8297.0,
2023-11-13,8033.676693793562,8182.0,
2023-11-14,8030.291553669216,8194.0,
2023-11-15,8025.687825517782,8258.0,
2023-11-16,8027.383655179298,8211.0,
2023-11-17,8028.968503941037,8232.0,
2023-11-18,8026.898262253291,8253.0,
2023-11-19,8024.980861803818,8274.0,
2023-11-20,8023.065494550084,8373.0,
2023-11-21,8019.695281969861,8406.0,
2023-11-22,8015.106460362888,8394.0,
2023-11-23,8016.8171755987505,8420.0,
2023-11-24,8018.416888994217,8414.0,
2023-11-25,8016.361491029041,8408.0,
2023-11-26,8014.458913420393,8402.0,
2023-11-27,8012.55834815512,8396.0,
2023-11-28,8009.202916740326,8435.0,
2023-11-29,8004.628855505045,8380.5,
2023-11-30,8006.354310348112,8535.0,
2023-12-01,8007.968742615509,8498.6666666667,
2023-12-02,8005.928042816157,8462.3333333333,
2023-12-03,8004.040142696358,8426.0,
2023-12-04,8002.154234272044,8430.0,
2023-12-05,7998.813439079367,8412.0,
2023-12-06,7994.253993476365,8270.0,
2023-12-07,7995.994043390843,8242.0,
2023-12-08,7997.6230501977025,8281.3333333333,
2023-12-09,7995.596904434752,8320.6666666667,
2023-12-10,7993.723537877135,8360.0,
2023-12-11,7991.852142569586,8365.0,
2023-12-12,7988.525840077019,8371.5,
2023-12-13,7983.980866786196,8465.0,
2023-12-14,7985.735368653599,8427.0,
2023-12-15,7987.378807082772,8414.0,
2023-12-16,7985.367072640126,8401.0,
2023-12-17,7983.508097129363,8388.0,
2023-12-18,7981.6510726237375,8295.0,
2023-12-19,7978.339120716644,8336.0,
2023-12-20,7973.808477823285,8170.0,
2023-12-21,7975.577289928541,8255.0,
2023-12-22,7977.235018464318,8228.3333333333,
2023-12-23,7975.237554025344,8201.6666666667,
2023-12-24,7973.392828443604,8175.0,
2023-12-25,7971.550033820592,8131.0,
2023-12-26,7968.252291777903,8075.0,
2023-12-27,7963.7358387589,8168.5,
2023-12-28,7965.518820776588,8282.0,
2023-12-29,7967.190699290952,8245.3333333333,
2023-12-30,7965.207364924763,8208.6666666667,
2023-12-31,7963.376749538009,8172.0,
