index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2023-10-03,2271.298984676613,2147.0,488.4736250632
2023-10-04,2271.298984676613,2150.0,488.179821091
2023-10-05,2271.298984676613,2131.0,487.954948722
2023-10-06,2271.298984676613,2136.3333333333,487.2362959569
2023-10-07,2271.298984676613,2141.6666666667,487.0359409943
2023-10-08,2271.298984676613,2147.0,486.8363075218
2023-10-09,2271.298984676613,2179.5,486.6330513276
2023-10-10,2271.298984676613,2186.0,488.1639089197
2023-10-11,2271.298984676613,2279.0,487.7827896828
2023-10-12,2271.298984676613,2269.0,487.5038016191
2023-10-13,2271.298984676613,2261.0,486.7577180074
2023-10-14,2271.298984676613,2253.0,486.542987976
2023-10-15,2271.298984676613,2245.0,486.3354297276
2023-10-16,2271.298984676613,2216.0,486.1279552636
2023-10-17,2271.298984676613,2186.5,487.6565703131
2023-10-18,2271.298984676613,2220.0,487.2742454073
2023-10-19,2271.298984676613,2197.5,486.994613321
2023-10-20,2271.298984676613,2196.0,486.2481870811
2023-10-21,2271.298984676613,2194.5,486.033275156
2023-10-22,2271.298984676613,2193.0,485.8256212437
2023-10-23,2271.298984676613,2226.5,485.6180973459
2023-10-24,2271.298984676613,2215.0,487.1466877053
2023-10-25,2271.298984676613,2220.0,486.7643513661
2023-10-26,2271.298984676613,2203.0,486.4847149493
2023-10-27,2271.298984676613,2216.0,485.7382881834
2023-10-28,2271.298984676613,2229.0,485.5233777702
2023-10-29,2271.298984676613,2242.0,485.3157264616
2023-10-30,2271.298984676613,2262.0,485.1082057523
2023-10-31,2271.298984676613,2227.0,486.6367996135
2023-11-01,2271.298984676613,2195.0,486.2544669439
2023-11-02,2271.298984676613,2211.0,485.9748342865
2023-11-03,2271.298984676613,2217.3333333333,485.2284113282
2023-11-04,2271.298984676613,2223.6666666667,485.0135047483
2023-11-05,2271.298984676613,2230.0,484.8058572869
2023-11-06,2271.298984676613,2195.0,484.5983404321
2023-11-07,2271.298984676613,2205.0,486.1269381518
2023-11-08,2271.298984676613,2213.0,485.7446093427
2023-11-09,2271.298984676613,2178.0,485.464980547
2023-11-10,2271.298984676613,2167.5,484.7185614509
2023-11-11,2271.298984676613,2157.0,484.5036587336
2023-11-12,2271.298984676613,2146.5,484.2960151348
2023-11-13,2271.298984676613,2140.0,484.0885021428
2023-11-14,2271.298984676613,2144.0,485.6171037252
2023-11-15,2271.298984676613,2171.5,485.2347787789
2023-11-16,2271.298984676613,2139.0,484.955153846
2023-11-17,2271.298984676613,2133.6666666667,484.2087386126
2023-11-18,2271.298984676613,2128.3333333333,483.993839758
2023-11-19,2271.298984676613,2123.0,483.786200022
2023-11-20,2271.298984676613,2174.0,483.5786908926
2023-11-21,2271.298984676613,2180.0,485.1072963376
2023-11-22,2271.298984676613,2163.0,484.7249752539
2023-11-23,2271.298984676613,2160.5,484.4453541835
2023-11-24,2271.298984676613,2160.375,483.6989428127
2023-11-25,2271.298984676613,2160.25,483.4840478206
2023-11-26,2271.298984676613,2160.125,483.276411947
2023-11-27,2271.298984676613,2160.0,483.0689066801
2023-11-28,2271.298984676613,2179.5,484.5975159876
2023-11-29,2271.298984676613,2204.0,484.2151987663
2023-11-30,2271.298984676613,2234.0,483.9355815582
2023-12-01,2271.298984676613,2221.6666666667,483.1891740498
2023-12-02,2271.298984676613,2209.3333333333,482.97428292
2023-12-03,2271.298984676613,2197.0,482.7666509087
2023-12-04,2271.298984676613,2188.5,482.559149504
2023-12-05,2271.298984676613,2206.0,484.0877626737
2023-12-06,2271.298984676613,2180.0,483.7054493146
2023-12-07,2271.298984676613,2181.0,483.4258359687
2023-12-08,2271.298984676613,2185.6666666667,482.6794323224
2023-12-09,2271.298984676613,2190.3333333333,482.4645450546
2023-12-10,2271.298984676613,2195.0,482.2569169054
2023-12-11,2271.298984676613,2199.0,482.0494193628
2023-12-12,2271.298984676613,2197.0,483.5780363945
2023-12-13,2271.298984676613,2235.0,483.1957268973
2023-12-14,2271.298984676613,2197.0,482.9161174134
2023-12-15,2271.298984676613,2200.0,482.169717629
2023-12-16,2271.298984676613,2203.0,481.9548342232
2023-12-17,2271.298984676613,2206.0,481.7472099358
2023-12-18,2271.298984676613,2215.5,481.539716255
2023-12-19,2271.298984676613,2247.0,483.0683371485
2023-12-20,2271.298984676613,2212.0,482.6860315131
2023-12-21,2271.298984676613,2240.0,482.406425891
2023-12-22,2271.298984676613,2235.0,481.6600299683
2023-12-23,2271.298984676613,2230.0,481.4451504241
2023-12-24,2271.298984676613,2225.0,481.2375299984
2023-12-25,2271.298984676613,2238.5,481.0300401793
2023-12-26,2271.298984676613,2226.0,482.5586649344
2023-12-27,2271.298984676613,2265.0,482.1763631606
2023-12-28,2271.298984676613,2342.0,481.8967613999
2023-12-29,2271.298984676613,2333.6666666667,481.1503693388
2023-12-30,2271.298984676613,2325.3333333333,480.9354936561
2023-12-31,2271.298984676613,2317.0,480.7278770918
