index,LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
2023-10-03,23926.531408308,20405.0,42.2873450687
2023-10-04,23926.531408308,21260.0,42.5746089984
2023-10-05,23926.531408308,20675.0,42.6082960647
2023-10-06,23926.531408308,20726.6666666667,42.5430455178
2023-10-07,23926.531408308,20778.3333333333,42.5101257622
2023-10-08,23926.531408308,20830.0,42.4770246436
2023-10-09,23926.531408308,20705.0,42.4438527618
2023-10-10,23926.531408308,21130.0,42.5200435981
2023-10-11,23926.531408308,21350.0,42.8036159474
2023-10-12,23926.531408308,21550.0,42.8357502239
2023-10-13,23926.531408308,21375.0,42.7698023354
2023-10-14,23926.531408308,21200.0,42.7365556465
2023-10-15,23926.531408308,21025.0,42.7032879089
2023-10-16,23926.531408308,20850.0,42.6700181843
2023-10-17,23926.531408308,20910.0,42.7461408326
2023-10-18,23926.531408308,21400.0,43.0296577609
2023-10-19,23926.531408308,21150.0,43.0617421184
2023-10-20,23926.531408308,21050.0,42.9957466848
2023-10-21,23926.531408308,20950.0,42.9624534781
2023-10-22,23926.531408308,20850.0,42.9291396702
2023-10-23,23926.531408308,21625.0,42.8958240732
2023-10-24,23926.531408308,21875.0,42.9719009395
2023-10-25,23926.531408308,21645.0,43.2553721302
2023-10-26,23926.531408308,21925.0,43.2874107743
2023-10-27,23926.531408308,21918.3333333333,43.221369643
2023-10-28,23926.531408308,21911.6666666667,43.1880307507
2023-10-29,23926.531408308,21905.0,43.1546712676
2023-10-30,23926.531408308,22700.0,43.1213100052
2023-10-31,23926.531408308,21845.0,43.1973412156
2023-11-01,23926.531408308,21450.0,43.4807667597
2023-11-02,23926.531408308,21210.0,43.5127597665
2023-11-03,23926.531408308,21323.3333333333,43.4466730072
2023-11-04,23926.531408308,21436.6666666667,43.4132884961
2023-11-05,23926.531408308,21550.0,43.3798834034
2023-11-06,23926.531408308,20850.0,43.3464765407
2023-11-07,23926.531408308,20640.0,43.42246216
2023-11-08,23926.531408308,20530.0,43.7058421223
2023-11-09,23926.531408308,20260.0,43.7377895564
2023-11-10,23926.531408308,20190.0,43.6716572337
2023-11-11,23926.531408308,20120.0,43.6382271684
2023-11-12,23926.531408308,20050.0,43.6047765308
2023-11-13,23926.531408308,20000.0,43.5713241323
2023-11-14,23926.531408308,20175.0,43.6472642252
2023-11-15,23926.531408308,20135.0,43.9305986701
2023-11-16,23926.531408308,20200.0,43.9625005962
2023-11-17,23926.531408308,20176.6666666667,43.8963227746
2023-11-18,23926.531408308,20153.3333333333,43.8628472197
2023-11-19,23926.531408308,20130.0,43.8293511017
2023-11-20,23926.531408308,20475.0,43.7958532319
2023-11-21,23926.531408308,20775.0,43.8717478627
2023-11-22,23926.531408308,20600.0,44.1550368549
2023-11-23,23926.531408308,21100.0,44.1868933373
2023-11-24,23926.531408308,20975.0,44.1206700814
2023-11-25,23926.531408308,20850.0,44.0871491012
2023-11-26,23926.531408308,20725.0,44.0536075672
2023-11-27,23926.531408308,20600.0,44.0200642906
2023-11-28,23926.531408308,20455.0,44.0959135238
2023-11-29,23926.531408308,20350.0,44.3791571275
2023-11-30,23926.531408308,20700.0,44.4109682307
2023-12-01,23926.531408308,20725.0,44.3446996047
2023-12-02,23926.531408308,20750.0,44.3111332636
2023-12-03,23926.531408308,20775.0,44.2775463779
2023-12-04,23926.531408308,20960.0,44.2439577589
2023-12-05,23926.531408308,20720.0,44.3197616587
2023-12-06,23926.531408308,20310.0,44.6029599383
2023-12-07,23926.531408308,20125.0,44.6347257265
2023-12-08,23926.531408308,20170.0,44.5684117947
2023-12-09,23926.531408308,20215.0,44.5348001571
2023-12-10,23926.531408308,20260.0,44.5011679839
2023-12-11,23926.531408308,20025.0,44.4675340866
2023-12-12,23926.531408308,19750.0,44.5432927173
2023-12-13,23926.531408308,20430.0,44.8264457369
2023-12-14,23926.531408308,20050.0,44.8581662744
2023-12-15,23926.531408308,20003.3333333333,44.791807101
2023-12-16,23926.531408308,19956.6666666667,44.7581502309
2023-12-17,23926.531408308,19910.0,44.7244728344
2023-12-18,23926.531408308,19650.0,44.690793723
2023-12-19,23926.531408308,19950.0,44.7665071487
2023-12-20,23926.531408308,19205.0,45.0496149725
2023-12-21,23926.531408308,19350.0,45.0812903233
2023-12-22,23926.531408308,19316.6666666667,45.0148859723
2023-12-23,23926.531408308,19283.3333333333,44.9811839338
2023-12-24,23926.531408308,19250.0,44.9474613781
2023-12-25,23926.531408308,18990.0,44.9137371166
2023-12-26,23926.531408308,18900.0,44.9894054014
2023-12-27,23926.531408308,18875.0,45.2724680933
2023-12-28,23926.531408308,18825.0,45.3040983214
2023-12-29,23926.531408308,18841.6666666667,45.2376488569
2023-12-30,23926.531408308,18858.3333333333,45.203901714
2023-12-31,23926.531408308,18875.0,45.1701340631
