,date,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
0,2023-09-18,2165.0,2206.0,492.575
1,2023-09-15,2155.5,2197.0,495.4
2,2023-09-14,2192.5,2235.0,498.525
3,2023-09-13,2156.5,2197.0,491.3
4,2023-09-12,2153.0,2199.0,493.875
5,2023-09-11,2154.0,2195.0,495.875
6,2023-09-08,2132.5,2181.0,499.475
7,2023-09-07,2135.0,2180.0,501.475
8,2023-09-06,2158.0,2206.0,502.4
9,2023-09-05,2136.5,2188.5,506.875
10,2023-09-04,2149.5,2197.0,506.4
11,2023-09-01,2184.0,2234.0,508.4
12,2023-08-31,2165.5,2204.0,515.75
13,2023-08-30,2140.5,2179.5,517.375
14,2023-08-29,2116.5,2160.0,524.025
15,2023-08-25,2124.0,2160.5,526.175
16,2023-08-24,2119.5,2163.0,527.55
17,2023-08-23,2129.0,2180.0,528.25
18,2023-08-22,2121.5,2174.0,529.775
19,2023-08-21,2068.5,2123.0,491.05
20,2023-08-18,2096.0,2139.0,483.55
21,2023-08-17,2131.0,2171.5,487.1
22,2023-08-16,2089.0,2144.0,488.6
23,2023-08-15,2085.5,2140.0,490.8
24,2023-08-14,2096.0,2146.5,491.75
25,2023-08-11,2127.0,2178.0,493.825
26,2023-08-10,2161.5,2213.0,496.15
27,2023-08-09,2153.0,2205.0,495.0
28,2023-08-08,2143.0,2195.0,498.9
29,2023-08-07,2178.0,2230.0,501.325
30,2023-08-04,2166.0,2211.0,503.325
31,2023-08-03,2147.0,2195.0,505.1
32,2023-08-02,2176.5,2227.0,502.775
33,2023-08-01,2217.0,2262.0,505.55
34,2023-07-31,2195.5,2242.0,507.4
35,2023-07-28,2161.5,2203.0,509.0
36,2023-07-27,2176.0,2220.0,511.0
37,2023-07-26,2170.5,2215.0,514.025
38,2023-07-25,2184.0,2226.5,516.975
39,2023-07-24,2155.0,2193.0,512.5
40,2023-07-21,2153.5,2197.5,513.4
41,2023-07-20,2172.0,2220.0,513.1
42,2023-07-19,2142.0,2186.5,514.3
43,2023-07-18,2169.5,2216.0,517.4
44,2023-07-17,2195.0,2245.0,520.8
45,2023-07-14,2225.0,2269.0,528.475
46,2023-07-13,2236.0,2279.0,532.1
47,2023-07-12,2147.5,2186.0,528.1
48,2023-07-11,2129.0,2179.5,531.725
49,2023-07-10,2096.0,2147.0,534.075
50,2023-07-07,2086.0,2131.0,535.075
51,2023-07-06,2103.5,2150.0,537.875
52,2023-07-05,2093.0,2147.0,539.7
