index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2023-09-29,2231.1386006624584,2143.3333333333,
2023-09-30,2229.759352188679,2145.1666666667,
2023-10-01,2228.3900602094755,2147.0,
2023-10-02,2227.021702990797,2156.5,
2023-10-03,2226.5018039542406,2147.0,
2023-10-04,2226.389642443086,2150.0,
2023-10-05,2228.3616103863346,2131.0,
2023-10-06,2227.4137084475756,2136.3333333333,
2023-10-07,2226.0424052621834,2141.6666666667,
2023-10-08,2224.681303399298,2147.0,
2023-10-09,2223.3211189789254,2179.5,
2023-10-10,2222.8093747327234,2186.0,
2023-10-11,2222.7053500416287,2279.0,
2023-10-12,2224.6854368742374,2269.0,
2023-10-13,2223.7456359336516,2261.0,
2023-10-14,2222.3824158946713,2253.0,
2023-10-15,2221.029379365775,2245.0,
2023-10-16,2219.6772425062227,2216.0,
2023-10-17,2219.173528086837,2186.5,
2023-10-18,2219.077515527634,2220.0,
2023-10-19,2221.0655968362034,2197.5,
2023-10-20,2220.1337727545547,2196.0,
2023-10-21,2218.7785119963096,2194.5,
2023-10-22,2217.4334172086837,2193.0,
2023-10-23,2216.089204589586,2226.5,
2023-10-24,2215.5933969484063,2215.0,
2023-10-25,2215.5052737436413,2220.0,
2023-10-26,2217.5012270212756,2203.0,
2023-10-27,2216.5772575616306,2216.0,
2023-10-28,2215.229834116555,2229.0,
2023-10-29,2213.8925593714066,2242.0,
2023-10-30,2212.5561495621537,2262.0,
2023-10-31,2212.06812753616,2227.0,
2023-11-01,2211.987772789813,2195.0,
2023-11-02,2213.9914774069057,2211.0,
2023-11-03,2213.0752422054834,2217.3333333333,
2023-11-04,2211.7355359750354,2223.6666666667,
2023-11-05,2210.4059614384782,2230.0,
2023-11-06,2209.077234869255,2195.0,
2023-11-07,2208.596879152122,2205.0,
2023-11-08,2208.524173820778,2213.0,
2023-11-09,2210.5355109962434,2178.0,
2023-11-10,2209.62689153371,2167.5,
2023-11-11,2208.294784259732,2157.0,
2023-11-12,2206.9727919342067,2146.5,
2023-11-13,2205.651630867479,2140.0,
2023-11-14,2205.1788239811262,2144.0,
2023-11-15,2205.113650845584,2171.5,
2023-11-16,2207.1325036185312,2139.0,
2023-11-17,2206.2313831917368,2133.6666666667,
2023-11-18,2204.90675842825,2128.3333333333,
2023-11-19,2203.5922321243856,2123.0,
2023-11-20,2202.2785206268236,2174.0,
2023-11-21,2201.813146893396,2180.0,
2023-11-22,2201.7553905307154,2163.0,
2023-11-23,2203.7816437325564,2160.5,
2023-11-24,2202.8879074267034,2160.375,
2023-11-25,2201.570650512143,2160.25,
2023-11-26,2200.263475821048,2160.125,
2023-11-27,2198.957099735877,2160.0,
2023-11-28,2198.499045250162,2179.5,
2023-11-29,2198.448592006137,2204.0,
2023-11-30,2200.482132233119,2234.0,
2023-12-01,2199.595666894357,2221.6666666667,
2023-12-02,2198.2856649242244,2209.3333333333,
2023-12-03,2196.985729190202,2197.0,
2023-12-04,2195.6865761099793,2188.5,
2023-12-05,2195.2357287122404,2206.0,
2023-12-06,2195.1924666742952,2180.0,
2023-12-07,2197.2331822604588,2181.0,
2023-12-08,2196.3538764689015,2185.6666666667,
2023-12-09,2195.051018268841,2190.3333333333,
2023-12-10,2193.7582105625243,2195.0,
2023-12-11,2192.466169802332,2199.0,
2023-12-12,2192.022419051563,2197.0,
2023-12-13,2191.986238022064,2235.0,
2023-12-14,2194.0340190126126,2197.0,
2023-12-15,2193.1617630557653,2200.0,
2023-12-16,2191.865939155049,2203.0,
2023-12-17,2190.5801502469467,2206.0,
2023-12-18,2189.2951128179966,2215.5,
2023-12-19,2188.8583499655824,2247.0,
2023-12-20,2188.829141435559,2212.0,
2023-12-21,2190.883879560638,2240.0,
2023-12-22,2190.0185654072343,2235.0,
2023-12-23,2188.729668012659,2230.0,
2023-12-24,2187.450790347106,2225.0,
2023-12-25,2186.172648930748,2238.5,
2023-12-26,2185.7427668945306,2226.0,
2023-12-27,2185.720424017797,2265.0,
