index,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2023-09-29,2180.8395094006146,2070.6666666667,
2023-09-30,2179.8666617108815,2076.3333333333,
2023-10-01,2178.875079123974,2082.0,
2023-10-02,2177.8864057679107,2091.0,
2023-10-03,2177.496543266293,2077.5,
2023-10-04,2177.010813977936,2061.0,
2023-10-05,2176.282013139533,2033.0,
2023-10-06,2176.144580277877,2041.3333333333,
2023-10-07,2175.1946776381355,2049.6666666667,
2023-10-08,2174.2259279642085,2058.0,
2023-10-09,2173.25997593215,2057.5,
2023-10-10,2172.8927237109197,2071.0,
2023-10-11,2172.429494202024,2111.0,
2023-10-12,2171.723083182197,2125.0,
2023-10-13,2171.6079307156324,2114.3333333333,
2023-10-14,2170.680199582271,2103.6666666667,
2023-10-15,2169.733513058174,2093.0,
2023-10-16,2168.789516348956,2103.0,
2023-10-17,2168.4441121505474,2094.0,
2023-10-18,2168.002623888852,2092.5,
2023-10-19,2167.3178478624372,2136.0,
2023-10-20,2167.2242246547803,2138.0,
2023-10-21,2166.3179175625673,2140.0,
2023-10-22,2165.3925503760797,2142.0,
2023-10-23,2164.4697688126384,2159.0,
2023-10-24,2164.145476077381,2153.5,
2023-10-25,2163.7249961029283,2173.0,
2023-10-26,2163.061125692089,2157.0,
2023-10-27,2162.9883059301164,2156.3333333333,
2023-10-28,2162.102700613022,2155.6666666667,
2023-10-29,2161.1979340279713,2155.0,
2023-10-30,2160.295652386741,2150.5,
2023-10-31,2159.991759386508,2145.0,
2023-11-01,2159.5915794495277,2147.5,
2023-11-02,2158.9479098658503,2140.0,
2023-11-03,2158.8951922055903,2144.6666666667,
2023-11-04,2158.0295907472496,2149.3333333333,
2023-11-05,2157.1447302581264,2154.0,
2023-11-06,2156.262257427784,2119.5,
2023-11-07,2155.9780764288503,2128.0,
2023-11-08,2155.597512156709,2132.0,
2023-11-09,2154.973362372225,2123.0,
2023-11-10,2154.940069114027,2116.3333333333,
2023-11-11,2154.0937971268427,2109.6666666667,
2023-11-12,2153.2281716419157,2103.0,
2023-11-13,2152.364839810488,2107.0,
2023-11-14,2152.09970626461,2125.0,
2023-11-15,2151.738096356843,2139.0,
2023-11-16,2151.1328083029944,2140.0,
2023-11-17,2151.1182845944127,2142.3333333333,
2023-11-18,2150.290690426332,2144.6666666667,
2023-11-19,2149.443651478301,2147.0,
2023-11-20,2148.598815347677,2182.0,
2023-11-21,2148.352087110444,2178.0,
2023-11-22,2148.0087925609264,2189.0,
2023-11-23,2147.421730354539,2166.0,
2023-11-24,2147.425343420086,2163.0,
2023-11-25,2146.6157973881204,2160.0,
2023-11-26,2145.786718371384,2157.0,
2023-11-27,2144.959754398307,2154.0,
2023-11-28,2144.730810973841,2203.0,
2023-11-29,2144.4052143191834,2192.0,
2023-11-30,2143.835763514532,2271.0,
2023-12-01,2143.8569019114016,2252.3333333333,
2023-12-02,2143.064795560988,2233.6666666667,
2023-12-03,2142.2530709946195,2215.0,
2023-12-04,2141.443376657269,2220.0,
2023-12-05,2141.231618468394,2231.0,
2023-12-06,2140.923123061672,2232.5,
2023-12-07,2140.370689927765,2219.0,
2023-12-08,2140.408762826646,2227.6666666667,
2023-12-09,2139.633508215973,2236.3333333333,
2023-12-10,2138.83855303155,2245.0,
2023-12-11,2138.0455461208485,2233.0,
2023-12-12,2137.8503938038584,2210.0,
2023-12-13,2137.558423112831,2230.0,
2023-12-14,2137.022433935055,2245.5,
2023-12-15,2137.076870425191,2244.1666666667,
2023-12-16,2136.3178994336563,2242.8333333333,
2023-12-17,2135.539148287095,2241.5,
2023-12-18,2134.762266221908,2222.0,
2023-12-19,2134.583159945113,2229.5,
2023-12-20,2134.307156874099,2185.0,
2023-12-21,2133.7870572794095,2197.0,
2023-12-22,2133.857305697088,2198.6666666667,
2023-12-23,2133.114069357069,2200.3333333333,
2023-12-24,2132.35097596366,2202.0,
2023-12-25,2131.5896751290793,2190.0,
2023-12-26,2131.4260739343263,2160.5,
2023-12-27,2131.165500168942,2165.0,
