index,LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
2023-09-29,18633.928618957412,20333.3333333333,
2023-09-30,18625.772524349682,20391.6666666667,
2023-10-01,18619.076630958036,20450.0,
2023-10-02,18612.594011173278,20525.0,
2023-10-03,18612.127132486996,20405.0,
2023-10-04,18598.992061033474,21260.0,
2023-10-05,18593.847079499028,20675.0,
2023-10-06,18585.745191101636,20726.6666666667,
2023-10-07,18579.08630562222,20778.3333333333,
2023-10-08,18572.75172310181,20830.0,
2023-10-09,18566.430852275746,20705.0,
2023-10-10,18566.090453240435,21130.0,
2023-10-11,18553.075419981393,21350.0,
2023-10-12,18548.049094045367,21550.0,
2023-10-13,18540.0653669417,21375.0,
2023-10-14,18533.52430496238,21200.0,
2023-10-15,18527.30723625779,21025.0,
2023-10-16,18521.103575141275,20850.0,
2023-10-17,18520.88008333217,20910.0,
2023-10-18,18507.981655743286,21400.0,
2023-10-19,18503.07163472496,21150.0,
2023-10-20,18495.20391256676,21050.0,
2023-10-21,18488.778556335146,20950.0,
2023-10-22,18482.676894952336,20850.0,
2023-10-23,18476.58834350138,21625.0,
2023-10-24,18476.479664469334,21875.0,
2023-10-25,18463.695753534743,21645.0,
2023-10-26,18458.89995381169,21925.0,
2023-10-27,18451.146158351527,21918.3333333333,
2023-10-28,18444.834434980537,21911.6666666667,
2023-10-29,18438.846113378793,21905.0,
2023-10-30,18432.870609385256,22700.0,
2023-10-31,18432.87468624093,21845.0,
2023-11-01,18420.203240376377,21450.0,
2023-11-02,18415.519615655747,21210.0,
2023-11-03,18407.87770587853,21323.3333333333,
2023-11-04,18401.67757961722,21436.6666666667,
2023-11-05,18395.800567296166,21550.0,
2023-11-06,18389.93608549669,20850.0,
2023-11-07,18390.050898200254,20640.0,
2023-11-08,18377.489902575948,20530.0,
2023-11-09,18372.916443224563,20260.0,
2023-11-10,18365.384414680317,20190.0,
2023-11-11,18359.29388624854,20120.0,
2023-11-12,18353.526189084532,20050.0,
2023-11-13,18347.77074049868,20000.0,
2023-11-14,18347.994305199627,20175.0,
2023-11-15,18335.541781081774,20135.0,
2023-11-16,18331.076513469343,20200.0,
2023-11-17,18323.652397618127,20176.6666666667,
2023-11-18,18317.669503553163,20153.3333333333,
2023-11-19,18312.00916314761,20130.0,
2023-11-20,18306.360794427856,20475.0,
2023-11-21,18306.691162816693,20775.0,
2023-11-22,18294.345166920837,20600.0,
2023-11-23,18289.98615277499,21100.0,
2023-11-24,18282.66801634358,20975.0,
2023-11-25,18276.79082835847,20850.0,
2023-11-26,18271.2359213978,20725.0,
2023-11-27,18265.692714191144,20600.0,
2023-11-28,18266.12797286265,20455.0,
2023-11-29,18253.886596718585,20350.0,
2023-11-30,18249.6319324914,20700.0,
2023-12-01,18242.417876841475,20725.0,
2023-12-02,18236.644501194816,20750.0,
2023-12-03,18231.19313882194,20775.0,
2023-12-04,18225.75320914298,20960.0,
2023-12-05,18226.291478970892,20720.0,
2023-12-06,18214.152848298963,20310.0,
2023-12-07,18210.00066454489,20125.0,
2023-12-08,18202.88882505253,20170.0,
2023-12-09,18197.21740192961,20215.0,
2023-12-10,18191.867729126603,20260.0,
2023-12-11,18186.52922674185,20025.0,
2023-12-12,18187.168662264765,19750.0,
2023-12-13,18175.13093636334,20430.0,
2023-12-14,18171.07939712824,20050.0,
2023-12-15,18164.067942574566,20003.3333333333,
2023-12-16,18158.496645479547,19956.6666666667,
2023-12-17,18153.246840461434,19910.0,
2023-12-18,18148.007948284627,19650.0,
2023-12-19,18148.74673710287,19950.0,
2023-12-20,18136.80810824678,19205.0,
2023-12-21,18132.855410467942,19350.0,
2023-12-22,18125.94254244066,19316.6666666667,
2023-12-23,18120.469577599677,19283.3333333333,
2023-12-24,18115.317851219053,19250.0,
2023-12-25,18110.17678471731,18990.0,
2023-12-26,18111.013146900637,18900.0,
2023-12-27,18099.1718397504,18875.0,
